injected_period_days,injected_epoch_days,epoch_phase_fraction,injected_duration_hours,injected_depth,kalman_converged,kalman_log_likelihood,kalman_process_variance,kalman_measurement_variance,observed_depth_before_kalman,kalman_residual_depth,depth_retention_fraction,local_snr_before_kalman,local_snr_after_kalman,snr_retention_fraction,kalman_bls_recovered_period_days,kalman_bls_recovered_power,kalman_bls_period_error_fraction,kalman_bls_exact_period_error_fraction,kalman_bls_period_matched,kalman_bls_exact_period_matched,kalman_bls_exact_period_rank_top5,kalman_bls_fap_1_percent_threshold,kalman_bls_passes_fap_1_percent,kalman_bls_recovered_at_fap_1_percent,kalman_bls_exact_recovered_at_fap_1_percent,kalman_tcf_recovered_period_days,kalman_tcf_recovered_score,kalman_tcf_recovered_raw_pooled_score,kalman_tcf_valid_transit_events,kalman_tcf_positive_event_fraction,kalman_tcf_period_error_fraction,kalman_tcf_exact_period_error_fraction,kalman_tcf_period_matched,kalman_tcf_exact_period_matched,kalman_tcf_exact_period_rank_top10,kalman_tcf_half_period_rank_top10,kalman_tcf_double_period_rank_top10,kalman_tcf_top_periods_json,kalman_tcf_top_scores_json,kalman_tcf_fap_1_percent_threshold,kalman_tcf_passes_fap_1_percent,kalman_tcf_recovered_at_fap_1_percent,kalman_tcf_exact_recovered_at_fap_1_percent
2.0,443.81122690278136,0.15,2.0,0.0002,True,35754.326820919785,2.231599561723666e-09,3.014640874037056e-09,0.0001916158001606048,7.43528399592916e-05,0.3880308403428735,20.67985900379031,15.310325079185292,0.7403495873148428,2.5135135135135136,0.0009851810122147966,0.2567567567567568,0.2567567567567568,False,False,,0.0006978626377645,True,False,False,2.512151215121512,18.32886952402948,17.658864847468582,37,1.0,0.256075607560756,0.256075607560756,False,False,2.0,,5.0,"[2.512151215121512, 1.9996999699969997, 4.186718671867187, 5.024002400240024, 3.999099909990999, 5.8612861286128615, 5.999899989999, 6.698569856985698, 7.999299929992999, 7.54005400540054]","[18.32886952402948, 18.03821581250087, 14.089101057746316, 13.820168814438349, 12.587236190333101, 12.453597485352745, 12.253848395543274, 11.969500452764324, 11.592911250914819, 11.365239864609032]",14.086207860158858,True,False,False
2.0,444.4112269027813,0.45,2.0,0.0002,True,35742.8453428962,2.2193659149560255e-09,3.0511292161107083e-09,0.0001994335000108592,9.101247892041361e-05,0.4563550201719268,21.73328225026187,19.30711925566716,0.8883664709887309,2.5135135135135136,0.000997058535850207,0.2567567567567568,0.2567567567567568,False,False,,0.0006978626377645,True,False,False,2.512151215121512,18.585417085666055,17.41339289242671,37,1.0,0.256075607560756,0.256075607560756,False,False,4.0,,3.0,"[2.512151215121512, 4.186718671867187, 4.000500050005, 1.9996999699969997, 5.024002400240024, 5.8612861286128615, 5.999899989999, 8.373137313731373, 6.698569856985698, 10.000100010001]","[18.585417085666055, 14.685140120715028, 14.148932229765064, 14.132664919504643, 14.040344709739486, 13.894007369476245, 12.94471535641926, 12.737365303442385, 12.648545463304657, 11.42485634324493]",14.086207860158858,True,False,False
2.0,445.01122690278135,0.75,2.0,0.0002,True,35748.70764626179,2.2338373746172687e-09,3.025174157429312e-09,0.00019949015000977327,6.173474241676899e-05,0.3094626096263125,22.332656466137863,13.353754597119824,0.5979474326024583,2.5135135135135136,0.0010011785252234458,0.2567567567567568,0.2567567567567568,False,False,,0.0006978626377645,True,False,False,2.512151215121512,18.760310092543843,17.84536147432162,37,1.0,0.256075607560756,0.256075607560756,False,False,2.0,,4.0,"[2.512151215121512, 1.9996999699969997, 4.186718671867187, 4.000500050005, 5.024002400240024, 5.8612861286128615, 6.698569856985698, 8.373137313731373, 6.001300130013001, 12.003700370037004]","[18.760310092543843, 16.991448618611912, 14.372757983121241, 14.162614950123684, 14.088684821183142, 14.037174352447646, 12.794739731729967, 12.326940297713461, 12.235203992551115, 11.523311876637468]",14.086207860158858,True,False,False
2.0,443.81122690278136,0.15,2.0,0.0005,True,34605.73351679662,6.87490674924632e-09,2.659198774005024e-09,0.0004916158001606048,8.797797303277426e-05,0.17895676461991852,53.05692653129681,17.695401646508685,0.33351727669469616,1.0,0.0018724907110884354,0.0,0.5,True,False,,0.0006978626377645,True,True,False,1.9996999699969997,39.43821564587813,39.57566886529105,42,1.0,0.0001500150015001367,0.0001500150015001367,True,True,1.0,2.0,3.0,"[1.9996999699969997, 1.0, 3.999099909990999, 6.001300130013001, 4.998799879987999, 7.999299929992999, 9.001800180018002, 10.002900290029002, 12.000900090009, 14.000300030003]","[39.43821564587813, 34.37004727373237, 29.48902577343794, 24.95329097221411, 23.923987026768106, 22.83891062687298, 20.85471649871937, 19.720874174329545, 19.636772179432352, 17.456115600837332]",14.086207860158858,True,True,True
2.0,444.4112269027813,0.45,2.0,0.0005,True,34584.17176875968,6.852943707203317e-09,2.7426942313198872e-09,0.0004994335000108592,9.220969188266834e-05,0.18462856792879018,54.425807200802005,18.89081377549591,0.34709294628922915,1.0,0.0017931798382960706,0.0,0.5,True,False,,0.0006978626377645,True,True,False,1.9996999699969997,36.53551170826901,39.32206347186412,46,1.0,0.0001500150015001367,0.0001500150015001367,True,True,1.0,2.0,3.0,"[1.9996999699969997, 1.0, 4.000500050005, 5.999899989999, 8.000700070007, 10.000100010001, 8.998999899989998, 5.0002000200020005, 11.999499949994998, 7.001000100010001]","[36.53551170826901, 31.661487687235518, 30.831690375393265, 26.39843220010895, 22.606266754834802, 21.89984762601705, 20.336085392539843, 20.25785154613467, 20.166646262928634, 18.769895672196654]",14.086207860158858,True,True,True
2.0,445.01122690278135,0.75,2.0,0.0005,True,34584.6056589876,6.764343848453733e-09,2.7996707362537467e-09,0.0004994901500097733,7.62148931460523e-05,0.15258537759865945,55.917256705864624,15.899658945205635,0.28434261410284944,1.0,0.0018679279145655376,0.0,0.5,True,False,,0.0006978626377645,True,True,False,1.9996999699969997,40.35704199940344,37.64888008032205,45,0.9777777777777777,0.0001500150015001367,0.0001500150015001367,True,True,1.0,,2.0,"[1.9996999699969997, 3.999099909990999, 5.999899989999, 7.999299929992999, 11.999499949994998, 10.000100010001, 9.001800180018002, 14.003100310031003, 6.998199819981998, 2.512151215121512]","[40.35704199940344, 31.3962918173984, 24.395369690402582, 22.88538409883674, 20.068952169556393, 19.61159122404132, 19.52252250604644, 18.73069818962396, 18.044783204206905, 17.61899806083095]",14.086207860158858,True,True,True
2.0,443.81122690278136,0.15,2.0,0.001,True,32701.987615443155,2.258840585231554e-08,2.3172654700746577e-09,0.0009916158001606048,6.945192380199395e-05,0.07003914599862701,107.01870574380764,13.3501606033307,0.12474604799734434,1.0,0.00321514666756056,0.0,0.5,True,False,,0.0006978626377645,True,True,False,1.9996999699969997,69.30737113229394,68.30640893375683,42,1.0,0.0001500150015001367,0.0001500150015001367,True,True,1.0,2.0,3.0,"[1.9996999699969997, 1.0, 3.999099909990999, 4.998799879987999, 6.001300130013001, 7.999299929992999, 9.001800180018002, 10.001500150015001, 12.000900090009, 13.998899889988998]","[69.30737113229394, 58.741169801619805, 52.922997804546, 43.670431846343696, 43.33236517128368, 38.5177814962511, 35.55783814201851, 33.90018098089079, 32.55842611852079, 29.601640832181758]",14.086207860158858,True,True,True
2.0,444.4112269027813,0.45,2.0,0.001,True,32678.027775214017,2.239848114039954e-08,2.581373902752767e-09,0.0009994335000108592,7.40792080496768e-05,0.07412119770737313,108.91334878503557,14.410893925210264,0.1323152220179487,1.0,0.0031106173618646793,0.0,0.5,True,False,,0.0006978626377645,True,True,False,1.9996999699969997,69.09260478229655,70.61287993475761,46,1.0,0.0001500150015001367,0.0001500150015001367,True,True,1.0,2.0,3.0,"[1.9996999699969997, 1.0, 4.000500050005, 5.999899989999, 5.0002000200020005, 8.000700070007, 10.000100010001, 8.998999899989998, 6.996799679967997, 12.000900090009]","[69.09260478229655, 52.72398420868891, 52.240242026925436, 43.49376109863095, 39.89462481047288, 37.37992864625095, 35.56630551392041, 35.284761308396575, 34.97174690897157, 32.15281607838724]",14.086207860158858,True,True,True
2.0,445.01122690278135,0.75,2.0,0.001,True,32666.11711224259,2.2228228328562425e-08,2.7563100282547675e-09,0.0009994901500097733,6.154669797843888e-05,0.06157809356884313,111.89159043874255,12.278546475118267,0.10973609747589047,1.0,0.003205075079608451,0.0,0.5,True,False,,0.0006978626377645,True,True,False,1.9996999699969997,71.26176581817744,64.34117835980457,45,0.9555555555555556,0.0001500150015001367,0.0001500150015001367,True,True,1.0,,2.0,"[1.9996999699969997, 3.999099909990999, 5.999899989999, 7.999299929992999, 9.001800180018002, 6.998199819981998, 10.007100710071008, 11.998099809980998, 14.003100310031003, 11.001200120012001]","[71.26176581817744, 54.2545419984798, 43.21717901630139, 38.39172679108651, 35.02721666457929, 34.590417765363235, 33.52552664403171, 32.976095371534555, 30.383354944479173, 29.34664108105109]",14.086207860158858,True,True,True
2.0,443.81122690278136,0.15,4.0,0.0002,True,35729.41745999258,2.48868890827034e-09,2.847062197473933e-09,0.0001987537000238902,2.8857489023255618e-05,0.14519221035777924,30.922265339260868,8.61842434386194,0.27871257973197205,2.5135135135135136,0.0009760822898582169,0.2567567567567568,0.2567567567567568,False,False,,0.0006978626377645,True,False,False,1.9996999699969997,27.047052179756307,23.754664665575824,46,0.9565217391304348,0.0001500150015001367,0.0001500150015001367,True,True,1.0,,3.0,"[1.9996999699969997, 2.512151215121512, 3.999099909990999, 5.999899989999, 7.999299929992999, 4.186718671867187, 5.024002400240024, 10.000100010001, 5.8612861286128615, 8.373137313731373]","[27.047052179756307, 19.086174011824596, 18.507984093370286, 16.090748482657244, 14.502922268638965, 14.40627620741866, 13.938153171601726, 13.059071316530979, 12.948589124424881, 12.895296565364124]",14.086207860158858,True,True,True
