injected_period_days,injection_count,kalman_convergence_rate,kalman_bls_period_match_rate,kalman_bls_exact_period_match_rate,kalman_bls_detection_rate_fap_1_percent,kalman_bls_recovery_rate_fap_1_percent,kalman_bls_exact_recovery_rate_fap_1_percent,kalman_tcf_period_match_rate,kalman_tcf_exact_period_match_rate,kalman_tcf_detection_rate_fap_1_percent,kalman_tcf_recovery_rate_fap_1_percent,kalman_tcf_exact_recovery_rate_fap_1_percent,median_depth_retention_fraction,median_snr_retention_fraction
2.0,27,1.0,0.7037037037037037,0.0,1.0,0.7037037037037037,0.0,0.8518518518518519,0.7777777777777778,1.0,0.8518518518518519,0.7777777777777778,0.07003914599862701,0.12474604799734434
5.0,27,1.0,1.0,0.14814814814814814,1.0,1.0,0.14814814814814814,0.9629629629629629,0.6666666666666666,1.0,0.9629629629629629,0.6666666666666666,0.0957544152707759,0.18911854934178973
10.0,27,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.10682858475355929,0.2084466831792955
