trial,trial_seed,success,bls_max_power,bls_best_period,bls_best_duration,bls_best_epoch,tcf_max_score,tcf_best_raw_pooled_score,tcf_best_period,tcf_best_duration,tcf_best_epoch,tcf_valid_transit_events,tcf_positive_event_fraction,error
0,8824921114796074700,True,0.0012237778739335,8.67967967967968,0.2625,449.0674769027813,10.153518095730032,7.9690230304863805,10.842984298429842,0.2648809523809524,451.27051226685046,7,1.0,
1,14673009024601869667,True,0.0008943074689473,13.402402402402402,0.3125,448.21122690278133,13.443360245393366,10.794221346996858,14.15011501150115,0.2648809523809524,454.55275171226066,6,0.6666666666666666,
2,6815112609857061210,True,0.0009587189882132,10.347347347347348,0.1125,453.3487269027813,8.720720021255703,6.674747532571948,14.803980398039805,0.1130952380952381,456.5008098833762,5,0.8,
3,15673771762283591188,True,0.0009866460897477,14.62162162162162,0.2125,449.86747690278133,9.816942617092405,5.700580719515976,13.795879587958796,0.3660714285714285,450.10168224791903,7,0.7142857142857143,
4,5063387248315964317,True,0.0011955708034832,9.926926926926926,0.2625,443.88622690278135,9.347244474774149,10.551479648806568,12.03030303030303,0.2648809523809524,455.3369585247248,7,1.0,
5,16788183643313320770,True,0.0012998657866163,11.67867867867868,0.2625,452.17372690278137,8.713413007841734,6.511281509959756,9.703270327032705,0.2142857142857142,446.6927743582788,9,0.7777777777777778,
6,15323777375915143374,True,0.0013362884375193,13.962962962962964,0.2625,454.30497690278133,9.750649918917444,6.070462327911412,14.596759675967595,0.0625,444.92242267046737,7,0.7142857142857143,
7,9942283658580680595,True,0.0014734248836836,9.702702702702702,0.2125,449.88622690278135,10.544688374172871,7.056357307569957,7.5316531653165315,0.4166666666666667,444.81154789016466,11,0.8181818181818182,
8,7582383009907429406,True,0.0011327927548703,10.655655655655655,0.3125,446.01122690278135,10.386039763864115,11.122513854073809,13.947094709470948,0.2648809523809524,454.70128346268854,6,0.8333333333333334,
9,7167433348619055790,True,0.0014441169265878,12.491491491491493,0.2625,450.72997690278135,8.613476686348314,6.152031421753549,12.317331733173315,0.2648809523809524,445.53314198149013,8,0.75,
10,11375706814037531430,True,0.0014902580563139,14.537537537537537,0.2125,456.63622690278135,11.492787799520638,7.378984322011433,14.55055505550555,0.2648809523809524,456.7534722499083,5,0.6,
11,11449613192165837951,True,0.0012048181371611,10.627627627627628,0.2625,444.32997690278137,8.082906689653136,4.441425212154119,10.966196619661966,0.1130952380952381,453.4210145013204,7,0.7142857142857143,
12,698116960685990672,True,0.0013996723511828,11.916916916916916,0.2625,450.0987269027813,13.169559612648866,10.678669283740817,10.274527452745277,0.2142857142857142,445.0175847311231,9,0.7777777777777778,
