injection_id,center_cadenceno,duration_cadences,depth,observed_depth_before_arima,innovation_depth_after_arima,standardized_innovation_depth_after_arima,depth_retention_fraction,local_snr_before_arima,local_snr_after_arima,standardized_snr_after_arima,snr_retention_fraction,event_center_shift_cadences,transit_preservation_failure,raw_flux_box_statistic,innovation_unchanged_box_statistic,innovation_transformed_template_statistic,transformed_template_improves_unchanged_box,n_trial_centers,best_transformed_template_center_cadenceno,best_transformed_template_statistic,best_transformed_template_center_error_cadences,best_injected_neighborhood_rank,best_injected_neighborhood_statistic,injected_center_recovered_as_best
1,16448,3,0.0005,0.0006821297361945806,0.00013558292180223673,2.1537057798014505,0.19876412742041946,16.92788534106826,3.220679964770002,3.4872394743821853,0.19025884804148585,-1,True,18.586449246663246,7.314416542071007,13.525687894363303,True,81,16448,13.525687894363303,0,1,13.525687894363303,True
2,16448,3,0.001,0.0011821297361945806,0.0003047092310383074,4.85216904156834,0.2577629355803226,29.335998081838373,7.238160252343525,7.8565399121936705,0.2467330490052288,-1,True,32.98927841940708,13.724961950115613,25.45398343192723,True,81,16448,25.45398343192723,0,1,25.45398343192723,True
3,16448,3,0.002,0.0021821297361945807,0.0006429618495104484,10.249095565102111,0.2946487730980242,54.15222356337859,15.273120827490562,16.59514078781663,0.2820405114042128,-1,True,61.79493676489476,26.54605276620483,49.31057450705513,True,81,16448,49.31057450705513,0,1,49.31057450705513,True
4,16587,3,0.0005,0.0004411973044574076,0.00012901256218639104,1.776285364826197,0.2924146654636819,16.911702299131907,4.0245958401308615,3.9411497904562203,0.2379769800191816,-1,True,13.775755763172072,5.700507220321035,9.50098279894325,True,81,16587,9.50098279894325,0,1,9.50098279894325,True
5,16587,3,0.001,0.0009411973044574076,0.00029813887142246136,4.0563081767846185,0.3167655389688307,36.07739316835676,9.300555243408063,8.999971759900625,0.25779454740553476,-1,True,29.561277188700874,11.16466822264026,19.766095263652772,True,81,16587,19.766095263652772,0,1,19.766095263652772,True
6,16587,3,0.002,0.0019411973044574076,0.0006363914898946026,8.61635380070147,0.32783452173218586,74.40877490680646,19.852474049962478,19.11761569878945,0.26680286128654557,-1,True,61.132320039758476,22.092990227278708,40.29632019307183,True,81,16587,40.29632019307183,0,1,40.29632019307183,True
7,17762,3,0.0005,0.00048345820125389417,0.00018085633959383652,3.267792799464096,0.3740888852950858,14.576040974118156,3.9571296742652833,3.948390503392184,0.2714817885934687,-1,True,15.415263592348028,7.165392512241089,13.346526336163036,True,81,17762,13.346526336163036,0,1,13.346526336163036,True
8,17762,3,0.001,0.0009834582012538942,0.0003499826488299071,6.318358946317192,0.35586936830023336,29.650809523202465,7.0834742268331725,6.869312193954804,0.23889648683251583,-1,True,31.84838910111911,14.364704952070657,26.99486153082229,True,81,17762,26.99486153082229,0,1,26.99486153082229,True
9,17762,3,0.002,0.001983458201253894,0.000688235267302048,12.41949124002338,0.34698753261700316,59.800346621371084,13.929538490638182,13.502455834285012,0.2329340760988186,-1,True,64.7146401186613,28.76332983172979,54.29153192014081,True,81,17762,54.29153192014081,0,1,54.29153192014081,True
10,17901,3,0.0005,0.000511896499098274,0.00027880370772513695,3.6938456827010624,0.544648592471839,10.47269311821768,5.2182163387623,5.026741903230521,0.49826881011962415,-1,True,12.298698744758063,6.640666269114333,10.29936359135132,True,81,17901,10.29936359135132,0,1,10.29936359135132,True
11,17901,3,0.001,0.001011896499098274,0.0004479300169612075,5.9314820967949835,0.44266386667052315,20.702000347966024,8.38366086376945,8.071812459262919,0.4049686369845485,-1,True,24.919889844817103,11.783071856193535,20.20481188507305,True,81,17901,20.20481188507305,0,1,20.20481188507305,True
12,17901,3,0.002,0.002011896499098274,0.0007861826354333488,10.40675492498283,0.3907669384512143,41.16061480746271,14.714549913783756,14.16195357132772,0.3574910137424844,-1,True,50.1622720449352,22.067883030351933,40.01570847251649,True,81,17901,40.01570847251649,0,1,40.01570847251649,True
13,16451,6,0.0005,0.0006074650418541046,4.6293581229054577e-05,0.736231272874934,0.07620781121454714,20.42007034742206,1.6647258772667093,1.6786580672715476,0.08152400304913118,-2,True,19.440196204219426,3.5093042864578523,11.58853743886648,True,81,16451,11.58853743886648,0,1,11.58853743886648,True
14,16451,6,0.001,0.0011074650418541046,4.6293581229054685e-05,0.7362312728749357,0.04180139280202518,37.22767979034238,1.6647258772667133,1.6786580672715519,0.044717422268646924,-2,True,36.34191734230131,8.642748525279881,23.500952708715744,True,81,16451,23.500952708715744,0,1,23.500952708715744,True
15,16451,6,0.002,0.0021074650418541046,4.629358122905447e-05,0.7362312728749324,0.02196647645852589,70.842898676183,1.6647258772667055,1.6786580672715439,0.02349883909855283,-2,True,70.1453596184651,18.909637002923944,47.32578324841429,True,81,16451,47.32578324841429,0,1,47.32578324841429,True
16,16584,6,0.0005,0.00040732060702514073,0.0001591270213736967,2.1433815930356115,0.3906677409126886,18.379999523049232,5.668439136746704,5.632352829520776,0.3084025725701604,-2,True,15.482620676604814,4.404920169124403,10.164558340770974,True,81,16584,10.164558340770974,0,1,10.164558340770974,True
17,16584,6,0.001,0.0009073206070251407,0.00016248751050222497,2.1579181746415728,0.17908499955156715,40.942078639653786,5.788146826429571,5.670551886938237,0.1413740342148519,-2,True,35.26936744511395,8.809967496671094,20.501506195350533,True,81,16584,20.501506195350533,0,1,20.501506195350533,True
18,16584,6,0.002,0.0019073206070251408,0.00016248751050222508,2.157918174641574,0.08519150367470617,86.06623687286287,5.788146826429575,5.67055188693824,0.06725223544953907,-2,True,74.84286098213222,17.62006215176448,41.17540190450966,True,81,16584,41.17540190450966,0,1,41.17540190450966,True
19,17765,6,0.0005,0.000516428498754717,0.0001143455100566022,1.9794705724770734,0.22141595657932847,21.217603029981916,3.92025279990287,3.69254369049594,0.1847641693721617,-2,True,20.8368839712597,5.8381405760707255,16.448772830292796,True,81,17765,16.448772830292796,0,1,16.448772830292796,True
20,17765,6,0.001,0.001016428498754717,0.0001143455100566022,1.9794705724770734,0.11249734752291306,41.760236793556835,3.92025279990287,3.69254369049594,0.0938752531333281,-2,True,41.89057969455281,11.55719335587535,31.137451656585476,True,81,17765,31.137451656585476,0,1,31.137451656585476,True
21,17765,6,0.002,0.002016428498754717,0.0001143455100566022,1.979470572477073,0.056706949999575186,82.84550432070668,3.92025279990287,3.6925436904959414,0.04732004267518266,-2,True,83.99797114113903,22.9952989154846,60.51480930917083,True,81,17765,60.51480930917083,0,1,60.51480930917083,True
22,17898,6,0.0005,0.00043819485468488085,9.10687479435543e-05,1.21194943546296,0.2078270590581092,14.089580478589783,1.8798063859174832,1.8810280503406145,0.13341819430138432,-2,True,13.788986559089157,3.838212521360762,8.969297209727436,True,81,17898,8.969297209727436,0,1,8.969297209727436,True
23,17898,6,0.001,0.0009381948546848809,9.106874794355436e-05,1.2119494354629607,0.09706805306893562,30.166424293565687,1.8798063859174843,1.8810280503406154,0.06231452450658646,-2,True,30.22243871881095,8.187427295513896,18.942430304663965,True,81,17898,18.942430304663965,0,1,18.942430304663965,True
24,17898,6,0.002,0.0019381948546848809,9.106874794355436e-05,1.2119494354629607,0.0469863738021122,62.320111923517494,1.8798063859174843,1.8810280503406154,0.03016371967085812,-2,True,63.08934303825453,16.885856843820168,38.88869649453703,True,81,17898,38.88869649453703,0,1,38.88869649453703,True
25,16457,12,0.0005,0.00041989690607185893,-1.2093472714099602e-05,-0.18827542976076056,-0.028801052208824774,15.101246616689531,-0.4582325106552022,-0.5011168947024379,-0.030344018761257415,-5,True,18.482435551106963,2.6830707023656952,11.328525091324995,True,81,16457,11.328525091324995,0,1,11.328525091324995,True
26,16457,12,0.001,0.0009198969060718589,1.2845634967963452e-05,0.1877699342542121,0.013964211514545521,33.08333507497551,0.48673261200378076,0.4929687829481215,0.014712319991340567,-5,True,40.957753006785104,6.458975048458341,23.1583680874264,True,81,16457,23.1583680874264,0,1,23.1583680874264,True
27,16457,12,0.002,0.001919896906071859,1.2845634967963452e-05,0.1877699342542121,0.006690794139694633,69.04751199154747,0.48673261200378076,0.4929687829481215,0.0070492418620871486,-5,True,85.90838791814139,14.010783740643628,46.818054079629206,True,81,16457,46.818054079629206,0,1,46.818054079629206,True
28,16578,12,0.0005,0.0004644238026967891,2.561349101482768e-05,0.3403360969830833,0.05515111599813953,25.903215459558652,1.4318845065242138,1.3467072379737528,0.05527825334116303,-5,True,24.887234094269207,2.4692374356678686,11.2678249026003,True,81,16578,11.2678249026003,0,1,11.2678249026003,True
29,16578,12,0.001,0.0009644238026967891,2.561349101482768e-05,0.3403360969830833,0.02655833560225852,53.79069162803384,1.3482398953391843,1.231180121129324,0.02506455772426857,-5,True,52.2887372151042,5.635495943686378,21.715970808513845,True,81,16578,21.715970808513845,0,1,21.715970808513845,True
30,16578,12,0.002,0.001964423802696789,2.561349101482768e-05,0.3403360969830833,0.013038678812415688,109.56564396498422,1.3482398953391843,1.2311801211293183,0.012305316215455865,-5,True,107.09174345677417,11.968012959723401,42.61226262034095,True,81,16578,42.61226262034095,0,1,42.61226262034095,True
31,17771,12,0.0005,0.0005077043994159976,-8.412687561444831e-06,-0.1285056468161309,-0.01657005054736926,28.72287906074077,-0.3815940742057126,-0.347381078486326,-0.013285369944940026,-5,True,29.939002847933903,4.057414536655292,13.502014928373406,True,81,17771,13.502014928373406,0,1,13.502014928373406,True
32,17771,12,0.001,0.0010077043994159976,-8.412687561444723e-06,-0.12850564681612917,-0.00834836839684355,57.009889271584065,-0.3686248613059317,-0.3224112070481286,-0.006465981008134822,-5,True,58.51982330518434,8.64362590088189,27.3001357740853,True,81,17771,27.3001357740853,0,1,27.3001357740853,True
33,17771,12,0.002,0.0020077043994159976,-8.41268756144494e-06,-0.1285056468161326,-0.004190202284704874,113.58390969327066,-0.3686248613059412,-0.3224112070481372,-0.003245396837469318,-5,True,115.68146421968518,17.816048629335082,54.896377465509104,True,81,17771,54.896377465509104,0,1,54.896377465509104,True
34,17892,12,0.0005,0.0004979039501588618,-3.350626832178811e-05,-0.4584146260209828,-0.06729464249298998,17.60211541144586,-1.1323737806134757,-1.1376137250876204,-0.06433168708103938,-5,True,21.85197874635759,2.7785587707027055,10.224276531082847,True,81,17892,10.224276531082847,0,1,10.224276531082847,True
35,17892,12,0.001,0.0009979039501588618,-3.3506268321788434e-05,-0.4584146260209874,-0.03357664664665812,35.278331281825785,-1.1323737806134866,-1.137613725087632,-0.0320982807142255,-5,True,44.936197257796614,5.840895390237862,20.24421034513521,True,81,17892,20.24421034513521,0,1,20.24421034513521,True
36,17892,12,0.002,0.001997903950158862,-3.3506268321788e-05,-0.4584146260209813,-0.016770710283206446,70.63076302258564,-1.1323737806134724,-1.1376137250876175,-0.016032302811897593,-5,True,91.10463428067466,11.965568629308175,40.28407797323991,True,81,17892,40.28407797323991,0,1,40.28407797323991,True
