selection_group,sample_stratum,koi_flag,tce_flag,confirmed_planet_flag,eb_flag,provenance,target_id,quarter,light_curve_cache_hit,n_grid_observations,n_usable_observations,longest_segment_length,longest_segment_days,median_cadence_days,gap_fraction,robust_flux_scatter_ppm,background_tau_acf_e_days,background_tau_acf_half_days,background_tau_acf_zero_days,background_tau_integrated_positive_acf_days,background_acf_lag_1,background_acf_6h,background_acf_1d,background_acf_2d,background_acf_5d,acf_max_lag_days,preprocessing_n_row_absent,preprocessing_n_unusable_observed,rolling_background_window_cadences,rolling_background_scatter_ppm,rolling_short_residual_scatter_ppm,rolling_background_to_short_scatter_ratio,status,error
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10066568,5,False,4634.0,4486.0,146.0,2.9629776253932505,0.020434326637769118,0.03193785066896848,691.7402295445597,0.12260595982661471,0.10217163318884559,0.6334641257708427,0.4024868284326958,0.937712349174189,0.13545704223637994,-0.02463222543248061,-0.23242127841951385,,2.942543035838753,96.0,52.0,49.0,532.6014754376323,583.0542356864834,0.9134681524276237,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10068585,5,False,4634.0,4486.0,146.0,2.962977881797997,0.020434328442206606,0.03193785066896848,389.6636885321309,0.020434328442206606,0.020434328442206606,0.04086865688441321,0.023018955030276234,0.06324226889519759,0.04601753383847566,-0.04409443657336503,0.040685074613909,,2.9425432956777513,96.0,52.0,49.0,69.62345359857197,332.5610740003576,0.2093553907589831,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10130788,5,False,4634.0,4486.0,146.0,2.962976869508566,0.020434321399079636,0.03193785066896848,699.2525007588645,0.24521185678895563,0.08173728559631854,1.0012817485549022,0.403775323800886,0.6065582065389894,0.3208912779146292,-0.016101534411318032,-0.1255937218219872,,2.9425422814674675,96.0,52.0,49.0,254.78715695157632,212.01294200833763,1.2017528483782682,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10140032,5,False,4634.0,4486.0,146.0,2.962977977418632,0.020434329169802368,0.03193785066896848,683.0504019332501,0.020434329169802368,0.020434329169802368,0.14304030418861657,0.027538844984742756,0.014510513908865697,-0.07746322156337757,-0.0015240207461524051,-0.0004934880318005437,,2.942543400451541,96.0,52.0,49.0,37.31131145278932,645.5643302396691,0.057796426637973165,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10157350,5,False,4634.0,4486.0,146.0,2.9629777052250574,0.0204343274817802,0.03193785066896848,443.47146214742367,0.0204343274817802,0.0204343274817802,0.0204343274817802,0.0204343274817802,-0.10198837454752786,-0.14036505218609988,-0.03243933909010124,0.030533313791186022,,2.942543157376349,96.0,52.0,49.0,64.30496762849127,399.0761474176723,0.16113458056712623,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10160286,5,False,4634.0,4486.0,146.0,2.962977571551164,0.020434326579561457,0.03193785066896848,540.6109691781559,0.020434326579561457,0.020434326579561457,0.040868653159122914,0.02688745058336565,0.15789911105410864,-0.025452875817849475,-0.04570365411382074,-0.018087673816643557,,2.94254302745685,96.0,52.0,49.0,240.5345538173426,598.3774999872206,0.40197793837916634,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10223890,5,False,4634.0,4486.0,146.0,2.9629773134583957,0.02043432477512397,0.03193785066896848,126.61685360114332,0.28608054685173556,0.16347459820099175,0.9195446148805786,0.6013677771405898,0.6783062651049697,0.3873650856362902,-0.05208936926999007,-0.21863374722811357,,2.9425427676178515,96.0,52.0,49.0,58.839296227871536,67.67540581751292,0.8694339622658783,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10265594,5,,,,,,,,,,,,,,,,,,,,,,,,,failed,"RuntimeError: No Kepler light curve found for target='KIC 10265594', quarter=5, author='Kepler', cadence='long'."
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10285459,5,False,4634.0,4486.0,146.0,2.9629769569655764,0.02043432227219455,0.03193785066896848,373.37434696258856,0.02043432227219455,0.02043432227219455,0.0408686445443891,0.02244202012997123,0.04912562871019705,-0.027585987965272105,0.0022072702080073777,-0.07396425955328106,,2.942542407196015,96.0,52.0,49.0,89.90373363353396,355.5405454171381,0.25286492579363734,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10286020,5,False,4634.0,4486.0,146.0,2.9629770120154717,0.02043432266509626,0.03193785066896848,274.6785826048762,0.2656461946462514,0.14304025865567382,0.469989421297214,0.3420507454877744,0.5803712309566338,0.39398201046460657,-0.35092354970089923,0.051087893459906636,,2.9425424637738615,96.0,52.0,49.0,111.36659704382404,136.79979913687728,0.8140845070422535,success,
