target_id,quarter,selection_group,sample_stratum,koi_flag,tce_flag,confirmed_planet_flag,eb_flag,catalog_clean,provenance
10066568,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10068585,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10130788,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10140032,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10157350,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10160286,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10223890,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10265594,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10285459,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10286020,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10288718,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10293753,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10296255,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10337035,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10355989,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10358044,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10397887,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10411370,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
