sample_stratum,n_cases,raw_exact_recovery,raw_harmonic_recovery,v2_exact_recovery,v2_harmonic_recovery,v3_exact_recovery,v3_harmonic_recovery,v3_ranking_changed_fraction,v3_transit_veto_pass_fraction,v3_diagnostic_veto_pass_fraction
gap_heavy,12,0.08333333333333333,0.16666666666666666,0.25,0.25,0.16666666666666666,0.25,0.75,1.0,1.0
high_scatter,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,1.0,1.0
long_memory,12,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.8333333333333334,1.0,0.5
quiet_low_scatter,12,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,1.0,0.75
smooth_background_dominant,12,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,1.0,0.5
