injected_period_days,requested_duration_hours,requested_depth,n_cases,raw_harmonic_recovery,hardened_harmonic_recovery,ranking_changed_fraction,median_raw_mes,median_event_consistency_score,median_robust_veto_score,veto_pass_fraction,median_depth_chi2_pvalue,median_odd_even_pvalue,median_robust_event_snr,median_single_event_fraction,median_leave_one_out_ratio
2.0,2.0,0.0002,10,0.1,0.2,0.7,77.7278805048555,63.40455716227207,72.87912950559269,1.0,0.010548582285457951,0.3485446507641724,5.814660955211525,0.29434437439440414,0.7983830357367014
2.0,4.0,0.0005,10,0.3,0.4,0.5,95.55777311575685,82.66588792742262,95.06357303857791,1.0,0.01850927159248497,0.12301981242200867,7.455079751299355,0.20532955461282143,0.8581138252055602
5.0,2.0,0.0005,10,0.2,0.2,0.7,82.53091822934527,71.7208603409525,81.43154749397314,1.0,0.011203411963452956,0.39744069468977117,5.844173150337824,0.2641109646122852,0.7898689359497922
5.0,8.0,0.0002,10,0.2,0.2,0.6,97.577322494603,78.43063772889617,95.74332403848095,1.0,0.01504159001922215,0.47411106372597145,5.735726810799994,0.26431719130947545,0.797854418244094
10.0,4.0,0.0002,10,0.2,0.3,0.7,83.00668923164935,71.03451829753908,75.46442968364616,1.0,0.030600927060169737,0.2947110920909702,5.920862898111412,0.26409208541239887,0.8061678464470581
10.0,8.0,0.0005,10,0.3,0.3,0.5,98.40558891894571,77.52816036387844,94.72470203986589,1.0,0.01965761446264385,0.2740555118454895,5.967847664328153,0.25465223073877497,0.8108471301620783
