injected_period_days,injection_count,raw_bls_recovery_rate,existing_tcf_recovery_rate,kalman_tcf_recovery_rate,gp_bls_recovery_rate,gp_tcf_recovery_rate,existing_without_gp_union_rate,all_six_union_rate,gp_tcf_only_vs_raw_bls_count,raw_bls_only_vs_gp_tcf_count,gp_tcf_unique_vs_existing_without_gp_count,median_gp_depth_retention_fraction,median_gp_snr_retention_fraction,median_gp_length_scale_days
2.0,27,0.8888888888888888,0.7407407407407407,0.8518518518518519,0.9259259259259259,0.8148148148148148,0.8888888888888888,1.0,3,5,3,0.9471205195798528,1.7587911066295752,1.0
5.0,27,0.8148148148148148,1.0,0.9629629629629629,0.9629629629629629,0.6666666666666666,1.0,1.0,0,4,0,0.8767806417821367,1.4941472098893305,1.0
10.0,27,0.7777777777777778,0.6296296296296297,0.6666666666666666,0.8148148148148148,0.6666666666666666,0.7777777777777778,0.8518518518518519,0,3,0,0.7961488210611736,1.4352580748022332,1.0
