injected_period_days,injected_duration_hours,injected_depth,epoch_phase_fraction,injected_epoch_days,observable_transit_count,in_transit_observation_count,raw_bls_recovered_period_days,raw_bls_recovered_score,raw_bls_period_matched,raw_bls_passes_fap_1_percent,raw_bls_recovered,existing_tcf_recovered_period_days,existing_tcf_recovered_score,existing_tcf_period_matched,existing_tcf_passes_fap_1_percent,existing_tcf_recovered,existing_tcf_exact_period_present_top10,existing_tcf_exact_period_rank_top10,kalman_depth_retention_fraction,kalman_snr_retention_fraction,kalman_bls_recovered_period_days,kalman_bls_recovered_power,kalman_bls_recovered,kalman_tcf_recovered_period_days,kalman_tcf_recovered_score,kalman_tcf_recovered,gp_depth_retention_fraction,gp_snr_retention_fraction,gp_length_scale_days,gp_bls_recovered_period_days,gp_bls_recovered_power,gp_bls_recovered,gp_tcf_recovered_period_days,gp_tcf_recovered_score,gp_tcf_recovered,gp_tcf_exact_period_rank_top10,existing_bls_tcf_union,existing_without_gp_union,raw_bls_union_gp_tcf,existing_bls_tcf_union_gp_tcf,existing_bls_tcf_kalman_tcf_union_gp_tcf,all_six_union,gp_tcf_only_vs_raw_bls,raw_bls_only_vs_gp_tcf,gp_tcf_unique_vs_existing_without_gp,gp_bls_unique_vs_existing_without_gp,raw_bls_recovered_period_ratio,existing_tcf_recovered_period_ratio,kalman_bls_recovered_period_ratio,kalman_tcf_recovered_period_ratio,gp_bls_recovered_period_ratio,gp_tcf_recovered_period_ratio
10.0,2.0,0.0002,0.15,445.01122690278135,10,39,11.72072072072072,47.9190762322691,False,False,False,2.512151215121512,18.76989024228601,False,True,False,True,10,0.3177107600830432,0.6221129943476873,2.5135135135135136,0.0010540102319558,False,2.512151215121512,19.672941527310076,False,1.0058023651972992,1.9646078346557736,1.833815370987183,2.5135135135135136,0.0016929079334106,False,1.6748674867486748,16.103921653866337,False,7.0,False,False,False,False,False,False,False,False,False,False,1.172072072072072,0.2512151215121512,0.25135135135135134,0.2512151215121512,0.25135135135135134,0.16748674867486749
10.0,2.0,0.0002,0.45,448.01122690278135,10,41,11.72072072072072,47.89258583026523,False,False,False,2.512151215121512,18.70499668269876,False,True,False,True,10,0.3550716645902173,0.695348533205775,2.5135135135135136,0.001060414779717,False,2.512151215121512,19.61248861819702,False,0.8513933018390023,1.6415733422659748,1.808256594051417,2.5135135135135136,0.0016918615887827,False,1.6748674867486748,15.799094450224793,False,9.0,False,False,False,False,False,False,False,False,False,False,1.172072072072072,0.2512151215121512,0.25135135135135134,0.2512151215121512,0.25135135135135134,0.16748674867486749
10.0,2.0,0.0002,0.75,451.01122690278135,9,37,11.72072072072072,49.90881509173701,False,False,False,2.512151215121512,18.796234567851016,False,True,False,True,10,0.4176429310661865,0.8121431520602749,2.5135135135135136,0.001050072867461,False,2.512151215121512,19.566799443253093,False,0.8581731512561503,1.6859542887908074,1.7651366362238057,2.5135135135135136,0.0018185138736737,False,1.6748674867486748,15.776278440763113,False,5.0,False,False,False,False,False,False,False,False,False,False,1.172072072072072,0.2512151215121512,0.25135135135135134,0.2512151215121512,0.25135135135135134,0.16748674867486749
10.0,4.0,0.0002,0.45,448.01122690278135,10,80,11.72072072072072,47.37539177397856,False,False,False,2.512151215121512,18.711292050369757,False,True,False,True,8,0.1793565147395556,0.3507338272960955,2.5135135135135136,0.0010497265616257,False,2.512151215121512,19.516093601943293,False,0.7961488210611736,1.5309055263100102,1.5549719458760298,2.5135135135135136,0.0016830881614028,False,1.6748674867486748,15.22209233178414,False,,False,False,False,False,False,False,False,False,False,False,1.172072072072072,0.2512151215121512,0.25135135135135134,0.2512151215121512,0.25135135135135134,0.16748674867486749
