first_method,second_method,injection_count,first_recovered_count,second_recovered_count,both_recovered_count,first_only_count,second_only_count,neither_count,first_recovery_rate,second_recovery_rate,intersection_recovery_rate,union_recovery_rate,incremental_recoveries_contributed_by_second,incremental_recovery_rate_contributed_by_second
raw_bls,existing_tcf,81,67,64,59,8,5,9,0.8271604938271605,0.7901234567901234,0.7283950617283951,0.8888888888888888,5,0.06172839506172839
raw_bls,kalman_bls,81,67,64,59,8,5,9,0.8271604938271605,0.7901234567901234,0.7283950617283951,0.8888888888888888,5,0.06172839506172839
raw_bls,kalman_tcf,81,67,67,63,4,4,10,0.8271604938271605,0.8271604938271605,0.7777777777777778,0.8765432098765432,4,0.04938271604938271
raw_bls,gp_bls,81,67,73,66,1,7,7,0.8271604938271605,0.9012345679012346,0.8148148148148148,0.9135802469135802,7,0.08641975308641975
raw_bls,gp_tcf,81,67,58,55,12,3,11,0.8271604938271605,0.7160493827160493,0.6790123456790124,0.8641975308641975,3,0.037037037037037035
existing_tcf,raw_bls,81,64,67,59,5,8,9,0.7901234567901234,0.8271604938271605,0.7283950617283951,0.8888888888888888,8,0.09876543209876543
existing_tcf,kalman_bls,81,64,64,62,2,2,15,0.7901234567901234,0.7901234567901234,0.7654320987654321,0.8148148148148148,2,0.024691358024691357
existing_tcf,kalman_tcf,81,64,67,63,1,4,13,0.7901234567901234,0.8271604938271605,0.7777777777777778,0.8395061728395061,4,0.04938271604938271
existing_tcf,gp_bls,81,64,73,63,1,10,7,0.7901234567901234,0.9012345679012346,0.7777777777777778,0.9135802469135802,10,0.12345679012345678
existing_tcf,gp_tcf,81,64,58,54,10,4,13,0.7901234567901234,0.7160493827160493,0.6666666666666666,0.8395061728395061,4,0.04938271604938271
kalman_bls,raw_bls,81,64,67,59,5,8,9,0.7901234567901234,0.8271604938271605,0.7283950617283951,0.8888888888888888,8,0.09876543209876543
kalman_bls,existing_tcf,81,64,64,62,2,2,15,0.7901234567901234,0.7901234567901234,0.7654320987654321,0.8148148148148148,2,0.024691358024691357
kalman_bls,kalman_tcf,81,64,67,62,2,5,12,0.7901234567901234,0.8271604938271605,0.7654320987654321,0.8518518518518519,5,0.06172839506172839
kalman_bls,gp_bls,81,64,73,63,1,10,7,0.7901234567901234,0.9012345679012346,0.7777777777777778,0.9135802469135802,10,0.12345679012345678
kalman_bls,gp_tcf,81,64,58,54,10,4,13,0.7901234567901234,0.7160493827160493,0.6666666666666666,0.8395061728395061,4,0.04938271604938271
kalman_tcf,raw_bls,81,67,67,63,4,4,10,0.8271604938271605,0.8271604938271605,0.7777777777777778,0.8765432098765432,4,0.04938271604938271
kalman_tcf,existing_tcf,81,67,64,63,4,1,13,0.8271604938271605,0.7901234567901234,0.7777777777777778,0.8395061728395061,1,0.012345679012345678
kalman_tcf,kalman_bls,81,67,64,62,5,2,12,0.8271604938271605,0.7901234567901234,0.7654320987654321,0.8518518518518519,2,0.024691358024691357
kalman_tcf,gp_bls,81,67,73,67,0,6,8,0.8271604938271605,0.9012345679012346,0.8271604938271605,0.9012345679012346,6,0.07407407407407407
kalman_tcf,gp_tcf,81,67,58,55,12,3,11,0.8271604938271605,0.7160493827160493,0.6790123456790124,0.8641975308641975,3,0.037037037037037035
gp_bls,raw_bls,81,73,67,66,7,1,7,0.9012345679012346,0.8271604938271605,0.8148148148148148,0.9135802469135802,1,0.012345679012345678
gp_bls,existing_tcf,81,73,64,63,10,1,7,0.9012345679012346,0.7901234567901234,0.7777777777777778,0.9135802469135802,1,0.012345679012345678
gp_bls,kalman_bls,81,73,64,63,10,1,7,0.9012345679012346,0.7901234567901234,0.7777777777777778,0.9135802469135802,1,0.012345679012345678
gp_bls,kalman_tcf,81,73,67,67,6,0,8,0.9012345679012346,0.8271604938271605,0.8271604938271605,0.9012345679012346,0,0.0
gp_bls,gp_tcf,81,73,58,56,17,2,6,0.9012345679012346,0.7160493827160493,0.691358024691358,0.9259259259259259,2,0.024691358024691357
gp_tcf,raw_bls,81,58,67,55,3,12,11,0.7160493827160493,0.8271604938271605,0.6790123456790124,0.8641975308641975,12,0.14814814814814814
gp_tcf,existing_tcf,81,58,64,54,4,10,13,0.7160493827160493,0.7901234567901234,0.6666666666666666,0.8395061728395061,10,0.12345679012345678
gp_tcf,kalman_bls,81,58,64,54,4,10,13,0.7160493827160493,0.7901234567901234,0.6666666666666666,0.8395061728395061,10,0.12345679012345678
gp_tcf,kalman_tcf,81,58,67,55,3,12,11,0.7160493827160493,0.8271604938271605,0.6790123456790124,0.8641975308641975,12,0.14814814814814814
gp_tcf,gp_bls,81,58,73,56,2,17,6,0.7160493827160493,0.9012345679012346,0.691358024691358,0.9259259259259259,17,0.20987654320987653
