injected_duration_hours,injection_count,raw_bls_recovery_rate,existing_tcf_recovery_rate,kalman_tcf_recovery_rate,gp_bls_recovery_rate,gp_tcf_recovery_rate,existing_without_gp_union_rate,all_six_union_rate,gp_tcf_only_vs_raw_bls_count,raw_bls_only_vs_gp_tcf_count,gp_tcf_unique_vs_existing_without_gp_count,median_gp_depth_retention_fraction,median_gp_snr_retention_fraction,median_gp_length_scale_days
2.0,27,0.6666666666666666,0.7777777777777778,0.7407407407407407,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,3,0,3,0.9486794178053513,1.698293140055182,1.0
4.0,27,0.8148148148148148,0.8518518518518519,0.8888888888888888,0.9629629629629629,0.7037037037037037,0.8888888888888888,0.9629629629629629,0,3,0,0.8428739275750152,1.4738995900217629,1.0
8.0,27,1.0,0.7407407407407407,0.8518518518518519,0.9629629629629629,0.6666666666666666,1.0,1.0,0,9,0,0.7063436216784744,1.20439004014393,1.0
