target_id,quarter,sample_stratum,case_index,pipeline,branch,detector,zero_injection_control,injected_period_days,injected_epoch_days,requested_duration_hours,requested_depth,phase_fraction,success,error,recovered_period_days,recovered_epoch_days,recovered_duration_hours,mes,max_ses,observed_event_count,expected_event_count,observability_fraction,period_cadences,duration_cadences,period_exact_fractional_error,exact_period_recovered,harmonic_period_recovered,runtime_seconds,wavelet,segment_count,n_period_trials,n_duration_trials,radius_ratio,realized_max_depth_on_observed_cadences,in_transit_cadence_count,event_consistency_score,consistency_weight,valid_event_count,expected_event_count_event_check,event_observability_fraction,positive_event_fraction,single_event_fraction,anti_dominance_score,combined_event_snr,leave_one_out_combined_snr_min,leave_one_out_ratio,leave_one_out_ratio_normalized,median_event_depth,event_depth_relative_mad,event_consistent_flag,raw_rank_of_selected_candidate,ranking_changed,raw_top1_period_days,raw_top1_epoch_days,raw_top1_duration_hours,raw_top1_mes,raw_top1_max_ses,raw_top1_period_exact_fractional_error,raw_top1_exact_period_recovered,raw_top1_harmonic_period_recovered,raw_fap_threshold,hardened_fap_threshold,raw_empirical_p_value,hardened_empirical_p_value,raw_passes_fap,hardened_passes_fap,raw_fap_harmonic_recovered,hardened_fap_harmonic_recovered
12645975,5,gap_heavy,0,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,2.0,443.81103698692897,2.0,0.0002,0.15,True,,13.609148362535052,455.3015103537691,9.80839521624148,25.363013050705263,20.667918176130193,3,7,0.4285714285714285,666,20,5.804574181267526,False,False,0.4117061253637075,db6,43,686,7,0.0132896961208007,0.0001999774358178,225,0.0,0.0,7,7,1.0,0.5714285714285714,0.4513962217614172,0.6400377412783465,-0.3588628464740506,-1.0959287552044752,0.0,0.0,5.82021070894001e-05,6.621463140501126,False,1,False,13.609148362535052,455.3015103537691,9.80839521624148,25.363013050705263,20.667918176130193,5.804574181267526,False,False,64.59926405062633,51.87024903258134,0.9306930693069307,1.0,False,False,False,False
12645975,5,gap_heavy,1,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,2.0,444.41103698692893,4.0,0.0005,0.45,True,,2.002547356649302,444.34880236229947,3.923358086496592,47.15037600934835,22.442570420001843,27,47,0.574468085106383,98,8,0.0012736783246509,True,True,0.4029709999449551,db6,43,686,7,0.0209786415672256,0.0004999900603063,424,45.39826905237933,0.9628400215382876,46,47,0.9787234042553192,0.9347826086956522,0.051353892349482,0.969727132264974,12.260975179214444,11.747589037536,0.9581284413209834,0.9687158173253696,0.0004875758202461,0.5241036391328836,True,1,False,2.002547356649302,444.34880236229947,3.923358086496592,47.15037600934835,22.442570420001843,0.0012736783246509,True,True,64.59926405062633,51.87024903258134,0.0891089108910891,0.019801980198019802,False,False,False,False
12645975,5,gap_heavy,2,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,5.0,447.26103698692896,2.0,0.0005,0.75,True,,5.9259054431458935,444.0218558550914,7.846716172993183,28.099781203914464,19.342758392871843,11,16,0.6875,290,16,0.1851810886291787,False,False,0.400703459046781,db6,43,686,7,0.0210136524520293,0.0004999857716809,98,23.20619715062011,0.825849745313581,16,16,1.0,0.6875,0.1971414448669886,0.8563824588085455,2.5880453488468973,1.979799504874147,0.7649786761875119,0.7900665794874746,0.0001381618613745,1.8423675060925095,True,1,False,5.9259054431458935,444.0218558550914,7.846716172993183,28.099781203914464,19.342758392871843,0.1851810886291787,False,False,64.59926405062633,51.87024903258134,0.8217821782178217,0.6237623762376238,False,False,False,False
12645975,5,gap_heavy,3,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,5.0,445.76103698692896,8.0,0.0002,0.45,True,,10.830103051266631,445.2274711004211,9.80839521624148,29.343813624841314,25.926078043379892,4,9,0.4444444444444444,530,20,1.1660206102533266,False,False,0.4002537922933697,db6,43,686,7,0.0132623428976322,0.0001999999873457,305,0.0,0.0,9,9,1.0,0.5555555555555556,0.4861346861307301,0.5780984781029287,-1.4646423547968392,-1.9571777853337649,0.0,0.0,4.168745962318532e-07,373.3871076930518,False,1,False,10.830103051266631,445.2274711004211,9.80839521624148,29.343813624841314,25.926078043379892,1.1660206102533266,False,False,64.59926405062633,51.87024903258134,0.7029702970297029,1.0,False,False,False,False
12645975,5,gap_heavy,4,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,10.0,445.01103698692896,4.0,0.0002,0.15,True,,13.609148362535052,455.2810761970686,9.80839521624148,26.46813759992034,21.275429957940517,3,7,0.4285714285714285,666,20,0.3609148362535052,False,False,0.3989793327637017,db6,43,686,7,0.0132676443400281,0.000199996334662,85,0.0,0.0,7,7,1.0,0.5714285714285714,0.5425018922267338,0.5337477924021438,-1.0602169223137057,-1.873187211928918,0.0,0.0,1.856695317076218e-05,20.569474611316373,False,1,False,13.609148362535052,455.2810761970686,9.80839521624148,26.46813759992034,21.275429957940517,0.3609148362535052,False,False,64.59926405062633,51.87024903258134,0.8712871287128713,1.0,False,False,False,False
12645975,5,gap_heavy,5,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,10.0,451.01103698692896,8.0,0.0005,0.75,True,,5.006368391623255,445.9426665849387,5.885037129744887,44.11788644910206,33.90367292699,11,19,0.5789473684210527,245,12,0.4993631608376745,False,True,0.4004609170369804,db6,43,686,7,0.0209698318997982,0.000499998527042,153,40.07242137451854,0.9083032892055992,18,19,0.9473684210526316,0.8333333333333334,0.1211617986074038,0.930534566180396,7.542217369985631,6.791107920099167,0.9004126488218814,0.926516971904228,0.0004466603494646,0.6646005433820226,True,1,False,5.006368391623255,445.9426665849387,5.885037129744887,44.11788644910206,33.90367292699,0.4993631608376745,False,True,64.59926405062633,51.87024903258134,0.1485148514851485,0.0297029702970297,False,False,False,False
1431344,5,gap_heavy,0,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,2.0,443.8104384814404,2.0,0.0002,0.15,True,,12.260731088463215,449.64086386159033,9.808584870770574,93.48056920375603,85.55379988097046,3,8,0.375,600,20,5.1303655442316085,False,False,0.4023963748477399,db6,44,686,7,0.0132896972821566,0.0001999998500695,229,65.9860526572714,0.7058798766345135,8,8,1.0,0.625,0.3771830929742583,0.7117907508865619,2.8366838571580986,1.4808320672552648,0.5220292925905464,0.5580727882096552,9.788080886791171e-05,1.3166401540433017,False,1,False,12.260731088463215,449.64086386159033,9.808584870770574,93.48056920375603,85.55379988097046,5.1303655442316085,False,False,122.31882622854027,98.78636198738378,0.15841584158415842,0.1782178217821782,False,False,False,False
1431344,5,gap_heavy,1,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,2.0,444.41043848144034,4.0,0.0005,0.45,True,,12.076820122136269,450.78519876318023,9.808584870770574,93.18279960817148,86.74167158869739,3,8,0.375,591,20,5.038410061068134,False,False,0.4094012081623077,db6,44,686,7,0.0209786420211848,0.0004999999974948,418,0.0,0.0,8,8,1.0,0.5,0.3851711196582295,0.702661577533452,0.0164609440318176,-0.3950195160860987,0.0,0.0,1.0629931232686296e-05,6.925983154390551,False,1,False,12.076820122136269,450.78519876318023,9.808584870770574,93.18279960817148,86.74167158869739,5.038410061068134,False,False,122.31882622854027,98.78636198738378,0.15841584158415842,1.0,False,False,False,False
1431344,5,gap_heavy,2,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,5.0,447.2604384814403,2.0,0.0005,0.75,True,,12.260731088463215,449.64086386159033,9.808584870770574,93.21827228693354,85.95931767581779,3,8,0.375,600,20,1.4521462176926434,False,False,0.4062764998525381,db6,44,686,7,0.0210136543129686,0.0004999894170547,96,70.38780403117634,0.755085910780634,8,8,1.0,0.625,0.2929171549605185,0.8080946800451217,2.279514731977945,1.3724281963470155,0.6020703341347364,0.6436402608779119,0.0001093651553769,0.7484540900728642,False,1,False,12.260731088463215,449.64086386159033,9.808584870770574,93.21827228693354,85.95931767581779,1.4521462176926434,False,False,122.31882622854027,98.78636198738378,0.15841584158415842,0.1485148514851485,False,False,False,False
1431344,5,gap_heavy,3,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,5.0,445.7604384814403,8.0,0.0002,0.45,True,,12.260731088463215,449.64086386159033,9.808584870770574,96.24072026399726,85.67167824616584,3,8,0.375,600,20,1.4521462176926434,False,False,0.407470166683197,db6,44,686,7,0.0132623429668458,0.0001999999213361,305,74.61669609985778,0.7753131511815086,8,8,1.0,0.625,0.2576128744451589,0.8484424292055327,2.459315332244082,1.567561002450995,0.6373973202617426,0.6814063976192185,0.0001307757970085,0.9590288169064968,False,1,False,12.260731088463215,449.64086386159033,9.808584870770574,96.24072026399726,85.67167824616584,1.4521462176926434,False,False,122.31882622854027,98.78636198738378,0.13861386138613863,0.13861386138613863,False,False,False,False
