run_id,config_hash,star_id,injection_id,treatment,depth_before,depth_after,depth_retention_fraction,snr_before,snr_after,snr_retention_fraction,in_transit_observation_count,template_hash,success,error,diagnostics
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_5171052_q5,batman_00001,raw,0.0003769240147035169,0.0003769240147035169,1.0,8.03271244933899,8.03271244933899,1.0,161,dc5cf7e7b8a25e38,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_5171052_q5,batman_00002,arima,0.000777509242551544,0.000139785766400786,0.1797866298567108,16.569674333519295,2.384507982441079,0.14390795705727213,161,060d1f1e0577f798,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_5171052_q5,batman_00002,gp,0.000777509242551544,0.0006458214238966586,0.830628613207572,16.569674333519295,12.979735622205403,0.7833428322696907,161,060d1f1e0577f798,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_5171052_q5,batman_00002,kalman,0.000777509242551544,0.0007860712437163779,1.011012089241198,16.569674333519295,16.90257617334767,1.0200910309477198,161,060d1f1e0577f798,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_5171052_q5,batman_00002,raw,0.000777509242551544,0.000777509242551544,1.0,16.569674333519295,16.569674333519295,1.0,161,060d1f1e0577f798,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7583204_q5,batman_00000,arima,0.0001789264731811846,2.289594887679058e-05,0.12796289151469317,14.718144129437787,1.6598290343548823,0.1127743429985208,161,db2f5e0b0984cf70,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7583204_q5,batman_00000,gp,0.0001789264731811846,0.00017447276222456881,0.975108708748169,14.718144129437787,14.633164650930283,0.9942262096525107,161,db2f5e0b0984cf70,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7583204_q5,batman_00000,kalman,0.0001789264731811846,0.0001745259729580267,0.9754060975722588,14.718144129437787,15.2129610321692,1.0336195174051686,161,db2f5e0b0984cf70,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7583204_q5,batman_00000,raw,0.0001789264731811846,0.0001789264731811846,1.0,14.718144129437787,14.718144129437787,1.0,161,db2f5e0b0984cf70,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7583204_q5,batman_00001,arima,0.0004249233213721171,2.3300133770643506e-05,0.054833737285600606,34.953367026807825,1.686583847867228,0.04825240002125363,161,ec89de6cb4800bc7,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7583204_q5,batman_00001,gp,0.0004249233213721171,0.00038380664944036,0.9032374316406369,34.953367026807825,32.183418230114164,0.9207530194567745,161,ec89de6cb4800bc7,1,,
