run_id,config_hash,star_id,injection_id,injection_kind,period_days,epoch_days,duration_days,depth,epoch_phase_fraction,batman_used,seed,template_hash,success,error,diagnostics
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7583204_q5,batman_00000,batman,5.0,445.7408956738436,0.16666666666666666,0.0002,0.45,1,123,db2f5e0b0984cf70,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7583204_q5,batman_00001,batman,5.0,445.7408956738436,0.16666666666666666,0.0005,0.45,1,124,ec89de6cb4800bc7,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7583204_q5,batman_00002,batman,5.0,445.7408956738436,0.16666666666666666,0.001,0.45,1,125,5361a24bafdd9317,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10677499_q5,batman_00000,batman,5.0,445.7400786143626,0.16666666666666666,0.0002,0.45,1,123,90f42855af0ca939,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10677499_q5,batman_00001,batman,5.0,445.7400786143626,0.16666666666666666,0.0005,0.45,1,124,db274a711dc1262b,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10677499_q5,batman_00002,batman,5.0,445.7400786143626,0.16666666666666666,0.001,0.45,1,125,067111b6a60dbe4d,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2996004_q5,batman_00000,batman,5.0,445.7399204546018,0.16666666666666666,0.0002,0.45,1,123,c0f87d12ae665f84,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2996004_q5,batman_00001,batman,5.0,445.7399204546018,0.16666666666666666,0.0005,0.45,1,124,9759c9c0accc151f,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2996004_q5,batman_00002,batman,5.0,445.7399204546018,0.16666666666666666,0.001,0.45,1,125,f133f7b27530d8d7,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3657874_q5,batman_00000,batman,5.0,445.73982581104065,0.16666666666666666,0.0002,0.45,1,123,2f0b5a246419c0c1,1,,
