target_id,quarter,sample_stratum,case_index,branch,detector,pipeline,success,recovered_period_days,recovered_duration_hours,recovered_epoch_days,recovered_depth_raw,score,period_exact_fractional_error,exact_period_recovered,harmonic_period_recovered,runtime_seconds,error,seed_source,ingress_fraction,bls_seed_rank,tls_snr
12645975,5,gap_heavy,0,raw,bls,raw_bls,True,12.578947368421051,3.6000000000000005,444.079786986929,0.00047379813842865693,0.00358493168507933,5.289473684210526,False,False,0.01836591586470604,,,,,
12645975,5,gap_heavy,0,raw,trapezoid,raw_trapezoid,True,12.578947368421051,5.75,444.10973490359567,0.00036382454317056685,1.4179082624442892e-05,5.289473684210526,False,False,0.10002366686239839,,bls_top_peaks,0.1,1.0,
12645975,5,gap_heavy,0,raw,tls,raw_tls,True,9.46635741031118,1.12107713683298,448.00143444717247,0.9990665313390061,9.014634686684774,3.7331787051555896,False,False,18.961658915970474,,,,,4.2327325313795425
12645975,5,gap_heavy,0,arima,bls,arima_bls,True,14.82456140350877,1.5,453.6814708965379,0.0010562427468442024,0.004472254911139308,6.412280701754385,False,False,0.021319750230759382,,,,,
12645975,5,gap_heavy,0,arima,trapezoid,arima_trapezoid,True,14.82456140350877,1.5,453.6814708965379,0.00149220083085854,2.4575664894543707e-05,6.412280701754385,False,False,0.08103299979120493,,bls_top_peaks,0.3,1.0,
12645975,5,gap_heavy,0,arima,tls,arima_tls,True,9.320128064531165,1.1210911593468587,447.7310378584726,0.9988032885303213,6.209172133310083,3.6600640322655824,False,False,15.284091792069376,,,,,5.300211335760408
12645975,5,gap_heavy,0,kalman,bls,kalman_bls,True,14.543859649122806,5.7,450.72353698692893,0.0003633875499910214,0.0032603940289900476,6.271929824561403,False,False,0.017808249685913324,,,,,
12645975,5,gap_heavy,0,kalman,trapezoid,kalman_trapezoid,True,9.912280701754385,10.0,443.96207865359565,0.00023728880252998663,1.3327317412860796e-05,3.9561403508771926,False,False,0.10165108321234584,,bls_top_peaks,0.1,3.0,
12645975,5,gap_heavy,0,kalman,tls,kalman_tls,True,9.46635741031118,1.12107713683298,448.00143444717247,0.9990891676255489,8.827624464821119,3.7331787051555896,False,False,14.981085957959294,,,,,4.10840239524143
12645975,5,gap_heavy,0,gp,bls,gp_bls,True,12.543859649122806,7.950000000000001,444.20166198692897,0.0004172278233484725,0.004581375873486355,5.271929824561403,False,False,0.01754475012421608,,,,,
12645975,5,gap_heavy,0,gp,trapezoid,gp_trapezoid,True,12.578947368421051,5.75,444.10973490359567,0.0005030290352388283,2.3257356217619256e-05,5.289473684210526,False,False,0.10295370873063803,,bls_top_peaks,0.1,2.0,
12645975,5,gap_heavy,0,gp,tls,gp_tls,True,12.567465932585163,6.439148949212802,444.1467682846897,0.9995053931729927,8.048500583306778,5.283732966292582,False,False,15.524053500033915,,,,,5.661995739912191
