branch,n_cases,median_template_amplitude_ratio,median_peak_depth_ratio,median_template_energy_ratio,median_template_correlation,median_template_rmse_ppm,median_oracle_signal_snr,median_background_scale_ppm,median_abs_background_acf1,oracle_snr_gain_vs_raw
arima,1,0.33554183043058045,0.9686998056035755,0.7616793230516424,0.5178712097358888,34.03025213152301,2.17040090626761,838.7472254660289,0.18593489714391404,0.614113843325194
gp,1,0.9384856384404401,1.0276303556483652,1.0942657489076857,0.9626682997815094,20.202041885707885,3.69853190456281,707.1187104388725,0.05601474808821762,1.046497739663155
kalman,1,0.9575092042218544,0.9744591796558163,0.9821130314569657,0.9979532481745067,7.942208833730332,3.4520336887346286,679.963093016904,0.02497102696467326,0.9767511936412179
raw,1,1.0,1.0,1.0,1.0,0.0,3.5341996111270033,676.2508402428601,0.010684410029548536,1.0
