method,n_cases,exact_period_recovery,harmonic_period_recovery,median_score,score_name,ranking_changed_fraction,event_consistent_flag_fraction
tps_like_raw_top1,2,0.5,0.5,36.25669453002681,raw_top1_mes,,
tps_like_event_consistency_hardened,2,0.5,0.5,22.699134526189663,event_consistency_score,0.0,0.5
