injected_depth,injection_count,period_match_rate,detection_rate_fap_1_percent,recovery_rate_fap_1_percent,detection_rate_fap_0_1_percent,recovery_rate_fap_0_1_percent,median_period_error_fraction,median_depth_retention_fraction,median_duration_recovery_fraction
0.0002,27,0.6666666666666666,0.48148148148148145,0.48148148148148145,0.25925925925925924,0.25925925925925924,0.0016016016016015655,0.8628930344470915,1.25625
0.0005,27,1.0,1.0,1.0,0.9629629629629629,0.9629629629629629,0.00030030030030037125,0.9205386730169347,0.9750000000000001
0.001,27,1.0,1.0,1.0,1.0,1.0,0.00030030030030037125,0.8845467142760692,0.9750000000000001
