configuration,transit_window,center_time,time,phase_days,normalized_flux,injected_flux,in_transit,gp_background,gp_background_std,gp_residual
optimized_reference,0,444.51122690278135,444.1651178890752,-0.34610901370615466,2.452944953024172e-05,2.452944953024172e-05,False,-0.0001770417598538892,3.0121283919452786e-05,0.0002015712093841309
optimized_reference,0,444.51122690278135,444.18555198771355,-0.32567491506779334,-1.3879249734172205e-05,-1.3879249734172205e-05,False,-0.00018386782716954195,3.004655250499255e-05,0.00016998857743536974
optimized_reference,0,444.51122690278135,444.20598598646757,-0.30524091631377814,6.96228486667394e-05,6.96228486667394e-05,False,-0.0001904467532911902,2.996452849127286e-05,0.0002600696019579296
optimized_reference,0,444.51122690278135,444.22642018536135,-0.28480671741999686,,,False,-0.00019675818727464545,2.9876823851351966e-05,
optimized_reference,0,444.51122690278135,444.24685428437806,-0.26437261840328574,3.33668493610606e-05,3.33668493610606e-05,False,-0.00020278248587557272,2.9785099009428992e-05,0.00023614933523663333
optimized_reference,0,444.51122690278135,444.26728828356863,-0.2439386192127131,-1.965754962351962e-05,-1.965754962351962e-05,False,-0.00020850107521916232,2.9691010166993967e-05,0.0001888435255956427
optimized_reference,0,444.51122690278135,444.28772248284076,-0.223504419940582,3.982494923726598e-05,3.982494923726598e-05,False,-0.00021389649840710366,2.9596166002382978e-05,0.00025372144764436964
optimized_reference,0,444.51122690278135,444.3081565822649,-0.20307032051641727,-2.1357049591053112e-05,-2.1357049591053112e-05,False,-0.00021895224030330299,2.950209460851595e-05,0.00019759519071224987
optimized_reference,0,444.51122690278135,444.32859058183385,-0.18263632094749482,-3.019444942176097e-05,-3.019444942176097e-05,False,-0.0002236530381835647,2.9410207736699853e-05,0.00019345858876180372
optimized_reference,0,444.51122690278135,444.34902478148433,-0.16220212129701395,-1.7731449660440823e-05,-1.7731449660440823e-05,False,-0.00022798491224077823,2.932177500697617e-05,0.0002102534625803374
optimized_reference,0,444.51122690278135,444.36945888131595,-0.14176802146539558,-6.214504880996952e-05,-6.214504880996952e-05,False,-0.0002319350226500684,2.9237907581852104e-05,0.0001697899738400989
