level,feature,outcome,n,spearman_correlation,pearson_correlation
injection_row,background_acf_6h,harmonic_union,900,-0.24532990996965381,-0.2974255979241902
injection_row,background_acf_6h,harmonic_neither,900,0.24532990996965381,0.2974255979241902
injection_row,robust_flux_scatter_ppm,harmonic_tcf_recovered,900,-0.23743538855656945,-2.087021785298291e-05
injection_row,background_tau_integrated_positive_acf_days,harmonic_tcf_recovered,900,0.23038684012613694,0.18590561336157854
injection_row,background_acf_6h,harmonic_tcf_recovered,900,0.21890777553943255,0.2116909165562291
injection_row,background_to_transit_integrated_positive_acf_days,harmonic_tcf_recovered,900,0.21658687211264754,0.1663244715831364
injection_row,background_acf_2d,harmonic_tcf_only,900,-0.21360343998529283,-0.3248453581356981
injection_row,rolling_background_to_short_scatter_ratio,harmonic_tcf_recovered,900,0.19977600122825862,0.08342288109480699
injection_row,background_to_transit_acf_e_days,harmonic_tcf_recovered,900,0.15134905380044011,0.16185741754652064
injection_row,robust_flux_scatter_ppm,harmonic_tcf_only,900,0.14776873237205992,0.2008172433634869
injection_row,gap_fraction,harmonic_bls_recovered,900,-0.11669337342993244,-0.11669337342993247
injection_row,background_to_transit_acf_half_days,harmonic_tcf_recovered,900,0.11248825462063754,0.14267924472394503
injection_row,gap_fraction,exact_union,900,-0.09277434556661927,-0.0927743455666193
injection_row,gap_fraction,harmonic_bls_only,900,-0.0921922408744524,-0.09219224087445245
injection_row,gap_fraction,harmonic_neither,900,0.09133370363944028,0.09133370363944028
injection_row,gap_fraction,harmonic_union,900,-0.09133370363944028,-0.09133370363944028
injection_row,background_acf_2d,harmonic_tcf_recovered,900,-0.08699922634133843,-0.12246382652292058
injection_row,background_tau_acf_e_days,harmonic_tcf_recovered,900,0.07833958112680706,0.1803155413543418
injection_row,background_acf_1d,exact_union,900,-0.07691631054908818,-0.007920166146849554
injection_row,background_acf_1d,harmonic_neither,900,0.07652781530503963,0.03616683603706353
injection_row,background_acf_1d,harmonic_union,900,-0.07652781530503963,-0.03616683603706353
injection_row,background_acf_1d,harmonic_tcf_recovered,900,-0.06504803265799146,-0.09759778109515672
injection_row,background_acf_1d,harmonic_bls_recovered,900,-0.06060466778994998,0.0363873110147884
injection_row,gap_fraction,harmonic_tcf_only,900,0.050795881465362125,0.0507958814653621
injection_row,background_tau_acf_half_days,harmonic_tcf_recovered,900,0.03987464540644678,0.15729645891801736
injection_row,background_acf_1d,harmonic_tcf_only,900,-0.02673636597393302,-0.13386617011333132
injection_row,background_acf_1d,harmonic_bls_only,900,-0.02537491735043109,0.03968847306644825
injection_row,gap_fraction,harmonic_tcf_recovered,900,0.0024539895773198093,0.0024539895773197963
star,robust_flux_scatter_ppm,exact_union_recovery_rate,50,-0.831083257117598,-0.617201251655336
star,robust_flux_scatter_ppm,harmonic_union_recovery_rate,50,-0.8242335427764458,-0.5656166149142972
star,robust_flux_scatter_ppm,harmonic_neither_rate,50,0.8242335427764458,0.5656166149142972
star,robust_flux_scatter_ppm,harmonic_bls_recovery_rate,50,-0.7969850875360452,-0.6138220017513207
star,rolling_background_to_short_scatter_ratio,harmonic_bls_only_rate,50,-0.6750906794699609,-0.37213274796390294
star,rolling_background_to_short_scatter_ratio,harmonic_tcf_only_rate,50,0.6040517292606821,0.358013909623584
star,median_background_tau_acf_e_days,harmonic_bls_recovery_rate,50,-0.6012300959518514,-0.7002409597723908
star,median_background_to_transit_acf_e,harmonic_bls_recovery_rate,50,-0.6012300959518514,-0.7002409597723908
star,rolling_background_to_short_scatter_ratio,harmonic_bls_recovery_rate,50,-0.5908657377098845,-0.41006942621466014
star,median_background_tau_acf_e_days,harmonic_bls_only_rate,50,-0.5762448712395004,-0.6504987380840559
star,median_background_to_transit_acf_e,harmonic_bls_only_rate,50,-0.5762448712395004,-0.6504987380840559
star,median_background_tau_acf_e_days,harmonic_tcf_only_rate,50,0.5423324526654314,0.6648818521627553
star,median_background_to_transit_acf_e,harmonic_tcf_only_rate,50,0.5423324526654314,0.6648818521627554
star,median_background_tau_acf_e_days,exact_union_recovery_rate,50,-0.5400304118474313,-0.572638458009086
star,median_background_to_transit_acf_e,exact_union_recovery_rate,50,-0.5400304118474313,-0.572638458009086
star,robust_flux_scatter_ppm,harmonic_bls_only_rate,50,-0.5353582096407378,-0.5286944198059379
star,rolling_background_to_short_scatter_ratio,exact_union_recovery_rate,50,-0.5132025965340671,-0.36771352677510055
star,median_background_to_transit_acf_e,harmonic_neither_rate,50,0.48218265644473896,0.48811271391211963
star,median_background_to_transit_acf_e,harmonic_union_recovery_rate,50,-0.48218265644473896,-0.48811271391211963
star,median_background_tau_acf_e_days,harmonic_union_recovery_rate,50,-0.48218265644473896,-0.48811271391211963
star,median_background_tau_acf_e_days,harmonic_neither_rate,50,0.48218265644473896,0.4881127139121197
star,rolling_background_to_short_scatter_ratio,harmonic_neither_rate,50,0.4535094661425891,0.3019726672883057
star,rolling_background_to_short_scatter_ratio,harmonic_union_recovery_rate,50,-0.4535094661425891,-0.3019726672883057
star,rolling_background_to_short_scatter_ratio,harmonic_tcf_recovery_rate,50,0.39058351472253533,0.13340451867986386
star,robust_flux_scatter_ppm,harmonic_tcf_recovery_rate,50,-0.34425180374413883,-3.337431326852578e-05
star,robust_flux_scatter_ppm,harmonic_tcf_only_rate,50,0.32273389638404515,0.31508887231544125
star,median_background_tau_acf_e_days,harmonic_tcf_recovery_rate,50,0.24789006339439185,0.28834904392162547
star,median_background_to_transit_acf_e,harmonic_tcf_recovery_rate,50,0.24789006339439185,0.28834904392162547
star,gap_fraction,harmonic_tcf_only_rate,50,0.21059653926981522,0.07970041188255791
star,gap_fraction,harmonic_tcf_recovery_rate,50,0.17212563873400283,0.003924262673638699
star,gap_fraction,harmonic_neither_rate,50,0.15734553685483382,0.13460486170131142
star,gap_fraction,harmonic_union_recovery_rate,50,-0.15734553685483382,-0.13460486170131142
star,gap_fraction,harmonic_bls_recovery_rate,50,-0.155644289126919,-0.14812318479877165
star,gap_fraction,exact_union_recovery_rate,50,-0.14846120077981595,-0.13290988466444936
star,gap_fraction,harmonic_bls_only_rate,50,-0.13002229519440478,-0.12846685647226697
