injected_period_days,injection_count,star_count,median_background_tau_acf_e_days,median_background_to_transit_acf_e,harmonic_bls_recovery_rate,harmonic_tcf_recovery_rate,harmonic_union_recovery_rate,harmonic_both_rate,harmonic_bls_only_rate,harmonic_tcf_only_rate,harmonic_neither_rate,exact_union_recovery_rate
2.0,300,50,0.020434626705537084,0.24521525634918362,0.6333333333333333,0.13666666666666666,0.6933333333333334,0.07666666666666666,0.5566666666666666,0.06,0.30666666666666664,0.6333333333333333
5.0,300,50,0.020434626705537084,0.24521525634918362,0.5166666666666667,0.24333333333333335,0.6166666666666667,0.14333333333333334,0.37333333333333335,0.1,0.38333333333333336,0.6166666666666667
10.0,300,50,0.020434626705537084,0.24521525634918362,0.43,0.15333333333333332,0.5033333333333333,0.08,0.35,0.07333333333333333,0.49666666666666665,0.5
