injected_duration_hours,injection_count,star_count,median_background_tau_acf_e_days,median_background_to_transit_acf_e,harmonic_bls_recovery_rate,harmonic_tcf_recovery_rate,harmonic_union_recovery_rate,harmonic_both_rate,harmonic_bls_only_rate,harmonic_tcf_only_rate,harmonic_neither_rate,exact_union_recovery_rate
2.0,300,50,0.020434626705537084,0.24521552046644501,0.41,0.16666666666666666,0.4866666666666667,0.09,0.32,0.07666666666666666,0.5133333333333333,0.45666666666666667
4.0,300,50,0.020434626705537084,0.12260776023322251,0.5433333333333333,0.23666666666666666,0.6533333333333333,0.12666666666666668,0.4166666666666667,0.11,0.3466666666666667,0.6333333333333333
8.0,300,50,0.020434626705537084,0.061303880116611253,0.6266666666666667,0.13,0.6733333333333333,0.08333333333333333,0.5433333333333333,0.04666666666666667,0.32666666666666666,0.66
