ratio_bin,injection_count,star_count,median_background_tau_acf_e_days,median_background_to_transit_acf_e,harmonic_bls_recovery_rate,harmonic_tcf_recovery_rate,harmonic_union_recovery_rate,harmonic_both_rate,harmonic_bls_only_rate,harmonic_tcf_only_rate,harmonic_neither_rate,exact_union_recovery_rate
"(0.0603, 0.123]",228,34,0.020434617035789415,0.0613038581359433,0.8377192982456141,0.13157894736842105,0.8377192982456141,0.13157894736842105,0.706140350877193,0.0,0.16228070175438597,0.8377192982456141
"(0.123, 0.245]",222,36,0.020434619014849886,0.12260772159788758,0.6846846846846847,0.15765765765765766,0.7027027027027027,0.13963963963963963,0.545045045045045,0.018018018018018018,0.2972972972972973,0.7027027027027027
"(0.245, 1.349]",228,34,0.020434624639165122,0.24521549566998146,0.5087719298245614,0.12719298245614036,0.5350877192982456,0.10087719298245613,0.40789473684210525,0.02631578947368421,0.4649122807017544,0.5307017543859649
"(1.349, 8.092]",222,14,0.6130385494907387,3.678231296944432,0.06756756756756757,0.2972972972972973,0.33783783783783783,0.02702702702702703,0.04054054054054054,0.2702702702702703,0.6621621621621622,0.25675675675675674
