target_id,quarter,selection_group,light_curve_cache_hit,n_grid_observations,n_usable_observations,longest_segment_length,longest_segment_days,median_cadence_days,gap_fraction,robust_flux_scatter_ppm,background_tau_acf_e_days,background_tau_acf_half_days,background_tau_acf_zero_days,background_tau_integrated_positive_acf_days,background_acf_lag_1,background_acf_6h,background_acf_1d,background_acf_2d,background_acf_5d,acf_max_lag_days,preprocessing_n_row_absent,preprocessing_n_unusable_observed,rolling_background_window_cadences,rolling_background_scatter_ppm,rolling_short_residual_scatter_ppm,rolling_background_to_short_scatter_ratio
11904151,5,reference,True,4634,4486,146,2.962961707460636,0.020434216799912974,0.03193785066896848,123.63223251249381,0.020434216799912974,0.020434216799912974,0.0817368671996519,0.04140004187339579,0.30646565161809475,0.09164007279841488,-0.06135291914225075,-0.06171452233780773,,2.9425272191874683,142,6,49,17.133814831892956,58.54053400899504,0.2926829268291311
757450,5,confirmed_planet_host,True,4634,4485,146,2.9630252409479,0.020434655074495822,0.0321536469572723,3652.4689853836817,0.06130396522348747,0.040869310148991644,0.08173862029798329,0.07296822691398935,0.7571832995287949,-0.16286422071300602,-0.043678979571451435,0.004056084907922706,,2.9425903307273984,142,7,49,898.4304248949556,552.1145644014811,1.6272536223870453
1026957,5,confirmed_planet_host,True,4634,4485,146,2.9630245502848993,0.020434650301467627,0.0321536469572723,12515.572525533245,0.6539088096469641,0.5108662575366907,1.1034711162792519,1.0395748747768416,0.9781826263271317,0.7590406116816344,0.06283618819579187,-0.4141461692063295,,2.9425896434113383,142,7,49,4292.582262510317,76.99429085234088,55.75195530721365
1161345,5,confirmed_planet_host,True,4634,4485,146,2.963024105229124,0.02043464724556543,0.0321536469572723,4174.237095946945,0.572170122875832,0.44956223940243945,0.9604284205415752,0.9026872398524446,0.9779617212539655,0.721320714282356,-0.041352094821231464,-0.3693318025762999,,2.942589203361422,142,7,49,1626.537741213959,120.41068546000487,13.50825082508332
1432789,5,confirmed_planet_host,True,4634,4485,146,2.9630232357230852,0.020434641250176355,0.0321536469572723,550.6954214538522,0.020434641250176355,0.020434641250176355,0.061303923750529066,0.024612034323710983,0.08377792147185818,-0.07461246735385596,0.04514698707143152,-0.01242687649998034,,2.942588340025395,142,7,49,64.62059110358295,426.2985408474661,0.15158529741884538
1717722,5,confirmed_planet_host,True,4634,4485,146,2.9630221009647357,0.020434633421245962,0.0321536469572723,737.9563719446062,0.020434633421245962,0.020434633421245962,0.040869266842491925,0.02230978734421156,0.04588176074193706,0.0013173985707880355,-0.07509681366261647,-0.08807274634835215,,2.9425872126594186,142,7,49,44.68975559805759,638.5072806247895,0.06999098828493851
1718189,5,confirmed_planet_host,True,4634,4485,146,2.9630222788764513,0.02043463464360684,0.0321536469572723,248.6156618207829,0.02043463464360684,0.02043463464360684,0.04086926928721368,0.024021418202412635,0.08776236084866706,0.07191567366219617,-0.021644664019589654,-0.022659196365874573,,2.942587388679385,142,7,49,10.048091974333627,212.65145143733062,0.047251461988233115
1718958,5,confirmed_planet_host,True,4634,4485,146,2.963022165618895,0.02043463385780342,0.0321536469572723,1424.2388676234768,0.36782340944046155,0.28608487400924787,0.5721697480184957,0.548894593853174,0.9138508179049388,0.5504307578136298,-0.3890188089552738,0.025193690472616995,,2.9425872755236924,142,7,49,289.36766163109786,115.84188747996681,2.4979536152770283
1724719,5,confirmed_planet_host,True,4634,4485,146,2.963022623247525,0.020434637073776685,0.0321536469572723,253.74849780641173,0.020434637073776685,0.020434637073776685,0.16347709659021348,0.04925859591878678,0.11199561359253975,0.07244153080727049,-0.025180922231063583,0.060754561696828926,,2.9425877386238426,142,7,49,102.36089093602939,194.69714985999082,0.5257441673370072
1725016,5,confirmed_planet_host,True,4634,4485,146,2.9630225608416367,0.020434636637219228,0.0321536469572723,459.83598043216915,0.020434636637219228,0.020434636637219228,0.20434636637219228,0.05946005152300324,0.11240635272920288,0.20865022622923143,-0.03862925254903218,-0.031084909989858977,,2.942587675759569,142,7,49,109.2406231387189,395.45499946697157,0.2762403390675623
1849702,5,confirmed_planet_host,True,4634,4485,146,2.9630202195767197,0.020434620266314596,0.0321536469572723,358.803277129436,0.020434620266314596,0.020434620266314596,0.75608094985364,0.2111679525564228,0.3051787337407967,0.1358255067248528,-0.06496896535834545,-0.10927305050963243,,2.942585318349302,142,7,49,71.66355034421852,260.82424962631904,0.2747580044681058
1865042,5,confirmed_planet_host,True,4634,4485,146,2.9630218297752435,0.020434631529496983,0.0321536469572723,190.32169768631582,0.020434631529496983,0.020434631529496983,0.040869263058993965,0.024430698026376,0.0977768180236276,-0.06187319436851741,-0.020989036903834343,0.040560908292700974,,2.9425869402475655,142,7,49,22.86112700023871,160.59097094712763,0.14235624123454252
1871056,5,confirmed_planet_host,True,4634,4485,146,2.9630219410028076,0.020434632373508066,0.0321536469572723,176.2158497586388,0.1226077942410484,0.020434632373508066,0.919558456807863,0.4347451570397254,0.41251176200788636,0.37065059149099966,-0.02247065109634849,-0.1212431181814225,,2.9425870617851615,142,7,49,120.03600868299267,108.18185841982726,1.109576138146586
1872821,5,confirmed_planet_host,True,4634,4486,146,2.9630222144842264,0.020434634265257046,0.03193785066896848,486.82874125669946,0.020434634265257046,0.020434634265257046,0.38825805103988387,0.08384375226403314,0.15940322780271987,0.07816609443443627,-0.034710987021738936,-0.011222384305831381,,2.9425873341970146,142,6,49,183.55395568746485,322.2555152555231,0.5695913553005325
11086270,5,confirmed_planet_host,True,4634,4486,146,2.9629711404923,0.020434282065252773,0.03193785066896848,108.59560679955536,0.020434282065252773,0.020434282065252773,0.06130284619575832,0.024927642052340847,0.1012031524082983,-0.04206973018415321,0.14508479873643954,0.0029863553745245425,,2.9425366173963994,142,6,49,12.059797688090711,101.1874453626653,0.11918274687998362
1995519,5,confirmed_planet_host,True,4634,4485,146,2.9630200501342188,0.020434619102161378,0.0321536469572723,816.8643991620489,0.020434619102161378,0.020434619102161378,0.040869238204322755,0.022041489836443398,0.03931736447468357,-0.05541818678379012,0.04044141410382966,0.020644583565414622,,2.9425851507112384,142,7,49,74.18540107365537,927.8569282278733,0.07995349155321078
