integrated_acf_ratio_bin,injection_count,star_count,median_background_tau_acf_e_days,median_background_to_transit_acf_e,harmonic_bls_recovery_rate,harmonic_tcf_recovery_rate,harmonic_union_recovery_rate,harmonic_both_rate,harmonic_bls_only_rate,harmonic_tcf_only_rate,harmonic_neither_rate,exact_union_recovery_rate
"(0.0603, 0.134]",228,24,0.020434616282727802,0.06130387079610955,0.8114035087719298,0.09210526315789473,0.8114035087719298,0.09210526315789473,0.7192982456140351,0.0,0.18859649122807018,0.8114035087719298
"(0.134, 0.326]",222,29,0.020434618963918183,0.2452152364421636,0.6306306306306306,0.11711711711711711,0.6351351351351351,0.11261261261261261,0.5180180180180181,0.0045045045045045045,0.36486486486486486,0.6351351351351351
"(0.326, 2.635]",228,22,0.02043462757137604,0.24521538583212532,0.5614035087719298,0.21929824561403508,0.6271929824561403,0.15350877192982457,0.40789473684210525,0.06578947368421052,0.37280701754385964,0.6140350877192983
"(2.635, 12.826]",222,18,0.6130385494907387,3.678231296944432,0.0945945945945946,0.28378378378378377,0.33783783783783783,0.04054054054054054,0.05405405405405406,0.24324324324324326,0.6621621621621622,0.26576576576576577
