tau_bin,injection_count,star_count,median_background_tau_acf_e_days,median_background_to_transit_acf_e,harmonic_bls_recovery_rate,harmonic_tcf_recovery_rate,harmonic_union_recovery_rate,harmonic_both_rate,harmonic_bls_only_rate,harmonic_tcf_only_rate,harmonic_neither_rate,exact_union_recovery_rate
"(0.02043412, 0.02043462]",234,13,0.020434609323274344,0.12260765593964607,0.7606837606837606,0.13675213675213677,0.7606837606837606,0.13675213675213677,0.6239316239316239,0.0,0.23931623931623933,0.7606837606837606
"(0.02043462, 0.02043463]",216,12,0.020434619378647767,0.1226077162718866,0.75,0.18055555555555555,0.7824074074074074,0.14814814814814814,0.6018518518518519,0.032407407407407406,0.2175925925925926,0.7824074074074074
"(0.02043463, 0.2247809]",234,13,0.020434636637219228,0.1839118956704624,0.5555555555555556,0.10683760683760683,0.5555555555555556,0.10683760683760683,0.44871794871794873,0.0,0.4444444444444444,0.5555555555555556
"(0.2247809, 0.6743424]",216,12,0.6232558320334647,3.739534992200788,0.018518518518518517,0.2962962962962963,0.3101851851851852,0.004629629629629629,0.013888888888888888,0.2916666666666667,0.6898148148148148,0.2222222222222222
