target_id,quarter,selection_group,injected_period_days,injected_epoch_days,epoch_phase_fraction,injected_duration_hours,injected_depth,in_transit_observation_count,arima_injection_mode,success,error,arima_converged,arima_runtime_seconds,tcf_runtime_seconds,bls_runtime_seconds,total_runtime_seconds,tcf_recovered_period_days,tcf_recovered_epoch_days,tcf_recovered_duration_hours,tcf_score,tcf_raw_pooled_score,tcf_valid_transit_events,tcf_positive_transit_events,tcf_positive_event_fraction,tcf_median_event_score,tcf_period_error_fraction,tcf_exact_period_error_fraction,tcf_period_matched,tcf_exact_period_matched,tcf_exact_period_rank_top10,tcf_exact_period_present_top10,tcf_half_period_rank_top10,tcf_double_period_rank_top10,tcf_triple_period_rank_top10,tcf_top_periods_json,tcf_top_scores_json,bls_recovered_period_days,bls_recovered_transit_time,bls_recovered_duration_hours,bls_recovered_depth,bls_power,bls_sde,bls_period_error_fraction,bls_exact_period_error_fraction,bls_period_matched,bls_exact_period_matched,bls_exact_period_rank_top10,bls_exact_period_present_top10,bls_half_period_rank_top10,bls_double_period_rank_top10,bls_triple_period_rank_top10,bls_top_periods_json,bls_top_sde_json,tcf_fap_threshold,bls_fap_threshold,tcf_global_empirical_p_value,bls_global_empirical_p_value,tcf_passes_fap,bls_passes_fap,tcf_harmonic_recovered,bls_harmonic_recovered,tcf_exact_recovered,bls_exact_recovered,harmonic_both,harmonic_tcf_only,harmonic_bls_only,harmonic_neither,harmonic_union,exact_both,exact_tcf_only,exact_bls_only,exact_neither,exact_union,noise_quartile,robust_flux_scatter_ppm_saved,gap_fraction_saved,lag_one_flux_acf,six_hour_scatter_proxy_ppm,light_curve_cache_hit,n_grid_observations,n_usable_observations,longest_segment_length,longest_segment_days,median_cadence_days,gap_fraction,robust_flux_scatter_ppm,background_tau_acf_e_days,background_tau_acf_half_days,background_tau_acf_zero_days,background_tau_integrated_positive_acf_days,background_acf_lag_1,background_acf_6h,background_acf_1d,background_acf_2d,background_acf_5d,acf_max_lag_days,preprocessing_n_row_absent,preprocessing_n_unusable_observed,rolling_background_window_cadences,rolling_background_scatter_ppm,rolling_short_residual_scatter_ppm,rolling_background_to_short_scatter_ratio,background_to_transit_acf_e_days,transit_to_background_acf_e_days,background_to_transit_acf_half_days,transit_to_background_acf_half_days,background_to_transit_integrated_positive_acf_days,transit_to_background_integrated_positive_acf_days,harmonic_winner,exact_winner,harmonic_bls_recovered,harmonic_tcf_recovered,exact_bls_recovered,exact_tcf_recovered,harmonic_tcf_beats_bls,harmonic_bls_beats_tcf,harmonic_any_single_winner,ratio_bin,acf_half_ratio_bin,integrated_acf_ratio_bin,tau_bin
11904151,5,reference,2.0,444.4112269027813,0.45,2.0,0.0005,183,filter,True,,True,0.0296429158188402,29.63368158298545,0.1770267919637262,29.843353082891554,1.0,444.43025783594527,1.5,33.793242180554955,31.988177127028365,92,68,0.7391304347826086,3.5231890461836204,0.0,0.5,True,False,,False,1.0,3.0,2.0,"[1.0, 5.999666555518506, 4.00166722240747, 7.997665888629544, 10.000333444481495]","[33.793242180554955, 26.889455538852612, 26.442100244287587, 23.22096390516809, 22.893650678222507]",1.9989996665555188,444.4424769027813,2.7,0.0003477256286748,0.0053626908777443,12.943576919067022,0.0005001667222406,0.0005001667222406,True,True,1.0,True,2.0,3.0,4.0,"[1.9989996665555188, 1.0, 4.00166722240747, 5.999666555518506, 8.002334111370457]","[12.943576919067022, 8.827703516966023, 8.754014953313053, 7.2203591376497815, 6.2965621813517085]",16.085275694914447,5.684844459265036,0.0024937655860349,0.0024937655860349,True,True,True,True,False,True,True,False,False,False,True,False,False,True,False,True,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,True,4634,4486,146,2.962961707460636,0.020434216799912974,0.03193785066896848,123.63223251249381,0.020434216799912974,0.020434216799912974,0.0817368671996519,0.04140004187339579,0.30646565161809475,0.09164007279841488,-0.06135291914225075,-0.06171452233780773,,2.9425272191874683,142,6,49,17.133814831892956,58.54053400899504,0.2926829268291311,0.2452106015989557,4.0781271016801695,0.2452106015989557,4.0781271016801695,0.49680050248074953,2.0128804117679993,both,bls_only,True,True,True,False,False,False,False,"(0.123, 0.245]","(0.123, 0.245]","(0.326, 2.635]","(0.02043412, 0.02043462]"
11904151,5,reference,2.0,444.4112269027813,0.45,2.0,0.001,183,filter,True,,True,0.0271117500960826,20.826850458048284,0.1517557080369442,21.00698162498884,1.0,444.43025783594527,1.5,58.47604155503057,63.94931081482544,92,68,0.7391304347826086,6.096548770612178,0.0,0.5,True,False,,False,1.0,2.0,3.0,"[1.0, 4.00166722240747, 5.999666555518506, 7.997665888629544, 10.000333444481495]","[58.47604155503057, 57.7280591173712, 53.580078400483295, 46.55216245393959, 43.71933951647922]",1.9989996665555188,444.4424769027813,2.7,0.0006982075550306,0.0107678899033249,21.41745700300947,0.0005001667222406,0.0005001667222406,True,True,1.0,True,2.0,3.0,4.0,"[1.9989996665555188, 1.0, 4.00166722240747, 5.999666555518506, 7.997665888629544]","[21.417457003009474, 15.253630287536968, 14.914719348804148, 12.286010913917725, 10.739180088951747]",16.085275694914447,5.684844459265036,0.0024937655860349,0.0024937655860349,True,True,True,True,False,True,True,False,False,False,True,False,False,True,False,True,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,True,4634,4486,146,2.962961707460636,0.020434216799912974,0.03193785066896848,123.63223251249381,0.020434216799912974,0.020434216799912974,0.0817368671996519,0.04140004187339579,0.30646565161809475,0.09164007279841488,-0.06135291914225075,-0.06171452233780773,,2.9425272191874683,142,6,49,17.133814831892956,58.54053400899504,0.2926829268291311,0.2452106015989557,4.0781271016801695,0.2452106015989557,4.0781271016801695,0.49680050248074953,2.0128804117679993,both,bls_only,True,True,True,False,False,False,False,"(0.123, 0.245]","(0.123, 0.245]","(0.326, 2.635]","(0.02043412, 0.02043462]"
11904151,5,reference,2.0,444.4112269027813,0.45,4.0,0.0005,377,filter,True,,True,0.0212492081336677,19.730223207967356,0.1574474999215454,19.90957654081285,5.999666555518506,446.4194726365705,3.928571428571429,40.09369205441054,33.03000123797305,16,14,0.875,10.023423013602637,0.4999166388796265,1.9998332777592531,False,False,,False,3.0,,1.0,"[5.999666555518506, 7.997665888629544, 1.0, 12.003001000333445, 10.000333444481495]","[40.09369205441054, 33.74450064791742, 33.12601599200364, 30.358967961548895, 29.853915853080235]",1.9989996665555188,444.42997690278133,3.9,0.0004612216734231,0.0084349936135236,17.621386290370598,0.0005001667222406,0.0005001667222406,True,True,1.0,True,3.0,2.0,4.0,"[1.9989996665555188, 4.00166722240747, 1.0, 5.999666555518506, 8.002334111370457]","[17.621386290370598, 11.86946207161944, 11.594490354969878, 9.766021840099432, 8.491187939298305]",16.085275694914447,5.684844459265036,0.0024937655860349,0.0024937655860349,True,True,False,True,False,True,False,False,True,False,True,False,False,True,False,True,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,True,4634,4486,146,2.962961707460636,0.020434216799912974,0.03193785066896848,123.63223251249381,0.020434216799912974,0.020434216799912974,0.0817368671996519,0.04140004187339579,0.30646565161809475,0.09164007279841488,-0.06135291914225075,-0.06171452233780773,,2.9425272191874683,142,6,49,17.133814831892956,58.54053400899504,0.2926829268291311,0.12260530079947785,8.156254203360339,0.12260530079947785,8.156254203360339,0.24840025124037476,4.0257608235359985,bls_only,bls_only,True,False,True,False,False,True,True,"(0.0603, 0.123]","(0.0603, 0.123]","(0.134, 0.326]","(0.02043412, 0.02043462]"
11904151,5,reference,2.0,444.4112269027813,0.45,4.0,0.001,377,filter,True,,True,0.0266992500983178,19.681664708070457,0.1533758328296244,19.862396167125553,1.0,444.47022382233985,6.357142857142858,81.65022410846177,49.31369426911362,89,67,0.7528089887640449,8.654906445701366,0.0,0.5,True,False,,False,1.0,,2.0,"[1.0, 5.999666555518506, 7.997665888629544, 9.001333777925977, 10.000333444481495]","[81.65022410846177, 81.216300075413, 67.84048839684695, 62.92412056850793, 60.69633760424243]",1.9989996665555188,444.42997690278133,3.9,0.0009267563813159,0.0169488656065822,25.548456481315156,0.0005001667222406,0.0005001667222406,True,True,1.0,True,3.0,2.0,4.0,"[1.9989996665555188, 4.00166722240747, 1.0, 5.999666555518506, 8.002334111370457]","[25.548456481315156, 17.43442858388461, 17.21509658825383, 14.638402880635475, 12.516165241556813]",16.085275694914447,5.684844459265036,0.0024937655860349,0.0024937655860349,True,True,True,True,False,True,True,False,False,False,True,False,False,True,False,True,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,True,4634,4486,146,2.962961707460636,0.020434216799912974,0.03193785066896848,123.63223251249381,0.020434216799912974,0.020434216799912974,0.0817368671996519,0.04140004187339579,0.30646565161809475,0.09164007279841488,-0.06135291914225075,-0.06171452233780773,,2.9425272191874683,142,6,49,17.133814831892956,58.54053400899504,0.2926829268291311,0.12260530079947785,8.156254203360339,0.12260530079947785,8.156254203360339,0.24840025124037476,4.0257608235359985,both,bls_only,True,True,True,False,False,False,False,"(0.0603, 0.123]","(0.0603, 0.123]","(0.134, 0.326]","(0.02043412, 0.02043462]"
11904151,5,reference,2.0,444.4112269027813,0.45,8.0,0.0005,743,filter,True,,True,0.0211291250307112,20.46159758302383,0.4653802921529859,20.952235957840458,4.00166722240747,446.41502437093544,7.571428571428571,29.355803834942844,24.65711069238288,23,22,0.9565217391304348,6.121108235817536,0.0004168056018674,1.0008336112037348,True,False,,False,2.0,1.0,3.0,"[4.00166722240747, 1.0, 5.999666555518506, 10.000333444481495, 7.997665888629544]","[29.355803834942844, 27.532457996856902, 25.701042552425108, 21.866253812907647, 21.851766227098327]",1.9989996665555188,444.42997690278133,7.5,0.0004830839114002,0.0117485667931718,22.354217122315948,0.0005001667222406,0.0005001667222406,True,True,1.0,True,3.0,2.0,4.0,"[1.9989996665555188, 4.00166722240747, 1.0, 5.999666555518506, 7.997665888629544]","[22.354217122315948, 14.67867082457663, 13.450230584952159, 11.614992465941734, 10.419755973492899]",16.085275694914447,5.684844459265036,0.0024937655860349,0.0024937655860349,True,True,True,True,False,True,True,False,False,False,True,False,False,True,False,True,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,True,4634,4486,146,2.962961707460636,0.020434216799912974,0.03193785066896848,123.63223251249381,0.020434216799912974,0.020434216799912974,0.0817368671996519,0.04140004187339579,0.30646565161809475,0.09164007279841488,-0.06135291914225075,-0.06171452233780773,,2.9425272191874683,142,6,49,17.133814831892956,58.54053400899504,0.2926829268291311,0.06130265039973892,16.312508406720678,0.06130265039973892,16.312508406720678,0.12420012562018738,8.051521647071997,both,bls_only,True,True,True,False,False,False,False,"(0.0603, 0.123]","(0.0603, 0.123]","(0.0603, 0.134]","(0.02043412, 0.02043462]"
11904151,5,reference,2.0,444.4112269027813,0.45,8.0,0.001,743,filter,True,,True,0.1050722091458737,37.610597459133714,0.1870152920018881,37.90362579212524,4.00166722240747,446.41502437093544,7.571428571428571,54.52763314185273,48.32796860678762,23,23,1.0,11.369797474492554,0.0004168056018674,1.0008336112037348,True,False,,False,3.0,1.0,2.0,"[4.00166722240747, 5.999666555518506, 1.0, 7.997665888629544, 10.000333444481495]","[54.52763314185273, 52.357183707976475, 48.24901120125044, 44.678780299384165, 43.63057380574424]",1.9989996665555188,444.42997690278133,7.5,0.0009690820231749,0.0235680067347531,30.693907403907513,0.0005001667222406,0.0005001667222406,True,True,1.0,True,3.0,2.0,4.0,"[1.9989996665555188, 4.00166722240747, 1.0, 5.999666555518506, 7.997665888629544]","[30.693907403907513, 20.33108850324671, 18.813851514052285, 16.396242957439764, 14.291944850238536]",16.085275694914447,5.684844459265036,0.0024937655860349,0.0024937655860349,True,True,True,True,False,True,True,False,False,False,True,False,False,True,False,True,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,True,4634,4486,146,2.962961707460636,0.020434216799912974,0.03193785066896848,123.63223251249381,0.020434216799912974,0.020434216799912974,0.0817368671996519,0.04140004187339579,0.30646565161809475,0.09164007279841488,-0.06135291914225075,-0.06171452233780773,,2.9425272191874683,142,6,49,17.133814831892956,58.54053400899504,0.2926829268291311,0.06130265039973892,16.312508406720678,0.06130265039973892,16.312508406720678,0.12420012562018738,8.051521647071997,both,bls_only,True,True,True,False,False,False,False,"(0.0603, 0.123]","(0.0603, 0.123]","(0.0603, 0.134]","(0.02043412, 0.02043462]"
11904151,5,reference,5.0,445.76122690278135,0.45,2.0,0.0005,71,filter,True,,True,0.0298333328682929,21.808949082857,0.1623409579042345,22.00185945793055,5.000666888962988,445.7774919479962,1.5,27.982495586514013,28.27084110992933,18,18,1.0,6.595537461248899,0.0001333777925976,0.0001333777925976,True,True,1.0,True,3.0,2.0,4.0,"[5.000666888962988, 10.000333444481495, 2.5125041680560187, 15.0, 7.498166055351785]","[27.982495586514013, 20.156103789669903, 16.20516807412929, 16.202811446893733, 15.1579592108318]",5.000666888962988,445.74247690278133,2.7,0.0003995469502926,0.0038528464989628,9.632136937298077,0.0001333777925976,0.0001333777925976,True,True,1.0,True,4.0,2.0,3.0,"[5.000666888962988, 9.99566522174058, 15.0, 2.4984994998332777, 1.6675558519506501]","[9.632136937298077, 6.861950609044506, 5.778919173770769, 5.723582478585314, 4.807320867225821]",16.085275694914447,5.684844459265036,0.0024937655860349,0.0024937655860349,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,True,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,True,4634,4486,146,2.962961707460636,0.020434216799912974,0.03193785066896848,123.63223251249381,0.020434216799912974,0.020434216799912974,0.0817368671996519,0.04140004187339579,0.30646565161809475,0.09164007279841488,-0.06135291914225075,-0.06171452233780773,,2.9425272191874683,142,6,49,17.133814831892956,58.54053400899504,0.2926829268291311,0.2452106015989557,4.0781271016801695,0.2452106015989557,4.0781271016801695,0.49680050248074953,2.0128804117679993,both,both,True,True,True,True,False,False,False,"(0.123, 0.245]","(0.123, 0.245]","(0.326, 2.635]","(0.02043412, 0.02043462]"
11904151,5,reference,5.0,445.76122690278135,0.45,2.0,0.001,71,filter,True,,True,0.0198265830986201,20.285651083104312,0.1598013748880475,20.46605383302085,5.000666888962988,445.7774919479962,1.5,58.17657994783206,56.643050155576944,18,18,1.0,13.71235139578446,0.0001333777925976,0.0001333777925976,True,True,1.0,True,,2.0,3.0,"[5.000666888962988, 10.000333444481495, 15.0, 7.498166055351785, 12.49783261087029]","[58.17657994783206, 41.50635643597679, 33.63535006331347, 32.79634456274781, 32.302186006892505]",5.000666888962988,445.74247690278133,2.7,0.0007678541336461,0.0074044467323953,16.735569413246665,0.0001333777925976,0.0001333777925976,True,True,1.0,True,3.0,2.0,4.0,"[5.000666888962988, 9.99566522174058, 2.4984994998332777, 15.0, 1.6675558519506501]","[16.735569413246665, 11.71924004982108, 10.533788371274476, 9.700524356767984, 8.537407554769072]",16.085275694914447,5.684844459265036,0.0024937655860349,0.0024937655860349,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,True,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,True,4634,4486,146,2.962961707460636,0.020434216799912974,0.03193785066896848,123.63223251249381,0.020434216799912974,0.020434216799912974,0.0817368671996519,0.04140004187339579,0.30646565161809475,0.09164007279841488,-0.06135291914225075,-0.06171452233780773,,2.9425272191874683,142,6,49,17.133814831892956,58.54053400899504,0.2926829268291311,0.2452106015989557,4.0781271016801695,0.2452106015989557,4.0781271016801695,0.49680050248074953,2.0128804117679993,both,both,True,True,True,True,False,False,False,"(0.123, 0.245]","(0.123, 0.245]","(0.326, 2.635]","(0.02043412, 0.02043462]"
11904151,5,reference,5.0,445.76122690278135,0.45,4.0,0.0005,143,filter,True,,True,0.0228512501344084,20.17489587515593,0.1554704578593373,20.354027999797836,5.000666888962988,445.76685453030825,3.928571428571429,42.77060123403426,37.20340858149291,16,15,0.9375,10.692650308508563,0.0001333777925976,0.0001333777925976,True,True,1.0,True,,2.0,3.0,"[5.000666888962988, 10.000333444481495, 15.0, 7.498166055351785, 12.49783261087029]","[42.77060123403426, 30.262250680813835, 27.658917959611152, 24.382492225268535, 20.243825748928668]",5.000666888962988,445.7549769027813,3.9,0.0005162584924428,0.0059915583682161,13.222939686521864,0.0001333777925976,0.0001333777925976,True,True,1.0,True,4.0,2.0,3.0,"[5.000666888962988, 10.000333444481495, 15.0, 2.4984994998332777, 1.6675558519506501]","[13.222939686521864, 9.364440933401013, 7.86323907073592, 7.822201989870576, 6.2060702872487195]",16.085275694914447,5.684844459265036,0.0024937655860349,0.0024937655860349,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,True,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,True,4634,4486,146,2.962961707460636,0.020434216799912974,0.03193785066896848,123.63223251249381,0.020434216799912974,0.020434216799912974,0.0817368671996519,0.04140004187339579,0.30646565161809475,0.09164007279841488,-0.06135291914225075,-0.06171452233780773,,2.9425272191874683,142,6,49,17.133814831892956,58.54053400899504,0.2926829268291311,0.12260530079947785,8.156254203360339,0.12260530079947785,8.156254203360339,0.24840025124037476,4.0257608235359985,both,both,True,True,True,True,False,False,False,"(0.0603, 0.123]","(0.0603, 0.123]","(0.134, 0.326]","(0.02043412, 0.02043462]"
11904151,5,reference,5.0,445.76122690278135,0.45,4.0,0.001,143,filter,True,,True,0.027834374923259,25.343281499808658,0.3730397918261587,25.74519766611047,5.000666888962988,445.76685453030825,3.928571428571429,85.25870339957417,73.95094241304747,16,15,0.9375,21.314675849893543,0.0001333777925976,0.0001333777925976,True,True,1.0,True,,2.0,3.0,"[5.000666888962988, 10.000333444481495, 15.0, 7.498166055351785, 12.49783261087029]","[85.25870339957417, 61.44255766388791, 53.67722220726856, 42.77942786481625, 34.29445405517012]",5.000666888962988,445.7549769027813,3.9,0.0010046619725573,0.011659838892763,19.53068317605088,0.0001333777925976,0.0001333777925976,True,True,1.0,True,3.0,2.0,4.0,"[5.000666888962988, 10.000333444481495, 2.4984994998332777, 15.0, 1.6675558519506501]","[19.530683176050882, 13.532513982083074, 11.89623983606889, 11.2038006409122, 9.276602071648929]",16.085275694914447,5.684844459265036,0.0024937655860349,0.0024937655860349,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,True,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,True,4634,4486,146,2.962961707460636,0.020434216799912974,0.03193785066896848,123.63223251249381,0.020434216799912974,0.020434216799912974,0.0817368671996519,0.04140004187339579,0.30646565161809475,0.09164007279841488,-0.06135291914225075,-0.06171452233780773,,2.9425272191874683,142,6,49,17.133814831892956,58.54053400899504,0.2926829268291311,0.12260530079947785,8.156254203360339,0.12260530079947785,8.156254203360339,0.24840025124037476,4.0257608235359985,both,both,True,True,True,True,False,False,False,"(0.0603, 0.123]","(0.0603, 0.123]","(0.134, 0.326]","(0.02043412, 0.02043462]"
