target_id,quarter,injection_count,harmonic_bls_recovery_rate,harmonic_tcf_recovery_rate,harmonic_union_recovery_rate,harmonic_bls_only_rate,harmonic_tcf_only_rate,harmonic_neither_rate,exact_union_recovery_rate,median_background_tau_acf_e_days,median_background_to_transit_acf_e,robust_flux_scatter_ppm,gap_fraction,rolling_background_to_short_scatter_ratio
1026957,5,18,0.0,0.3888888888888889,0.3888888888888889,0.0,0.3888888888888889,0.6111111111111112,0.2222222222222222,0.6539088096469641,3.9234528578817844,12515.572525533245,0.0321536469572723,55.75195530721365
11086270,5,18,1.0,0.5555555555555556,1.0,0.4444444444444444,0.0,0.0,1.0,0.020434282065252773,0.12260569239151664,108.59560679955536,0.03193785066896848,0.11918274687998362
1161345,5,18,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.572170122875832,3.433020737254992,4174.237095946945,0.0321536469572723,13.50825082508332
11904151,5,18,1.0,0.9444444444444444,1.0,0.05555555555555555,0.0,0.0,1.0,0.020434216799912974,0.12260530079947785,123.63223251249381,0.03193785066896848,0.2926829268291311
1432789,5,18,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.020434641250176355,0.12260784750105813,550.6954214538522,0.0321536469572723,0.15158529741884538
1717722,5,18,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444,0.020434633421245962,0.12260780052747577,737.9563719446062,0.0321536469572723,0.06999098828493851
1718189,5,18,1.0,0.05555555555555555,1.0,0.9444444444444444,0.0,0.0,1.0,0.02043463464360684,0.12260780786164105,248.6156618207829,0.0321536469572723,0.047251461988233115
1718958,5,18,0.0,0.5,0.5,0.0,0.5,0.5,0.2777777777777778,0.36782340944046155,2.2069404566427693,1424.2388676234768,0.0321536469572723,2.4979536152770283
1724719,5,18,0.8333333333333334,0.1111111111111111,0.8333333333333334,0.7222222222222222,0.0,0.16666666666666666,0.8333333333333334,0.020434637073776685,0.12260782244266011,253.74849780641173,0.0321536469572723,0.5257441673370072
1725016,5,18,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,0.0,0.1111111111111111,0.8888888888888888,0.020434636637219228,0.12260781982331537,459.83598043216915,0.0321536469572723,0.2762403390675623
1849702,5,18,0.6111111111111112,0.1111111111111111,0.6111111111111112,0.5,0.0,0.3888888888888889,0.6111111111111112,0.020434620266314596,0.12260772159788758,358.803277129436,0.0321536469572723,0.2747580044681058
1865042,5,18,1.0,0.2777777777777778,1.0,0.7222222222222222,0.0,0.0,1.0,0.020434631529496983,0.1226077891769819,190.32169768631582,0.0321536469572723,0.14235624123454252
1871056,5,18,1.0,0.4444444444444444,1.0,0.5555555555555556,0.0,0.0,1.0,0.1226077942410484,0.7356467654462904,176.2158497586388,0.0321536469572723,1.109576138146586
1872821,5,18,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.020434634265257046,0.12260780559154227,486.82874125669946,0.03193785066896848,0.5695913553005325
1995519,5,18,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,0.0,0.2222222222222222,0.7777777777777778,0.020434619102161378,0.12260771461296827,816.8643991620489,0.0321536469572723,0.07995349155321078
1996180,5,18,0.8333333333333334,0.2777777777777778,0.8333333333333334,0.5555555555555556,0.0,0.16666666666666666,0.8333333333333334,0.020434619742445648,0.12260771845467389,273.220004242054,0.0321536469572723,0.15675297410774966
2142522,5,18,0.2222222222222222,0.4444444444444444,0.5,0.05555555555555555,0.2777777777777778,0.5,0.5,0.020434616948477924,0.12260770169086754,422.3672572265974,0.0321536469572723,0.37635518843499455
2161536,5,18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02043462757137604,0.12260776542825624,1412.374593812632,0.0321536469572723,0.3291446399166979
2164169,5,18,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.020434626450878568,0.12260775870527141,343.7069669079283,0.03193785066896848,0.41327014218006053
2165002,5,18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0204346269601956,0.1226077617611736,3911.1645427706894,0.03193785066896848,0.6646757679179224
2302548,5,18,0.0,0.2777777777777778,0.2777777777777778,0.0,0.2777777777777778,0.7222222222222222,0.16666666666666666,0.5313002449693158,3.187801469815895,3555.9199577177724,0.0321536469572723,3.508024966559284
2304320,5,18,0.6111111111111112,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.05555555555555555,0.3333333333333333,0.6666666666666666,0.020434622827451676,0.12260773696471006,226.02026297123473,0.0321536469572723,0.5841550493039507
2307415,5,18,0.9444444444444444,0.5,0.9444444444444444,0.4444444444444444,0.0,0.05555555555555555,0.9444444444444444,0.22478085846523754,1.3486851507914253,172.9624787428273,0.03193785066896848,0.7816801139047936
2438264,5,18,0.1111111111111111,0.05555555555555555,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.8333333333333334,0.16666666666666666,0.4904308619443327,2.9425851716659963,1945.792123199032,0.0321536469572723,1.987718340609619
2438513,5,18,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.8333333333333334,0.1111111111111111,0.6539078429341316,3.9234470576047897,5520.86821340344,0.0321536469572723,25.290536277607043
2439243,5,18,0.3888888888888889,0.0,0.3888888888888889,0.3888888888888889,0.0,0.6111111111111112,0.3888888888888889,0.020434619014849886,0.12260771408909932,815.8214492229673,0.0321536469572723,0.07471567372124235
2441495,5,18,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.5,0.0,0.16666666666666666,0.8333333333333334,0.020434619655134156,0.12260771793080494,313.5617282104444,0.0321536469572723,0.8684447108185694
2442448,5,18,1.0,0.05555555555555555,1.0,0.9444444444444444,0.0,0.0,1.0,0.020434620237210765,0.12260772142326459,254.40492110314065,0.0321536469572723,0.21426094995948247
2444412,5,18,0.1111111111111111,0.5555555555555556,0.6111111111111112,0.05555555555555555,0.5,0.3888888888888889,0.5555555555555556,0.5313001435715705,3.187800861429423,1105.0141019134894,0.0321536469572723,1.3988954970275027
2556650,5,18,0.3888888888888889,0.0,0.3888888888888889,0.3888888888888889,0.0,0.6111111111111112,0.3888888888888889,0.020434606354683638,0.12260763812810183,916.3326827569961,0.0321536469572723,0.27035263387034775
2557816,5,18,0.9444444444444444,0.0,0.9444444444444444,0.9444444444444444,0.0,0.05555555555555555,0.9444444444444444,0.020434609323274344,0.12260765593964607,345.18407079687677,0.0321536469572723,0.18471509586833731
2571238,5,18,0.8333333333333334,0.6111111111111112,0.8888888888888888,0.2777777777777778,0.05555555555555555,0.1111111111111111,0.8888888888888888,0.020434616424608976,0.12260769854765385,136.43715443867333,0.0321536469572723,0.25214408232903024
2574338,5,18,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,0.0,0.1111111111111111,0.8888888888888888,0.020434617123100907,0.12260770273860544,482.2928696762642,0.0321536469572723,0.06239870340325128
2581316,5,18,0.0,0.7777777777777778,0.7777777777777778,0.0,0.7777777777777778,0.2222222222222222,0.5555555555555556,0.6130385494907387,3.678231296944432,202.40798946213667,0.03193785066896848,2.9098608590443455
2581554,5,18,0.0,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.7777777777777778,0.1111111111111111,0.6743424306114321,4.046054583668592,8745.029507324469,0.03193785066896848,19.024789029556356
2584163,5,18,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.020434618963918183,0.1226077137835091,399.3664017305928,0.03193785066896848,0.33519999999972516
2692377,5,18,0.0,0.5,0.5,0.0,0.5,0.5,0.3888888888888889,0.6743418346668477,4.046051008001086,2204.6923881329853,0.0321536469572723,3.6789444749848315
2693736,5,18,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,0.0,0.1111111111111111,0.8888888888888888,0.020434602571185678,0.12260761542711407,454.0150778128674,0.0321536469572723,0.35574063057677513
2713049,5,18,0.6111111111111112,0.0,0.6111111111111112,0.6111111111111112,0.0,0.3888888888888889,0.6111111111111112,0.06130384822608903,0.3678230893565342,452.97370745852663,0.0321536469572723,0.905823676103665
2715135,5,18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6334731145761907,3.8008386874571443,2555.5805674944772,0.03193785066896848,3.914032615259525
2715695,5,18,0.7222222222222222,0.0,0.7222222222222222,0.7222222222222222,0.0,0.2777777777777778,0.7222222222222222,0.02043461454741191,0.12260768728447147,751.0872160005945,0.03193785066896848,0.17585651229626015
2716801,5,18,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,0.0,0.2222222222222222,0.7777777777777778,0.02043461479479447,0.12260768876876682,637.4151745183366,0.03193785066896848,0.11255673222407334
2716853,5,18,0.6111111111111112,0.0,0.6111111111111112,0.6111111111111112,0.0,0.3888888888888889,0.6111111111111112,0.020434615275007673,0.12260769165004604,597.2938326451357,0.03193785066896848,0.20894035611994005
2717158,5,18,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,0.0,0.1111111111111111,0.8888888888888888,0.02043461406719871,0.12260768440319225,422.77996927209887,0.03193785066896848,0.1277302337466882
2718778,5,18,0.6111111111111112,0.0,0.6111111111111112,0.6111111111111112,0.0,0.3888888888888889,0.6111111111111112,0.02043461614084663,0.12260769684507977,626.7772980925987,0.03193785066896848,0.0649497304386026
2721030,5,18,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444,0.0204346152531798,0.1226076915190788,564.1063500915578,0.03193785066896848,0.11557305336842644
2831055,5,18,0.6111111111111112,0.2777777777777778,0.6111111111111112,0.3333333333333333,0.0,0.3888888888888889,0.6111111111111112,0.02043459704145789,0.12260758224874735,284.85392005780625,0.0321536469572723,0.45000000000086965
2832589,5,18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6539072282612324,3.9234433695673943,5321.4752031346225,0.0321536469572723,5.158376383764228
2837111,5,18,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.020434603036846966,0.1226076182210818,325.5765864518624,0.03193785066896848,0.155921052631468
757450,5,18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06130396522348747,0.3678237913409248,3652.4689853836817,0.0321536469572723,1.6272536223870453
