acf_half_ratio_bin,injection_count,star_count,median_background_tau_acf_e_days,median_background_to_transit_acf_e,harmonic_bls_recovery_rate,harmonic_tcf_recovery_rate,harmonic_union_recovery_rate,harmonic_both_rate,harmonic_bls_only_rate,harmonic_tcf_only_rate,harmonic_neither_rate,exact_union_recovery_rate
"(0.0603, 0.123]",228,36,0.020434618989384035,0.0613038581359433,0.8464912280701754,0.14035087719298245,0.8464912280701754,0.14035087719298245,0.706140350877193,0.0,0.15350877192982457,0.8464912280701754
"(0.123, 0.245]",222,37,0.020434619655134156,0.12260771845467389,0.7027027027027027,0.18018018018018017,0.7207207207207207,0.16216216216216217,0.5405405405405406,0.018018018018018018,0.27927927927927926,0.7207207207207207
"(0.245, 0.49]",228,37,0.020434619698789902,0.24521543638547882,0.5307017543859649,0.10526315789473684,0.543859649122807,0.09210526315789473,0.43859649122807015,0.013157894736842105,0.45614035087719296,0.543859649122807
"(0.49, 6.621]",222,13,0.6130385494907387,3.678231296944432,0.018018018018018018,0.2882882882882883,0.30180180180180183,0.0045045045045045045,0.013513513513513514,0.28378378378378377,0.6981981981981982,0.21621621621621623
