target_id,quarter,sample_stratum,trial_index,trial_seed,null_block_size_cadences,success,error,raw_top1_mes,raw_top1_period_days,raw_top1_epoch_days,raw_top1_duration_hours,event_consistency_score,hardened_period_days,hardened_epoch_days,hardened_duration_hours,selected_raw_mes,consistency_weight,valid_event_count,event_observability_fraction,positive_event_fraction,single_event_fraction,leave_one_out_ratio_normalized,event_consistent_flag,ranking_changed
10718455,5,long_memory,0,835734069,24,True,,166.09776613081226,13.139205393053999,450.7244742588191,9.808427043026313,133.55031405494063,3.2286072349961614,444.57371434867673,9.808427043026313,159.37587699414917,0.8379581438152236,29,1.0,0.6896551724137931,0.14961949334139482,0.811715882495308,True,True
10718455,5,long_memory,1,1035897762,24,True,,125.22155769850511,13.813534752262058,449.66189466249125,9.808427043026313,84.02026754516015,12.607915594890073,453.3399960183815,9.808427043026313,96.52248223823248,0.8704735476837933,7,1.0,0.8571428571428571,0.28032331585248815,0.7977831874997656,True,True
10718455,5,long_memory,2,1015110034,24,True,,187.7981287472122,11.667941336600052,453.56483125669547,9.808427043026313,135.57171299703998,6.375477577967104,444.9823988088028,9.808427043026313,166.02014365368598,0.8165979742785869,15,1.0,0.7333333333333333,0.1774418987557026,0.6880214203759444,True,True
10718455,5,long_memory,3,3402612429,24,True,,153.31887747040915,10.053637719101971,446.9441430026527,9.808427043026313,117.60552793873867,6.7228593690742855,450.09095456037903,9.808427043026313,145.29474918701445,0.8094272408107749,14,1.0,0.6428571428571429,0.2073182868249798,0.7821918174822616,False,True
10718455,5,long_memory,4,2668606806,24,True,,109.2355417572685,6.74329359208059,450.11144756862996,9.808427043026313,88.24367267627363,9.849295489038923,449.1305460790827,9.808427043026313,107.03684234737514,0.8244233549966791,10,1.0,0.9,0.3491350745228208,0.709757968386821,True,True
10718455,5,long_memory,5,1802946465,24,True,,266.8207552979491,6.763727815086895,450.1931844606552,9.808427043026313,209.4633851396543,4.822476629487937,443.4907005293426,9.808427043026313,246.85494546041707,0.848528210560973,19,1.0,0.7368421052631579,0.15831732728888256,0.7918833749572993,True,True
10718455,5,long_memory,6,200266478,24,True,,88.36154365085066,14.733074787545775,449.375815540403,9.808427043026313,64.28190917360203,11.300125322486565,447.3732029005405,9.808427043026313,72.71225677410665,0.8840587821844814,9,1.0,0.8888888888888888,0.2623168803228093,0.828046499163129,True,True
10718455,5,long_memory,7,856290644,24,True,,102.08867483663524,7.049806937175163,448.41540705910666,9.808427043026313,84.59376561177847,7.049806937175163,448.41534827386204,9.808427043026313,102.08867483663524,0.828630264298635,13,1.0,0.8461538461538461,0.20288289954754815,0.6452226421522186,True,False
10718455,5,long_memory,8,1658199854,24,True,,192.23246984768272,10.13537461112719,450.94925071188845,9.808427043026313,151.54416687278646,14.017876982325106,455.62862899508764,9.808427043026313,173.52805773525535,0.8733121827709913,6,1.0,1.0,0.36443819285313883,0.7626741685762333,True,True
10718455,5,long_memory,9,1555242139,24,True,,87.13036766051434,12.260533803782891,449.5597235474597,9.808427043026313,63.594662510631515,8.214557648534537,445.08456992383435,9.808427043026313,79.19140194220401,0.8030500906783364,12,1.0,0.6666666666666666,0.22734046500895286,0.7400909126774955,True,True
10718455,5,long_memory,10,180432502,24,True,,75.78172962389519,4.1277130472735735,445.1254971550916,9.808427043026313,57.686057210284055,2.2068960846809205,444.7780565787398,9.808427043026313,73.30976946345929,0.7868808977640728,41,0.9534883720930233,0.6341463414634146,0.09653648502951467,0.6846941755747243,False,True
10718455,5,long_memory,11,587602973,24,True,,103.15052736645009,12.914428939984646,448.86495996524536,9.808427043026313,76.5114963460626,9.787992820020008,451.6643897318645,9.808427043026313,84.46059776620089,0.9058839076400743,9,1.0,0.8888888888888888,0.2207565054841991,0.8642054363512884,True,True
10718455,5,long_memory,12,4148253405,24,True,,155.1535994421957,4.883779298506852,448.1906306060373,7.8467416344210505,121.58348234899164,4.883779298506852,448.1905718207927,7.8467416344210505,155.1535994421957,0.7836330113262309,19,1.0,0.6842105263157895,0.2150692843844203,0.6651946075565686,True,False
10718455,5,long_memory,13,3434764588,24,True,,130.2181361868327,13.466152961154876,455.3017402122314,9.808427043026313,112.06690778870805,8.848018561729987,451.82786351591494,9.808427043026313,119.79514359662426,0.9354879039676365,10,1.0,0.9,0.16658230382102138,0.9189459916344935,True,True
10718455,5,long_memory,14,1813604275,24,True,,94.51399459598814,10.155808834133495,444.0424833357574,9.808427043026313,72.64821585582783,13.05746850102878,444.0424245505128,9.808427043026313,88.49207845091193,0.820957278070116,8,1.0,0.75,0.26839056767696085,0.7243520993733479,True,True
10718455,5,long_memory,15,2453820687,24,True,,176.81927554570436,11.688375559606357,454.1165552778657,7.8467416344210505,139.1549470654521,14.610469449507946,448.2518744898116,7.8467416344210505,161.3857418222573,0.8622505649768667,7,1.0,0.8571428571428571,0.29004990751415294,0.7785851754237285,True,True
10718455,5,long_memory,16,1691124399,24,True,,126.5452369572868,6.641122477049066,444.0424833357574,9.808427043026313,103.65925806341019,9.174966129830864,449.70270432325924,9.808427043026313,120.71771579230604,0.8586913476871547,10,1.0,0.8,0.24617203796634118,0.8113880873399314,True,True
