gap_mode,center_cadenceno,duration_cadences,depth,injected_transit_depth,recovered_transformed_template_depth,transformed_template_amplitude,depth_retention_fraction,input_matched_filter_snr,recovered_transformed_template_snr,snr_retention_fraction,input_local_depth,recovered_innovation_local_depth,input_local_snr,recovered_innovation_local_snr,local_snr_retention_fraction,raw_flux_box_statistic,raw_flux_box_numerator,raw_flux_box_denominator,raw_flux_box_n_points,innovation_unchanged_box_statistic,innovation_unchanged_box_numerator,innovation_unchanged_box_denominator,innovation_unchanged_box_n_points,innovation_transformed_template_statistic,innovation_transformed_template_numerator,innovation_transformed_template_denominator,innovation_transformed_template_n_points,template_abs_area,template_edge_abs_fraction,template_interior_abs_fraction,ingress_egress_asymmetry_fraction,ingress_egress_distortion_fraction,best_injected_neighborhood_statistic,best_injected_neighborhood_rank,best_spurious_statistic,spurious_to_injected_statistic_ratio,spurious_peak_exceeds_injected,n_spurious_peaks_positive,n_trial_centers,threshold_far_0.1,detected_at_far_0.1,top_recovered_at_far_0.1,n_spurious_peaks_above_far_0.1,threshold_far_0.05,detected_at_far_0.05,top_recovered_at_far_0.05,n_spurious_peaks_above_far_0.05,threshold_far_0.01,detected_at_far_0.01,top_recovered_at_far_0.01,n_spurious_peaks_above_far_0.01,injection_id,quality_policy,selected_order,selected_candidate_status,selected_differencing_alignment,gap_mode_scientifically_acceptable_before_injection
longest_contiguous,17765,6,0.0005,0.0005,0.0005103069168260289,1.0206138336520578,1.0206138336520578,18.447489776682797,10.80596139911911,0.5857686617491772,0.0005165417987461614,0.0002132990660142724,21.287961575569895,4.883414370335792,0.22939793239480513,18.447489776682797,339.2614779410567,18.390658135497404,31,6.163150549553867,79.86081371196485,12.95779051150158,28,10.80596139911911,114.4103655164255,10.587708144668378,28,0.0018529693231966573,0.7756708994210716,0.11216886872592019,0.00030046730237241097,0.7756708994210716,10.80596139911911,1,1.6271109313987104,0.15057530480641462,False,4,9,1.0549060784171893,True,True,1,1.3410085049079494,True,True,1,1.569890446100558,True,True,1,1,default,"ARIMA(2, 1, 0)",valid_but_residual_autocorrelation_remains,conflicts_with_stationarity_evidence,False
longest_contiguous,17765,6,0.001,0.001,0.001010306916826029,1.010306916826029,1.010306916826029,36.838147912180204,21.39366954378749,0.5807476965125563,0.0010165417987461614,0.0004358123839273055,41.89419482449929,10.799134245273875,0.25777161467150705,36.838147912180204,1354.9555691955873,36.78131627099481,31,12.042041823827638,312.0765105677979,25.91558102300316,28,21.39366954378749,453.0198585462052,21.175416289336756,28,0.003705938646393315,0.7756708994210715,0.1121688687259202,0.00030046730237248643,0.7756708994210715,21.39366954378749,1,1.62711093139871,0.07605571957014766,False,4,9,1.0549060784171893,True,True,1,1.3410085049079492,True,True,1,1.5698904461005576,True,True,1,2,default,"ARIMA(2, 1, 0)",valid_but_residual_autocorrelation_remains,conflicts_with_stationarity_evidence,False
longest_contiguous,17765,6,0.002,0.002,0.002010306916826029,1.0051534584130144,1.0051534584130144,73.61946418317501,42.56908583312425,0.5782313998809704,0.0020165417987461614,0.0008732200191135436,83.1066613223581,21.2191667402265,0.2553244998968323,73.61946418317501,5415.641591645069,73.56263254198961,31,23.799824372375184,1233.5725537110688,51.83116204600632,28,42.56908583312425,1802.8362271458275,42.35083257867351,28,0.007411877292786631,0.7756708994210716,0.11216886872592018,0.00030046730237241097,0.7756708994210716,42.56908583312425,1,1.6271109313987104,0.03822283000807614,False,4,9,1.0549060784171895,True,True,1,1.3410085049079496,True,True,1,1.569890446100558,True,True,1,3,default,"ARIMA(2, 1, 0)",valid_but_residual_autocorrelation_remains,conflicts_with_stationarity_evidence,False
longest_contiguous,17831,6,0.0005,0.0005,0.000591379528318727,1.182759056637454,1.182759056637454,30.65728779464024,14.131358185812681,0.46094613067119533,0.0006512554885348405,0.00017542992890110488,24.983486846901595,5.551768268137216,0.22221751119683023,30.65728779464024,738.0278669539252,24.07348855833729,49,6.318154941984773,97.31600830011074,15.402599207157158,49,14.131358185812681,168.83851622617237,11.94779114690331,49,0.0018522030444717151,0.7755867322143121,0.11220663389284405,0.0,0.7755867322143121,14.131358185812681,1,1.6262527470293442,0.11508113556006505,False,5,9,1.0549060784171893,True,True,1,1.3410085049079494,True,True,1,1.569890446100558,True,True,1,4,default,"ARIMA(2, 1, 0)",valid_but_residual_autocorrelation_remains,conflicts_with_stationarity_evidence,False
longest_contiguous,17831,6,0.001,0.001,0.001091379528318727,1.091379528318727,1.091379528318727,54.730776352977536,26.079149332715993,0.47649880141517853,0.0011512554885348405,0.000383259397807354,44.16450511602059,12.12887320048867,0.27462943756815567,54.730776352977536,2635.1214366446434,48.14697711667458,49,12.675957144778037,390.4853749362326,30.805198414314315,49,26.079149332715993,623.176459032387,23.89558229380662,49,0.0037044060889434307,0.7755867322143118,0.11220663389284409,0.0,0.7755867322143118,26.079149332715993,1,1.6253945626599795,0.06232544405200137,False,5,9,1.0549060784171893,True,True,1,1.3410085049079492,True,True,1,1.5698904461005576,True,True,1,5,default,"ARIMA(2, 1, 0)",valid_but_residual_autocorrelation_remains,conflicts_with_stationarity_evidence,False
longest_contiguous,17831,6,0.002,0.002,0.002091379528318727,1.0456897641593634,1.0456897641593634,102.87775346965213,49.97473162652261,0.4857681076916657,0.0021512554885348405,0.0007989183356198518,82.5265416542586,25.283083065191587,0.30636305070329956,102.87775346965213,9906.50568423646,96.29395423334915,49,25.391561550364564,1564.3841832165097,61.61039682862863,49,49.97473162652261,2388.350624384943,47.79116458761324,49,0.0074088121778868605,0.7755867322143118,0.11220663389284409,7.547294701635661e-17,0.7755867322143118,49.97473162652261,1,1.623678193921248,0.03248998325905023,False,5,9,1.0549060784171895,True,True,1,1.3410085049079496,True,True,1,1.569890446100558,True,True,1,6,default,"ARIMA(2, 1, 0)",valid_but_residual_autocorrelation_remains,conflicts_with_stationarity_evidence,False
longest_contiguous,17898,6,0.0005,0.0005,0.00042841520164858896,0.8568304032971779,0.8568304032971779,13.773925586012156,9.31920218663655,0.6765828759885625,0.00043819485468488085,0.00014396073887629356,19.541327698925983,3.4526578663812186,0.176684917195825,13.773925586012156,221.94541299055953,16.11344649748594,31,5.129670251736396,70.96241390238276,13.833718430217214,31,9.31920218663655,101.35906599627253,10.876367307666992,31,0.0018522030444717153,0.7755867322143118,0.11220663389284409,0.0,0.7755867322143118,9.31920218663655,1,1.6271109313987104,0.1745976639214822,False,5,9,1.0549060784171893,True,True,1,1.3410085049079494,True,True,1,1.569890446100558,True,True,1,7,default,"ARIMA(2, 1, 0)",valid_but_residual_autocorrelation_remains,conflicts_with_stationarity_evidence,False
longest_contiguous,17898,6,0.001,0.001,0.000928415201648589,0.928415201648589,0.928415201648589,29.88737208349809,20.195569494303545,0.6757224903508414,0.0009381948546848809,0.0003517902077825425,41.83885982419334,8.43710054350306,0.20165703795360845,29.88737208349809,963.1771420358026,32.22689299497188,31,11.233666425076251,310.8067565269793,27.667436860434428,31,20.195569494303545,439.3088636151198,21.752734615333985,31,0.0037044060889434302,0.7755867322143118,0.11220663389284409,0.0,0.7755867322143118,20.195569494303545,1,1.62711093139871,0.08056771718458647,False,5,9,1.0549060784171893,True,True,1,1.3410085049079492,True,True,1,1.5698904461005576,True,True,1,8,default,"ARIMA(2, 1, 0)",valid_but_residual_autocorrelation_remains,conflicts_with_stationarity_evidence,False
longest_contiguous,17898,6,0.002,0.002,0.001928415201648589,0.9642076008242945,0.9642076008242945,62.11426507846996,41.94830410963753,0.6753409069018776,0.0019381948546848809,0.0007674491455950407,86.43392407472807,18.405985897746753,0.21294863208840908,62.11426507846996,4003.4995482903396,64.45378598994375,31,23.441658771755964,1297.141227942814,55.334873720868856,31,41.94830410963753,1824.9806537205384,43.50546923066797,31,0.007408812177886861,0.7755867322143118,0.11220663389284412,1.5094589403271322e-16,0.7755867322143118,41.94830410963753,1,1.6271109313987104,0.038788479437596265,False,5,9,1.0549060784171895,True,True,1,1.3410085049079496,True,True,1,1.569890446100558,True,True,1,9,default,"ARIMA(2, 1, 0)",valid_but_residual_autocorrelation_remains,conflicts_with_stationarity_evidence,False
full_grid_missing,17765,6,0.0005,0.0005,0.0005599132850821667,1.1198265701643335,1.1198265701643335,20.8368839712597,16.448772830292825,0.7894065568047798,0.000516428498754717,0.00011434551005660216,21.217603029981916,3.9202527999028645,0.18476416937216145,20.8368839712597,438.6934149524651,21.05369572329311,48,5.838140576070732,118.06338908299918,20.222772566819533,48,16.448772830292825,241.61074119082085,14.6886788262927,48,0.0013382526184721418,0.9999999999999999,0.0,8.101625638687843e-17,0.9999999999999999,16.448772830292825,1,6.2430078603511205,0.37954246950591397,False,59,121,1.4890387195541848,True,True,12,2.1781181311935596,True,True,6,3.728510307077786,True,True,2,1,default,"ARIMA(1, 1, 0)",valid_but_residual_autocorrelation_remains,unresolved,False
