target_id,quarter,sample_stratum,branch,case_index,success,error,injected_period_days,injected_epoch_days,requested_duration_hours,requested_depth,phase_fraction,in_transit_cadence_count,radius_ratio,scaled_semimajor_axis,inclination_degrees,impact_parameter,limb_darkening_u1,limb_darkening_u2,exposure_time_minutes,supersample_factor,realized_max_depth_on_observed_cadences,template_amplitude_ratio,peak_depth_ratio,template_energy_ratio,template_correlation,template_rmse_ppm,oracle_signal_snr,background_scale_ppm,background_acf1
10677499,5,high_scatter,raw,0,True,,2.0,443.8105127709467,2.0,0.0002,0.15,225,0.013289696533135976,7.421141698134374,87.68318412545229,0.3,0.3,0.2,29.42538765259087,7,0.00019998506508278613,1.0,1.0,1.0,1.0,0.0,0.4232766642399799,5645.389857957332,0.9960304134635848
10677499,5,high_scatter,arima,0,True,,2.0,443.8105127709467,2.0,0.0002,0.15,225,0.013289696533135976,7.421141698134374,87.68318412545229,0.3,0.3,0.2,29.42538765259087,7,0.00019998506508278613,0.29997904095926575,0.9696856959974298,0.7177757462764023,0.5003248022529323,34.13543738787719,4.1832949823187455,410.00443489676485,-0.06311140229185536
10677499,5,high_scatter,kalman,0,True,,2.0,443.8105127709467,2.0,0.0002,0.15,225,0.013289696533135976,7.421141698134374,87.68318412545229,0.3,0.3,0.2,29.42538765259087,7,0.00019998506508278613,0.35460669476209167,0.9696856959974298,0.716886924815097,0.5551652980809406,32.004368808978974,4.18031053374789,409.7890784913673,-0.05785900842532243
10677499,5,high_scatter,gp,0,True,,2.0,443.8105127709467,2.0,0.0002,0.15,225,0.013289696533135976,7.421141698134374,87.68318412545229,0.3,0.3,0.2,29.42538765259087,7,0.00019998506508278613,0.9417002273756786,1.0139300710321546,1.002784578453673,0.9903348199695468,12.470457647265846,3.9829891045516135,601.612418908962,0.7174758782661883
10677499,5,high_scatter,raw,1,True,,2.0,444.41051277094664,4.0,0.0005,0.45,418,0.020978641728395406,3.782536417156139,85.45098744746741,0.3,0.3,0.2,29.42538765259087,7,0.0004999951337439912,1.0,1.0,1.0,0.9999999999999998,0.0,1.5345329003973562,5645.389857957332,0.9960304134635848
10677499,5,high_scatter,arima,1,True,,2.0,444.41051277094664,4.0,0.0005,0.45,418,0.020978641728395406,3.782536417156139,85.45098744746741,0.3,0.3,0.2,29.42538765259087,7,0.0004999951337439912,0.12107851339189883,0.9034682226520536,0.45783223674590445,0.3040300143166919,127.2342198143496,9.673596253325384,410.00443489676485,-0.06311140229185536
10677499,5,high_scatter,kalman,1,True,,2.0,444.41051277094664,4.0,0.0005,0.45,418,0.020978641728395406,3.782536417156139,85.45098744746741,0.3,0.3,0.2,29.42538765259087,7,0.0004999951337439912,0.1564920179192663,0.9059451944275556,0.4750204421449615,0.35489797984674687,123.56489603181898,10.042042678844807,409.7890784913673,-0.05785900842532243
10677499,5,high_scatter,gp,1,True,,2.0,444.41051277094664,4.0,0.0005,0.45,418,0.020978641728395406,3.782536417156139,85.45098744746741,0.3,0.3,0.2,29.42538765259087,7,0.0004999951337439912,0.909099284485598,1.0215636375703836,0.9576337989665513,0.9920213001182917,40.66861946561159,13.7896364288683,601.612418908962,0.7174758782661883
10677499,5,high_scatter,raw,2,True,,5.0,447.26051277094666,2.0,0.0005,0.75,97,0.021013653112727487,18.65011129250662,89.07831782161536,0.3,0.3,0.2,29.42538765259087,7,0.000499995382505003,1.0,1.0,1.0,1.0,0.0,0.6865758413384628,5645.389857957332,0.9960304134635848
10677499,5,high_scatter,arima,2,True,,5.0,447.26051277094666,2.0,0.0005,0.75,97,0.021013653112727487,18.65011129250662,89.07831782161536,0.3,0.3,0.2,29.42538765259087,7,0.000499995382505003,0.28926834666936235,0.8154593068248545,0.7053184987771614,0.5100368557968572,55.48099204719405,6.667747980979723,410.00443489676485,-0.06311140229185536
