noise_quartile,star_count,null_trial_count,tcf_successful_null_count,bls_successful_null_count,expected_successful_null_count,tcf_success_fraction_ok,bls_success_fraction_ok,fap_level,tcf_score_threshold,bls_sde_threshold,tcf_observed_exceedance_fraction,bls_observed_exceedance_fraction
high_scatter,12,96,96,96,86,True,True,0.01,16.085275694914447,6.470843008693946,0.010416666666666666,0.010416666666666666
highest_scatter,13,104,104,104,93,True,True,0.01,17.265028433988043,4.675181478846935,0.019230769230769232,0.019230769230769232
low_scatter,12,96,96,96,86,True,True,0.01,16.276126694754126,5.983956562712842,0.010416666666666666,0.010416666666666666
lowest_scatter,13,104,104,104,93,True,True,0.01,14.755773328670138,5.577848433974941,0.019230769230769232,0.019230769230769232
