dataset_kind,target_id,quarter,trial,selection_group,candidate_period_days,source_detector,detector_agreement,detector_count,bls_present,tcf_present,has_bls_candidate,has_tcf_candidate,has_tcf_event_diagnostics,bls_candidate_period_days,tcf_candidate_period_days,bls_rank,tcf_rank,bls_sde,tcf_score,bls_score_relative_to_rank1,tcf_score_relative_to_rank1,detector_candidate_period_delta_fraction,detector_candidate_harmonic_error_fraction,detector_candidate_best_harmonic_factor,bls_period_delta_to_tcf_best_fraction,tcf_period_delta_to_bls_best_fraction,candidate_to_tcf_best_harmonic_error_fraction,candidate_to_tcf_best_harmonic_factor,candidate_to_bls_best_harmonic_error_fraction,candidate_to_bls_best_harmonic_factor,bls_tcf_rank1_harmonic_error_fraction,bls_tcf_rank1_harmonic_factor,tcf_valid_transit_events,tcf_positive_transit_events,tcf_positive_event_fraction,tcf_median_event_score,tcf_raw_pooled_score,candidate_duration_hours,candidate_depth,noise_quartile,robust_flux_scatter_ppm,gap_fraction,lag_one_flux_acf,six_hour_scatter_proxy_ppm,arima_converged,tcf_global_empirical_p_value,bls_global_empirical_p_value,tcf_regime_empirical_p_value,bls_regime_empirical_p_value,raw_candidate_rank,candidate_id,predicted_score,reranked_rank,passes_reranker_global_fap
null,757450,5,2,confirmed_planet_host,13.968322774258088,bls,False,1,True,False,True,False,False,13.968322774258088,,1.0,,3.0460621318604835,,1.0,,,,,0.029946155926536048,0.0,0.029946155926536048,1.0,0.0,1.0,0.029946155926536048,1.0,,,,,,,,highest_scatter,3652.4689853836817,0.0321536469572723,0.9529528081407052,502.2373859396175,1,,0.7980049875311721,,0.5523809523809524,1.0,20,0.55177444,1,False
null,757450,5,3,confirmed_planet_host,8.371123707902635,bls,False,1,True,False,True,False,False,8.371123707902635,,1.0,,3.901246910521876,,1.0,,,,,0.3754509042963405,0.0,0.24909819140731898,0.5,0.0,1.0,0.24909819140731898,0.5,,,,,,,,highest_scatter,3652.4689853836817,0.0321536469572723,0.9529528081407052,502.2373859396175,1,,0.3516209476309227,,0.1619047619047619,1.0,22,0.47044653,1,False
null,757450,5,4,confirmed_planet_host,7.437479159719907,bls,False,1,True,False,True,False,False,7.437479159719907,,1.0,,3.02630324201385,,1.0,,,,,0.48708809529284613,0.0,0.025823809414307723,0.5,0.0,1.0,0.025823809414307723,0.5,,,,,,,,highest_scatter,3652.4689853836817,0.0321536469572723,0.9529528081407052,502.2373859396175,1,,0.8129675810473815,,0.6,1.0,24,0.61718065,1,False
null,757450,5,5,confirmed_planet_host,5.294764921640547,bls,False,1,True,False,True,False,False,5.294764921640547,,1.0,,2.8756776584014863,,1.0,,,,,0.63332178732248,0.0,0.2666435746449602,0.5,0.0,1.0,0.2666435746449602,0.5,,,,,,,,highest_scatter,3652.4689853836817,0.0321536469572723,0.9529528081407052,502.2373859396175,1,,0.8753117206982544,,0.7142857142857143,1.0,26,0.8965257,1,False
null,757450,5,6,confirmed_planet_host,12.99733244414805,bls,False,1,True,False,True,False,False,12.99733244414805,,1.0,,2.684854100032696,,1.0,,,,,0.09843876488955705,0.0,0.09843876488955705,1.0,0.0,1.0,0.09843876488955705,1.0,,,,,,,,highest_scatter,3652.4689853836817,0.0321536469572723,0.9529528081407052,502.2373859396175,1,,0.9326683291770573,,0.8380952380952381,1.0,28,0.46006802,1,False
null,757450,5,7,confirmed_planet_host,12.479159719906637,bls,False,1,True,False,True,False,False,12.479159719906637,,1.0,,2.8561998547378837,,1.0,,,,,0.15141827086592746,0.0,0.15141827086592746,1.0,0.0,1.0,0.15141827086592746,1.0,,,,,,,,highest_scatter,3652.4689853836817,0.0321536469572723,0.9529528081407052,502.2373859396175,1,,0.8877805486284289,,0.7523809523809524,1.0,30,0.48413327,1,False
null,1026957,5,0,confirmed_planet_host,14.01033677892631,bls,False,1,True,False,True,False,False,14.01033677892631,,1.0,,2.930630487217071,,1.0,,,,,0.0050230822589520255,0.0,0.0050230822589520255,1.0,0.0,1.0,0.0050230822589520255,1.0,,,,,,,,highest_scatter,12515.572525533244,0.0321536469572723,0.9998605651518044,113.73504882416344,0,,0.8553615960099751,,0.6666666666666666,1.0,32,0.52308124,1,False
null,1026957,5,1,confirmed_planet_host,13.090696898966325,bls,False,1,True,False,True,False,False,13.090696898966325,,1.0,,2.9821119076001046,,1.0,,,,,0.05525207556250736,0.0,0.05525207556250736,1.0,0.0,1.0,0.05525207556250736,1.0,,,,,,,,highest_scatter,12515.572525533244,0.0321536469572723,0.9998605651518044,113.73504882416344,0,,0.8354114713216958,,0.6285714285714286,1.0,34,0.35510427,1,False
null,1026957,5,2,confirmed_planet_host,8.861287095698568,bls,False,1,True,False,True,False,False,8.861287095698568,,1.0,,2.4669883480884747,,1.0,,,,,0.3960913532553119,0.0,0.2078172934893762,0.5,0.0,1.0,0.2078172934893762,0.5,,,,,,,,highest_scatter,12515.572525533244,0.0321536469572723,0.9998605651518044,113.73504882416344,0,,0.972568578553616,,0.9428571428571428,1.0,36,0.4673216,1,False
null,1026957,5,3,confirmed_planet_host,9.626875625208404,tcf,False,1,False,True,False,True,True,,9.626875625208404,,1.0,,6.083826852607682,,1.0,,,,0.0,0.35820829165277307,0.0,1.0,0.2835834166944539,0.5,0.22093103806587938,2.0,9.0,,0.7777777777777778,,,,,highest_scatter,12515.572525533244,0.0321536469572723,0.9998605651518044,113.73504882416344,0,0.9376558603491272,,0.9619047619047619,,1.0,39,0.42276013,1,False
