target_id,quarter,selection_group,status,profile,runtime_seconds,light_curve_cache_hit,base_arima_from_cache,original_searches_from_cache,arima_injection_mode,injection_count_requested,injection_count_successful,injection_success_fraction,null_trials_requested,tcf_null_trials_successful,bls_null_trials_successful,base_arima_converged,base_arima_runtime_seconds,original_tcf_runtime_seconds,original_bls_runtime_seconds,original_tcf_period_days,original_tcf_score,original_tcf_raw_pooled_score,original_tcf_valid_transit_events,original_tcf_positive_event_fraction,original_bls_period_days,original_bls_sde,original_bls_power,tcf_harmonic_rank1_rate_before_fap,tcf_exact_rank1_rate_before_fap,tcf_exact_top10_rate,tcf_median_exact_rank_when_present,bls_harmonic_rank1_rate_before_fap,bls_exact_rank1_rate_before_fap,bls_exact_top10_rate,n_grid_observations,n_finite_observations,finite_fraction,gap_fraction,baseline_days,median_cadence_days,median_flux,robust_flux_scatter_ppm,flux_standard_deviation_ppm,lag_one_flux_acf,six_hour_scatter_proxy_ppm,tcf_global_fap_threshold,bls_global_fap_threshold,original_tcf_passes_global_fap,original_bls_passes_global_fap,original_tcf_global_empirical_p_value,original_bls_global_empirical_p_value,noise_quartile
757450,5,confirmed_planet_host,success,optimized,659.3276386251673,False,False,False,filter,18,18,1.0,8,8,8,True,0.1936560831964016,21.199971083085984,0.14667720813304186,8.884628209403136,68.00492181981033,60.92432178087042,11,1.0,8.884628209403136,8.60590415716419,0.08088149763242239,0.0,0.0,0.0,,0.0,0.0,0.0,4634,4485,0.9678463530427277,0.0321536469572723,94.65286035832833,0.02043456426690682,8.905215391696863e-05,3652.4689853836817,3677.4542942472426,0.9529528081407053,502.2373859396175,16.085275694914447,5.684844459265036,True,True,0.0024937655860349127,0.0024937655860349127,highest_scatter
1161345,5,confirmed_planet_host,success,optimized,656.882349959109,False,False,False,filter,18,18,1.0,8,8,8,True,0.686849958030507,21.016538875177503,0.1464894579257816,4.286428809603201,28.693454327144973,25.632205598411904,22,0.9090909090909091,7.806268756252084,10.420864529881225,0.10004950601990431,0.1111111111111111,0.1111111111111111,0.5,4.0,0.0,0.0,0.0,4634,4485,0.9678463530427277,0.0321536469572723,94.65282748322352,0.020434556463442277,-0.0001079662124723324,4174.237095946945,3853.8049461708633,0.9992048337683134,88.50649008806953,16.085275694914447,5.684844459265036,True,True,0.0024937655860349127,0.0024937655860349127,highest_scatter
1718958,5,confirmed_planet_host,success,optimized,366.8127302089706,False,False,False,filter,18,18,1.0,8,8,8,True,0.33764554210938513,20.373773999977857,0.16003766586072743,13.0486828942981,6.392994634609615,4.9510195309984395,7,1.0,9.379459819939981,6.044101163072778,0.036897535522960774,0.9444444444444444,0.5555555555555556,0.6666666666666666,1.0,0.0,0.0,0.0,4634,4485,0.9678463530427277,0.0321536469572723,94.65277207104373,0.02043454340309836,-8.676849398314701e-05,1424.2388676234768,1788.710317379607,0.9947431200159739,111.53175896129349,16.085275694914447,5.684844459265036,False,True,0.713216957605985,0.004987531172069825,highest_scatter
2693736,5,confirmed_planet_host,success,optimized,418.88348495797254,False,False,False,filter,18,18,1.0,8,8,8,True,0.21340245893225074,12.250757042085752,0.15734783303923905,9.757585861953986,7.230117202229719,3.9825623718718037,9,0.7777777777777778,12.119706568856286,6.807186479884859,0.004053248573690323,0.3333333333333333,0.16666666666666666,0.4444444444444444,2.0,0.8888888888888888,0.8888888888888888,1.0,4634,4485,0.9678463530427277,0.0321536469572723,94.65250043894048,0.020434498652321054,-8.287227000636221e-06,454.0150778128674,482.67685603596817,0.11697155782416188,418.68605737019595,16.085275694914447,5.684844459265036,False,True,0.2119700748129676,0.0024937655860349127,low_scatter
2716853,5,confirmed_planet_host,success,optimized,434.7976661249995,False,False,False,filter,18,18,1.0,8,8,8,False,0.5976045830175281,15.256215249886736,0.22533820802345872,14.374458152717574,6.806342317973449,4.9291309353372315,7,0.8571428571428571,9.407469156385462,8.87561851117315,0.006568660392221199,0.2222222222222222,0.1111111111111111,0.3333333333333333,2.0,0.6111111111111112,0.6111111111111112,0.9444444444444444,4634,4486,0.9680621493310315,0.03193785066896848,94.65274305417552,0.020434532430954278,-5.030341798162308e-06,597.2938732475109,663.4297382597465,0.06907302162847734,572.952348696835,16.085275694914447,5.684844459265036,False,True,0.3915211970074813,0.0024937655860349127,high_scatter
2721030,5,confirmed_planet_host,success,optimized,425.74545908300206,False,False,False,filter,18,18,1.0,8,8,8,True,0.3212169168982655,20.256940624909475,0.16126991715282202,5.052017339113038,6.393910141818682,4.190309818082821,17,0.7058823529411765,6.102367455818607,17.101403986627545,0.008779069034931138,0.5,0.1111111111111111,0.3333333333333333,3.0,0.4444444444444444,0.4444444444444444,0.8333333333333334,4634,4486,0.9680621493310315,0.03193785066896848,94.65277162889834,0.020434537371329498,9.496126571528762e-06,564.1063681281146,583.3809051929372,0.09140567397854907,529.0511866800758,16.085275694914447,5.684844459265036,False,True,0.7107231920199502,0.0024937655860349127,high_scatter
2557816,5,confirmed_planet_host,success,optimized,422.10375920892693,False,False,False,filter,18,18,1.0,8,8,8,True,0.2416024999693036,14.195600708015263,0.18639258295297623,7.1247082360786935,6.805975674771553,5.741581481027663,11,0.9090909090909091,9.379459819939981,9.90409402711444,0.003723020798478076,0.7222222222222222,0.3888888888888889,0.3888888888888889,1.0,0.9444444444444444,0.9444444444444444,1.0,4634,4485,0.9678463530427277,0.0321536469572723,94.65255305534811,0.020434506004676223,6.854525596899919e-06,345.18407079687677,369.631381725176,0.07772962097475196,333.4332530987721,16.085275694914447,5.684844459265036,False,True,0.3940149625935162,0.0024937655860349127,low_scatter
2571238,5,confirmed_planet_host,success,optimized,422.2468023749534,False,False,False,filter,18,18,1.0,8,8,8,True,0.2220830419100821,15.219357708003372,0.14424462500028312,9.286095365121708,24.016515136351373,24.0804230199735,10,1.0,9.286095365121708,7.418340831702174,0.004422876403367565,0.6111111111111112,0.4444444444444444,0.6666666666666666,1.0,0.8333333333333334,0.8333333333333334,1.0,4634,4485,0.9678463530427277,0.0321536469572723,94.65268944072886,0.020434525005839532,-1.2728298743880373e-06,136.43715443867333,173.23279936319327,0.7945712482910711,66.78109494030717,16.085275694914447,5.684844459265036,True,True,0.004987531172069825,0.0024937655860349127,lowest_scatter
11086270,5,confirmed_planet_host,success,optimized,428.92558883409947,False,False,False,filter,18,18,1.0,8,8,8,True,0.20200204197317362,15.7061838330701,0.14755537500604987,14.365121707235746,7.886065704194121,5.022785282600191,7,0.8571428571428571,12.68922974324775,9.5882169048617,0.001767272907345706,0.7777777777777778,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,4634,4486,0.9680621493310315,0.03193785066896848,94.65146897509112,0.020434263213246595,5.422814524314035e-06,108.5956025930775,124.13981544838887,0.14150288098914984,96.5740904428604,16.085275694914447,5.684844459265036,False,True,0.11221945137157108,0.0024937655860349127,lowest_scatter
2581554,5,confirmed_planet_host,success,optimized,359.0892411659006,False,False,False,filter,18,18,1.0,8,8,8,True,0.13345279078930616,18.565217667026445,0.14779729209840298,14.752584194731579,7.19945523904678,9.651328159954879,6,0.6666666666666666,7.642880960320107,8.699219340472535,0.19382255128521492,0.8888888888888888,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,4634,4486,0.9680621493310315,0.03193785066896848,94.65277106160647,0.020434538193512708,-0.00016213376877016739,8745.033574829806,7871.8612793774055,0.9995608510557872,136.74949662182183,16.085275694914447,5.684844459265036,False,True,0.22194513715710723,0.0024937655860349127,highest_scatter
