noise_quartile,null_trials,threshold,observed_null_exceedance_rate,injection_groups,exact_recovery_at_threshold,original_light_curves,original_candidate_fraction
high_scatter,96,0.9929879307746887,0.010416666666666666,216,0.25,12,0.0
highest_scatter,104,0.9440575838088989,0.019230769230769232,234,0.10256410256410256,13,0.0
low_scatter,96,0.9948240518569946,0.010416666666666666,216,0.5416666666666666,12,0.0
lowest_scatter,104,0.9926687479019165,0.019230769230769232,234,0.6410256410256411,13,0.0
