noise_quartile,star_count,median_robust_flux_scatter_ppm,median_gap_fraction,original_tcf_candidate_rate_global_fap,original_bls_candidate_rate_global_fap,original_any_candidate_rate_global_fap,original_tcf_candidate_rate_regime_fap,original_bls_candidate_rate_regime_fap,original_any_candidate_rate_regime_fap,original_tcf_candidate_count_regime_fap,original_bls_candidate_count_regime_fap,original_any_candidate_count_regime_fap
high_scatter,12,687.6857952007322,0.03204574881312035,0.08333333333333333,0.16666666666666666,0.25,0.08333333333333333,0.16666666666666666,0.25,1,2,3
highest_scatter,13,3652.4689853836817,0.0321536469572723,0.15384615384615385,0.3076923076923077,0.3076923076923077,0.15384615384615385,0.46153846153846156,0.46153846153846156,2,6,6
low_scatter,12,410.8668534093729,0.0321536469572723,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0,2,2
lowest_scatter,13,202.40798946213667,0.0321536469572723,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.23076923076923078,2,2,3
