model,injection_groups,candidate_rows,exact_recall_at_1,exact_recall_at_3,exact_recall_at_5,exact_recall_at_10,harmonic_recall_at_1,mean_reciprocal_rank,median_exact_rank,candidate_set_misses,cases_improved_over_bls,cases_worsened_relative_to_bls,repeat
permuted_exact_labels_0,720,6285,0.11805555555555555,0.29444444444444445,0.45555555555555555,0.8472222222222222,0.4666666666666667,0.2813916446208113,5.0,110,9,404,0
permuted_exact_labels_1,720,6285,0.15555555555555556,0.30972222222222223,0.4722222222222222,0.8472222222222222,0.3819444444444444,0.3080224867724868,5.0,110,25,393,1
permuted_exact_labels_2,720,6285,0.13333333333333333,0.2916666666666667,0.44305555555555554,0.8472222222222222,0.3819444444444444,0.28865465167548504,5.0,110,21,405,2
permuted_exact_labels_3,720,6285,0.14305555555555555,0.30833333333333335,0.4722222222222222,0.8472222222222222,0.39166666666666666,0.2987340167548501,5.0,110,11,388,3
permuted_exact_labels_4,720,6285,0.15416666666666667,0.3277777777777778,0.4777777777777778,0.8472222222222222,0.4583333333333333,0.30939539241622577,5.0,110,23,392,4
permuted_exact_labels_5,720,6285,0.08888888888888889,0.25277777777777777,0.43194444444444446,0.8472222222222222,0.38472222222222224,0.25391699735449735,5.0,110,15,431,5
permuted_exact_labels_6,720,6285,0.14583333333333334,0.32916666666666666,0.48333333333333334,0.8472222222222222,0.46111111111111114,0.3098820546737213,5.0,110,12,387,6
permuted_exact_labels_7,720,6285,0.12361111111111112,0.2916666666666667,0.44166666666666665,0.8472222222222222,0.44166666666666665,0.2841870590828924,5.0,110,21,412,7
permuted_exact_labels_8,720,6285,0.14444444444444443,0.2763888888888889,0.4166666666666667,0.8472222222222222,0.43333333333333335,0.2883889991181658,6.0,110,15,391,8
permuted_exact_labels_9,720,6285,0.14027777777777778,0.31666666666666665,0.4597222222222222,0.8472222222222222,0.4097222222222222,0.2976686507936508,5.0,110,15,394,9
