noise_quartile,injection_count,star_count,median_robust_flux_scatter_ppm,median_gap_fraction,tcf_harmonic_rank1_before_fap,bls_harmonic_rank1_before_fap,harmonic_union_rank1_before_fap,tcf_exact_rank1_before_fap,bls_exact_rank1_before_fap,exact_union_rank1_before_fap,tcf_exact_recall_at_10,bls_exact_recall_at_10,exact_union_recall_at_10,tcf_exact_recovery_global_fap,bls_exact_recovery_global_fap,exact_union_recovery_global_fap,tcf_exact_recovery_regime_fap,bls_exact_recovery_regime_fap,exact_union_recovery_regime_fap,tcf_only_exact_rank1_before_fap,bls_only_exact_rank1_before_fap,neither_exact_rank1_before_fap
high_scatter,216,12,687.6857952007322,0.03204574881312035,0.24074074074074073,0.6990740740740741,0.7592592592592593,0.11574074074074074,0.6898148148148148,0.7314814814814815,0.21296296296296297,0.8101851851851852,0.8703703703703703,0.037037037037037035,0.48148148148148145,0.5185185185185185,0.037037037037037035,0.4398148148148148,0.47685185185185186,0.037037037037037035,0.48148148148148145,0.48148148148148145
highest_scatter,234,13,3652.4689853836817,0.0321536469572723,0.47435897435897434,0.05982905982905983,0.5170940170940171,0.2948717948717949,0.05982905982905983,0.34615384615384615,0.4358974358974359,0.08547008547008547,0.5,0.1111111111111111,0.008547008547008548,0.11965811965811966,0.08974358974358974,0.021367521367521368,0.1111111111111111,0.1111111111111111,0.008547008547008548,0.8803418803418803
low_scatter,216,12,410.8668534093729,0.0321536469572723,0.49074074074074076,0.9166666666666666,0.9490740740740741,0.27314814814814814,0.9166666666666666,0.9490740740740741,0.39351851851851855,0.9583333333333334,0.9907407407407407,0.06018518518518518,0.8148148148148148,0.8379629629629629,0.06018518518518518,0.7962962962962963,0.8240740740740741,0.023148148148148147,0.7777777777777778,0.16203703703703703
lowest_scatter,234,13,202.40798946213667,0.0321536469572723,0.7777777777777778,0.8974358974358975,0.9786324786324786,0.5512820512820513,0.8974358974358975,0.9658119658119658,0.6196581196581197,0.9230769230769231,0.9829059829059829,0.29914529914529914,0.8205128205128205,0.8717948717948718,0.32905982905982906,0.8205128205128205,0.8717948717948718,0.05128205128205128,0.5726495726495726,0.1282051282051282
