metric,estimate,ci_lower_95,ci_upper_95,bootstrap_samples,resampling_unit
exact_recall_at_1,0.7511111111111111,0.67,0.8288888888888889,2000,target_id
improvement_over_bls,0.11666666666666667,0.06222222222222222,0.17558333333333317,2000,target_id
improvement_over_raw_min_rank,0.11666666666666667,0.06222222222222222,0.17558333333333317,2000,target_id
improvement_over_oracle_rank1_union,0.006666666666666667,-0.0033333333333333335,0.017777777777777778,2000,target_id
mean_reciprocal_rank,0.7767760141093475,0.699350319664903,0.8503427579365078,2000,target_id
