target_id,quarter,selection_group,status,star_dir,runtime_seconds,error
2716853,5,confirmed_planet_host,success,/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/multistar_bls_tcf/optimized/stars/kic_2716853_q5,434.7976661249995,
2717158,5,confirmed_planet_host,success,/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/multistar_bls_tcf/optimized/stars/kic_2717158_q5,434.0977967910003,
2718778,5,confirmed_planet_host,success,/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/multistar_bls_tcf/optimized/stars/kic_2718778_q5,433.26466283318587,
2721030,5,confirmed_planet_host,success,/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/multistar_bls_tcf/optimized/stars/kic_2721030_q5,425.74545908300206,
2831055,5,confirmed_planet_host,success,/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/multistar_bls_tcf/optimized/stars/kic_2831055_q5,407.5864874590188,
2832589,5,confirmed_planet_host,success,/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/multistar_bls_tcf/optimized/stars/kic_2832589_q5,383.5332691660151,
1865042,5,confirmed_planet_host,success,/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/multistar_bls_tcf/optimized/stars/kic_1865042_q5,422.03498804103583,
2557816,5,confirmed_planet_host,success,/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/multistar_bls_tcf/optimized/stars/kic_2557816_q5,422.10375920892693,
2571238,5,confirmed_planet_host,success,/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/multistar_bls_tcf/optimized/stars/kic_2571238_q5,422.2468023749534,
1724719,5,confirmed_planet_host,success,/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/multistar_bls_tcf/optimized/stars/kic_1724719_q5,422.94584033312276,
1718189,5,confirmed_planet_host,success,/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/multistar_bls_tcf/optimized/stars/kic_1718189_q5,427.66837562504224,
11086270,5,confirmed_planet_host,success,/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/multistar_bls_tcf/optimized/stars/kic_11086270_q5,428.92558883409947,
2581554,5,confirmed_planet_host,success,/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/multistar_bls_tcf/optimized/stars/kic_2581554_q5,359.0892411659006,
2581316,5,confirmed_planet_host,success,/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/multistar_bls_tcf/optimized/stars/kic_2581316_q5,360.3922324159648,
2574338,5,confirmed_planet_host,success,/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/multistar_bls_tcf/optimized/stars/kic_2574338_q5,361.8012068751268,
2692377,5,confirmed_planet_host,success,/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/multistar_bls_tcf/optimized/stars/kic_2692377_q5,361.9950702909846,
2837111,5,confirmed_planet_host,success,/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/multistar_bls_tcf/optimized/stars/kic_2837111_q5,987.206949666841,
