selection_group,injection_count,star_count,tcf_harmonic_rank1_rate,bls_harmonic_rank1_rate,tcf_exact_rank1_rate,bls_exact_rank1_rate,tcf_exact_top10_rate,bls_exact_top10_rate,tcf_detection_rate_fap,bls_detection_rate_fap,tcf_harmonic_recovery_rate_fap,bls_harmonic_recovery_rate_fap,harmonic_union_recovery_rate_fap,tcf_exact_recovery_rate_fap,bls_exact_recovery_rate_fap,exact_union_recovery_rate_fap,exact_tcf_only_rate,exact_bls_only_rate,exact_neither_rate,median_tcf_score,median_bls_sde,median_tcf_exact_rank_top10,median_bls_exact_rank_top10,arima_convergence_rate,median_total_runtime_seconds
confirmed_planet_host,882,49,0.49206349206349204,0.6292517006802721,0.30612244897959184,0.626984126984127,0.41496598639455784,0.6802721088435374,0.24603174603174602,0.6258503401360545,0.1621315192743764,0.5170068027210885,0.5963718820861678,0.11904761904761904,0.5170068027210885,0.5748299319727891,0.05782312925170068,0.4557823129251701,0.42517006802721086,8.979625869952292,8.551666250472966,1.0,1.0,1.0,14.100853770971298
reference,18,1,0.9444444444444444,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.3333333333333333,0.0,41.4321466442224,16.72626643135453,1.0,1.0,1.0,20.97960879141465
