target_id,quarter,trial,trial_seed,tcf_success,bls_success,tcf_max_score,tcf_best_period_days,tcf_valid_transit_events,tcf_positive_event_fraction,bls_max_sde,bls_max_power,bls_best_period_days,tcf_error,bls_error
11904151,5,0,9829780688627421836,True,True,10.496923246249896,14.649883294431476,5,0.6,2.7046087291817487,0.0016092352040119,5.360120040013338,,
11904151,5,1,9233538142300897305,True,True,7.945960732550024,8.735245081693899,11,0.8181818181818182,3.005783196132021,0.0015553823010999,11.564188062687563,,
11904151,5,2,14358433579168456527,True,True,7.395574077382197,8.427142380793597,10,0.8,3.789098870278096,0.0017056399097388,12.824608202734243,,
11904151,5,3,12395551448115005087,True,True,7.532971307659921,8.959319773257754,10,0.9,3.4357010293571792,0.0018164045542487,11.895631877292432,,
11904151,5,4,5910015593007294441,True,True,8.28407102634372,8.76325441813938,10,0.8,3.7297464011656936,0.001781457483528,12.371790596865624,,
11904151,5,5,13903418170414504759,True,True,7.32688269057336,13.795598532844284,7,0.7142857142857143,3.7160719280518166,0.0019238143131568,10.915305101700568,,
11904151,5,6,6913309975183884985,True,True,7.955655636041039,13.314771590530178,7,0.8571428571428571,2.3632332372463014,0.0014940311398381,5.122040680226743,,
11904151,5,7,694662641796935615,True,True,7.89305500809177,12.325108369456489,6,0.8333333333333334,2.8047107592190335,0.001754670035558,10.145048349449818,,
757450,5,0,4339882137834242827,True,True,6.946946760997218,11.167389129709903,9,1.0,5.348291912698771,0.0617297773541605,3.492830943647883,,
757450,5,1,3607376559191315093,True,True,13.64565607926001,13.902967655885297,4,0.75,3.0273032182383792,0.0401713544233754,2.4798266088696233,,
757450,5,2,15467997128139241777,True,True,13.684254139820483,13.5621873957986,5,0.6,3.0460621318604835,0.0477774705094701,13.968322774258088,,
757450,5,3,4445720435744009511,True,True,17.265028433988043,13.403467822607537,5,0.6,3.901246910521876,0.0514818384327824,8.371123707902635,,
757450,5,4,18002877092057539344,True,True,26.64602050709706,14.500500166722242,5,0.8,3.02630324201385,0.0460664237621329,7.437479159719907,,
757450,5,5,11475194872895885630,True,True,13.775022831388853,14.439813271090364,6,0.8333333333333334,2.8756776584014863,0.0408101834489098,5.294764921640547,,
757450,5,6,9294977996075130050,True,True,14.34972535694698,14.416472157385796,4,0.75,2.684854100032696,0.0425881374382092,12.99733244414805,,
757450,5,7,17905220580929073477,True,True,6.550480235718113,14.705901967322442,5,0.6,2.8561998547378837,0.044759952721828,12.479159719906637,,
1026957,5,0,1428768309332844422,True,True,6.244396950054015,13.940313437812604,7,0.8571428571428571,2.930630487217071,0.146701333373924,14.01033677892631,,
1026957,5,1,10689176114954377893,True,True,5.982053401713195,13.85628542847616,7,0.8571428571428571,2.9821119076001046,0.1387179839204644,13.090696898966325,,
