noise_quartile,injection_count,star_count,tcf_harmonic_rank1_rate,bls_harmonic_rank1_rate,tcf_exact_rank1_rate,bls_exact_rank1_rate,tcf_exact_top10_rate,bls_exact_top10_rate,tcf_detection_rate_fap,bls_detection_rate_fap,tcf_harmonic_recovery_rate_fap,bls_harmonic_recovery_rate_fap,harmonic_union_recovery_rate_fap,tcf_exact_recovery_rate_fap,bls_exact_recovery_rate_fap,exact_union_recovery_rate_fap,exact_tcf_only_rate,exact_bls_only_rate,exact_neither_rate,median_tcf_score,median_bls_sde,median_tcf_exact_rank_top10,median_bls_exact_rank_top10,arima_convergence_rate,median_total_runtime_seconds
high_scatter,216,12,0.24074074074074073,0.6990740740740741,0.11574074074074074,0.6898148148148148,0.21296296296296297,0.8101851851851852,0.08333333333333333,0.5694444444444444,0.046296296296296294,0.48148148148148145,0.5231481481481481,0.037037037037037035,0.48148148148148145,0.5185185185185185,0.037037037037037035,0.48148148148148145,0.48148148148148145,6.80856224257129,6.971715178973002,1.0,1.0,1.0,14.958807250019163
highest_scatter,234,13,0.47435897435897434,0.05982905982905983,0.2948717948717949,0.05982905982905983,0.4358974358974359,0.08547008547008547,0.3333333333333333,0.31196581196581197,0.17094017094017094,0.008547008547008548,0.1794871794871795,0.1111111111111111,0.008547008547008548,0.11965811965811966,0.1111111111111111,0.008547008547008548,0.8803418803418803,12.264540985660474,4.389912315036107,1.0,1.0,1.0,13.793114937958308
low_scatter,216,12,0.49074074074074076,0.9166666666666666,0.27314814814814814,0.9166666666666666,0.39351851851851855,0.9583333333333334,0.09722222222222222,0.8287037037037037,0.07407407407407407,0.8148148148148148,0.8379629629629629,0.06018518518518518,0.8148148148148148,0.8379629629629629,0.023148148148148147,0.7777777777777778,0.16203703703703703,7.560040930588081,12.644647892494874,1.0,1.0,1.0,13.591993645997718
lowest_scatter,234,13,0.7777777777777778,0.8974358974358975,0.5512820512820513,0.8974358974358975,0.6196581196581197,0.9230769230769231,0.5042735042735043,0.8333333333333334,0.4017094017094017,0.8205128205128205,0.8888888888888888,0.29914529914529914,0.8205128205128205,0.8717948717948718,0.05128205128205128,0.5726495726495726,0.1282051282051282,16.26178627379172,13.646341600483014,1.0,1.0,1.0,14.212621166370809
