model,injection_groups,candidate_rows,exact_recall_at_1,exact_recall_at_3,exact_recall_at_5,exact_recall_at_10,harmonic_recall_at_1,mean_reciprocal_rank,median_exact_rank,candidate_set_misses,cases_improved_over_bls,cases_worsened_relative_to_bls
bls_rank,900,7877,0.6344444444444445,0.6722222222222223,0.6866666666666666,0.6866666666666666,0.6555555555555556,0.6553705159260715,1.0,151,0,0
tcf_rank,900,7877,0.31333333333333335,0.38666666666666666,0.42,0.42,0.5866666666666667,0.35266707888930116,5.0,151,99,388
raw_min_rank,900,7877,0.6344444444444445,0.77,0.7977777777777778,0.8322222222222222,0.6555555555555556,0.7093522927689595,1.0,151,0,0
rule_based,900,7877,0.41888888888888887,0.6244444444444445,0.78,0.8322222222222222,0.6566666666666666,0.5464691358024691,1.0,151,11,205
logistic_regression,900,7877,0.7277777777777777,0.7677777777777778,0.7977777777777778,0.8322222222222222,0.7922222222222223,0.7561190476190476,1.0,151,91,7
xgboost_classifier,900,7877,0.7511111111111111,0.7933333333333333,0.8155555555555556,0.8322222222222222,0.7911111111111111,0.7767760141093474,1.0,151,108,3
xgboost_pairwise_ranker,900,7877,0.7555555555555555,0.7955555555555556,0.8044444444444444,0.8322222222222222,0.8155555555555556,0.7790824514991181,1.0,151,112,3
