target_id,quarter,selection_group,status,profile,runtime_seconds,light_curve_cache_hit,base_arima_from_cache,original_searches_from_cache,arima_injection_mode,injection_count_requested,injection_count_successful,injection_success_fraction,null_trials_requested,tcf_null_trials_successful,bls_null_trials_successful,base_arima_converged,base_arima_runtime_seconds,original_tcf_runtime_seconds,original_bls_runtime_seconds,original_tcf_period_days,original_tcf_score,original_tcf_raw_pooled_score,original_tcf_valid_transit_events,original_tcf_positive_event_fraction,original_bls_period_days,original_bls_sde,original_bls_power,tcf_harmonic_rank1_rate_before_fap,tcf_exact_rank1_rate_before_fap,tcf_exact_top10_rate,tcf_median_exact_rank_when_present,bls_harmonic_rank1_rate_before_fap,bls_exact_rank1_rate_before_fap,bls_exact_top10_rate,n_grid_observations,n_finite_observations,finite_fraction,gap_fraction,baseline_days,median_cadence_days,median_flux,robust_flux_scatter_ppm,flux_standard_deviation_ppm,lag_one_flux_acf,six_hour_scatter_proxy_ppm,tcf_global_fap_threshold,bls_global_fap_threshold,original_tcf_passes_global_fap,original_bls_passes_global_fap,original_tcf_global_empirical_p_value,original_bls_global_empirical_p_value,noise_quartile
11904151,5,reference,success,optimized,659.5364236249588,False,False,False,filter,18,18,1.0,8,8,8,False,0.7589951658155769,21.572466375073418,0.1505376249551773,2.5125041680560187,16.5159391865428,15.177473819543222,37,1.0,11.722907635878627,3.5729741375372908,0.0017914572851038797,0.9444444444444444,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,4634,4486,0.9680621493310315,0.03193785066896848,94.6510296438355,0.020434164922335185,-1.7674798660272106e-05,123.63222550869293,135.51889017952948,0.8052428510473029,56.98672894551581,16.085275694914447,5.684844459265036,True,False,0.007481296758104738,0.5211970074812967,lowest_scatter
757450,5,confirmed_planet_host,success,optimized,659.3276386251673,False,False,False,filter,18,18,1.0,8,8,8,True,0.1936560831964016,21.199971083085984,0.14667720813304186,8.884628209403136,68.00492181981033,60.92432178087042,11,1.0,8.884628209403136,8.60590415716419,0.08088149763242239,0.0,0.0,0.0,,0.0,0.0,0.0,4634,4485,0.9678463530427277,0.0321536469572723,94.65286035832833,0.02043456426690682,8.905215391696863e-05,3652.4689853836817,3677.4542942472426,0.9529528081407053,502.2373859396175,16.085275694914447,5.684844459265036,True,True,0.0024937655860349127,0.0024937655860349127,highest_scatter
1161345,5,confirmed_planet_host,success,optimized,656.882349959109,False,False,False,filter,18,18,1.0,8,8,8,True,0.686849958030507,21.016538875177503,0.1464894579257816,4.286428809603201,28.693454327144973,25.632205598411904,22,0.9090909090909091,7.806268756252084,10.420864529881225,0.10004950601990431,0.1111111111111111,0.1111111111111111,0.5,4.0,0.0,0.0,0.0,4634,4485,0.9678463530427277,0.0321536469572723,94.65282748322352,0.020434556463442277,-0.0001079662124723324,4174.237095946945,3853.8049461708633,0.9992048337683134,88.50649008806953,16.085275694914447,5.684844459265036,True,True,0.0024937655860349127,0.0024937655860349127,highest_scatter
2444412,5,confirmed_planet_host,success,optimized,408.3870630408637,False,False,False,filter,18,18,1.0,8,8,8,False,0.8974106658715755,26.84052799991332,0.22363487491384149,14.906635545181729,18.614952594840897,18.561126910339958,6,1.0,14.388462820940315,3.9247033110896004,0.0100320848894831,0.5555555555555556,0.4444444444444444,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,4634,4485,0.9678463530427277,0.0321536469572723,94.6527463911043,0.020434534759260714,-0.00015997036928405706,1105.0141019134894,1298.0923331492722,0.9909382285573693,93.66421297026582,16.085275694914447,5.684844459265036,True,False,0.004987531172069825,0.341645885286783,high_scatter
2571238,5,confirmed_planet_host,success,optimized,422.2468023749534,False,False,False,filter,18,18,1.0,8,8,8,True,0.2220830419100821,15.219357708003372,0.14424462500028312,9.286095365121708,24.016515136351373,24.0804230199735,10,1.0,9.286095365121708,7.418340831702174,0.004422876403367565,0.6111111111111112,0.4444444444444444,0.6666666666666666,1.0,0.8333333333333334,0.8333333333333334,1.0,4634,4485,0.9678463530427277,0.0321536469572723,94.65268944072886,0.020434525005839532,-1.2728298743880373e-06,136.43715443867333,173.23279936319327,0.7945712482910711,66.78109494030717,16.085275694914447,5.684844459265036,True,True,0.004987531172069825,0.0024937655860349127,lowest_scatter
