sample,exact_recall_at_1,improvement_over_bls,improvement_over_raw_min_rank,improvement_over_oracle_rank1_union,mean_reciprocal_rank
0,0.7155555555555555,0.1322222222222222,0.1322222222222222,0.0044444444444444444,0.7511309523809524
1,0.67,0.11444444444444445,0.11444444444444445,-0.012222222222222223,0.6963919753086419
2,0.7455555555555555,0.06222222222222222,0.06222222222222222,0.0011111111111111111,0.7721662257495592
3,0.8222222222222222,0.09222222222222222,0.09222222222222222,0.0,0.8480432098765432
4,0.7122222222222222,0.15,0.15,0.0044444444444444444,0.7429043209876542
5,0.7477777777777778,0.1,0.1,0.0033333333333333335,0.7787173721340388
6,0.7222222222222222,0.07333333333333333,0.07333333333333333,0.0022222222222222222,0.7454135802469136
7,0.7077777777777777,0.13444444444444445,0.13444444444444445,0.0022222222222222222,0.7387883597883598
8,0.6933333333333334,0.12111111111111111,0.12111111111111111,0.0077777777777777776,0.7230476190476192
9,0.79,0.08777777777777777,0.08777777777777777,0.011111111111111112,0.8078267195767196
10,0.7777777777777778,0.11555555555555555,0.11555555555555555,0.0,0.7948284832451499
11,0.77,0.07777777777777778,0.07777777777777778,-0.0022222222222222222,0.7904382716049382
12,0.6955555555555556,0.09666666666666666,0.09666666666666666,0.008888888888888889,0.7288932980599646
13,0.6944444444444444,0.12666666666666668,0.12666666666666668,0.008888888888888889,0.7133562610229276
14,0.68,0.08777777777777777,0.08777777777777777,-0.0077777777777777776,0.7147574955908289
15,0.7866666666666666,0.08444444444444445,0.08444444444444445,0.0044444444444444444,0.8127328042328041
16,0.77,0.09333333333333334,0.09333333333333334,0.005555555555555556,0.794320987654321
17,0.7488888888888889,0.1322222222222222,0.1322222222222222,0.005555555555555556,0.7730149911816578
18,0.7933333333333333,0.14444444444444443,0.14444444444444443,0.0044444444444444444,0.8132253086419754
19,0.7977777777777778,0.10222222222222223,0.10222222222222223,0.0033333333333333335,0.8219783950617284
20,0.7144444444444444,0.17555555555555555,0.17555555555555555,0.013333333333333334,0.7375352733686067
21,0.8188888888888889,0.10555555555555556,0.10555555555555556,0.0044444444444444444,0.839297619047619
22,0.7988888888888889,0.10222222222222223,0.10222222222222223,0.006666666666666667,0.8221666666666667
23,0.7933333333333333,0.08666666666666667,0.08666666666666667,0.0033333333333333335,0.8123730158730158
24,0.7433333333333333,0.12333333333333334,0.12333333333333334,0.011111111111111112,0.7677932098765432
25,0.7511111111111111,0.11777777777777777,0.11777777777777777,0.0033333333333333335,0.7771618165784833
26,0.7133333333333334,0.13333333333333333,0.13333333333333333,0.006666666666666667,0.7416141975308642
27,0.7855555555555556,0.11,0.11,0.011111111111111112,0.8091693121693121
28,0.6922222222222222,0.14555555555555555,0.14555555555555555,0.0022222222222222222,0.726108024691358
29,0.7677777777777778,0.16111111111111112,0.16111111111111112,0.02,0.7902160493827161
30,0.7133333333333334,0.14,0.14,0.01,0.7382561728395062
31,0.7266666666666667,0.15888888888888889,0.15888888888888889,0.016666666666666666,0.7575586419753085
32,0.7688888888888888,0.12,0.12,0.0077777777777777776,0.7987451499118167
33,0.7466666666666667,0.12111111111111111,0.12111111111111111,0.0077777777777777776,0.7625427689594356
34,0.6866666666666666,0.06555555555555556,0.06555555555555556,0.0011111111111111111,0.7166953262786596
35,0.7555555555555555,0.07777777777777778,0.07777777777777778,-0.0044444444444444444,0.7853880070546737
36,0.7455555555555555,0.1322222222222222,0.1322222222222222,0.0077777777777777776,0.7730260141093473
37,0.7777777777777778,0.12666666666666668,0.12666666666666668,0.012222222222222223,0.8023148148148147
38,0.74,0.13777777777777778,0.13777777777777778,0.01,0.7639303350970017
39,0.7711111111111111,0.09888888888888889,0.09888888888888889,0.013333333333333334,0.7947372134038801
40,0.7522222222222222,0.11333333333333333,0.11333333333333333,0.015555555555555555,0.7783086419753086
41,0.7455555555555555,0.09777777777777778,0.09777777777777778,0.0,0.7736155202821868
42,0.7822222222222223,0.057777777777777775,0.057777777777777775,0.0,0.8051203703703704
43,0.7544444444444445,0.14777777777777779,0.14777777777777779,0.0077777777777777776,0.7704241622574957
44,0.7144444444444444,0.1,0.1,0.005555555555555556,0.7353095238095239
45,0.7755555555555556,0.07555555555555556,0.07555555555555556,0.0011111111111111111,0.8006803350970018
46,0.8211111111111111,0.10888888888888888,0.10888888888888888,0.014444444444444444,0.841589065255732
47,0.6755555555555556,0.11444444444444445,0.11444444444444445,0.006666666666666667,0.7123575837742505
48,0.7166666666666667,0.09,0.09,0.0022222222222222222,0.7448311287477953
49,0.7766666666666666,0.1288888888888889,0.1288888888888889,0.006666666666666667,0.8019272486772486
50,0.7766666666666666,0.1388888888888889,0.1388888888888889,0.011111111111111112,0.8021882716049382
51,0.7088888888888889,0.10333333333333333,0.10333333333333333,-0.0033333333333333335,0.7333809523809525
52,0.7566666666666667,0.10333333333333333,0.10333333333333333,0.0077777777777777776,0.7752297178130511
53,0.7233333333333334,0.0811111111111111,0.0811111111111111,0.01,0.7543549382716049
54,0.7122222222222222,0.09777777777777778,0.09777777777777778,0.012222222222222223,0.7368099647266313
55,0.7822222222222223,0.1322222222222222,0.1322222222222222,0.0044444444444444444,0.8012667548500882
56,0.7233333333333334,0.15555555555555556,0.15555555555555556,0.012222222222222223,0.755973544973545
