statistic,injection_groups,candidate_rows,exact_recall_at_1,exact_recall_at_3,exact_recall_at_5,exact_recall_at_10,harmonic_recall_at_1,mean_reciprocal_rank,median_exact_rank,candidate_set_misses,cases_improved_over_bls,cases_worsened_relative_to_bls,repeat
mean,720.0,6285.0,0.13472222222222222,0.2998611111111112,0.4554166666666667,0.8472222222222221,0.4211111111111111,0.29202419532627866,5.1,110.0,16.7,399.7,4.5
std,0.0,0.0,0.02009493927241732,0.02361973335668457,0.02174891401038225,1.1702778228589004e-16,0.03499461059819165,0.017012046030463433,0.31622776601683794,0.0,5.457919831665622,13.695498043761193,3.0276503540974917
min,720.0,6285.0,0.08888888888888889,0.25277777777777777,0.4166666666666667,0.8472222222222222,0.3819444444444444,0.25391699735449735,5.0,110.0,9.0,387.0,0.0
max,720.0,6285.0,0.15555555555555556,0.32916666666666666,0.48333333333333334,0.8472222222222222,0.4666666666666667,0.3098820546737213,6.0,110.0,25.0,431.0,9.0
