target_id,injection_count,star_count,tcf_harmonic_rank1_rate,bls_harmonic_rank1_rate,tcf_exact_rank1_rate,bls_exact_rank1_rate,tcf_exact_top10_rate,bls_exact_top10_rate,tcf_detection_rate_fap,bls_detection_rate_fap,tcf_harmonic_recovery_rate_fap,bls_harmonic_recovery_rate_fap,harmonic_union_recovery_rate_fap,tcf_exact_recovery_rate_fap,bls_exact_recovery_rate_fap,exact_union_recovery_rate_fap,exact_tcf_only_rate,exact_bls_only_rate,exact_neither_rate,median_tcf_score,median_bls_sde,median_tcf_exact_rank_top10,median_bls_exact_rank_top10,arima_convergence_rate,median_total_runtime_seconds,quarter,selection_group,noise_quartile
1026957,18,1,0.6666666666666666,0.0,0.4444444444444444,0.0,0.6666666666666666,0.0,0.3888888888888889,0.0,0.3888888888888889,0.0,0.3888888888888889,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.0,0.7777777777777778,13.961619541321316,4.143883444065198,1.0,,1.0,20.982581000076607,5,confirmed_planet_host,highest_scatter
11086270,18,1,0.7777777777777778,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.7777777777777778,1.0,0.5555555555555556,1.0,1.0,0.5,1.0,1.0,0.0,0.5,0.0,22.915686685207078,22.550483150905386,1.0,1.0,1.0,14.535659895977005,5,confirmed_planet_host,lowest_scatter
1161345,18,1,0.1111111111111111,0.0,0.1111111111111111,0.0,0.5,0.0,1.0,1.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.8888888888888888,28.527435140415715,10.361449878255092,4.0,,1.0,20.87983145855833,5,confirmed_planet_host,highest_scatter
11904151,18,1,0.9444444444444444,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.3333333333333333,0.0,41.4321466442224,16.72626643135453,1.0,1.0,1.0,20.97960879141465,5,reference,lowest_scatter
1432789,18,1,0.3333333333333333,0.6111111111111112,0.1111111111111111,0.6111111111111112,0.1111111111111111,0.8888888888888888,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.8333333333333334,6.064723460034928,3.434938049116427,1.0,1.0,1.0,20.51211993803736,5,confirmed_planet_host,high_scatter
1717722,18,1,0.1111111111111111,0.8888888888888888,0.0,0.8888888888888888,0.0,0.8888888888888888,0.0,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444,0.5555555555555556,6.3970200991644735,4.505905833665466,,1.0,1.0,20.882435750449076,5,confirmed_planet_host,high_scatter
1718189,18,1,0.6111111111111112,1.0,0.4444444444444444,1.0,0.5,1.0,0.05555555555555555,1.0,0.05555555555555555,1.0,1.0,0.05555555555555555,1.0,1.0,0.0,0.9444444444444444,0.0,9.458263959183828,22.263670517421815,1.0,1.0,1.0,14.575451353914104,5,confirmed_planet_host,lowest_scatter
1718958,18,1,0.9444444444444444,0.0,0.5555555555555556,0.0,0.6666666666666666,0.0,0.5555555555555556,0.9444444444444444,0.5,0.0,0.5,0.2777777777777778,0.0,0.2777777777777778,0.2777777777777778,0.0,0.7222222222222222,17.265351108605785,5.96787887503096,1.0,,1.0,10.70173195807729,5,confirmed_planet_host,highest_scatter
1724719,18,1,0.6666666666666666,1.0,0.3888888888888889,1.0,0.4444444444444444,1.0,0.1111111111111111,0.8333333333333334,0.1111111111111111,0.8333333333333334,0.8333333333333334,0.05555555555555555,0.8333333333333334,0.8333333333333334,0.0,0.7777777777777778,0.16666666666666666,10.988011546561669,12.314141561725611,1.0,1.0,1.0,14.367232833523303,5,confirmed_planet_host,lowest_scatter
1725016,18,1,0.4444444444444444,0.8888888888888888,0.2222222222222222,0.8888888888888888,0.4444444444444444,1.0,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,0.0,0.8888888888888888,0.1111111111111111,6.25499175949467,12.66570563082039,1.5,1.0,1.0,8.471844354528002,5,confirmed_planet_host,low_scatter
1849702,18,1,0.6666666666666666,0.8888888888888888,0.3888888888888889,0.8888888888888888,0.5,0.8888888888888888,0.1111111111111111,0.6111111111111112,0.1111111111111111,0.6111111111111112,0.6111111111111112,0.05555555555555555,0.6111111111111112,0.6111111111111112,0.0,0.5555555555555556,0.3888888888888889,9.141967741268832,6.246392187053196,1.0,1.0,1.0,7.5363653539679945,5,confirmed_planet_host,low_scatter
1865042,18,1,0.8333333333333334,1.0,0.6111111111111112,1.0,0.6666666666666666,1.0,0.3888888888888889,1.0,0.2777777777777778,1.0,1.0,0.2222222222222222,1.0,1.0,0.0,0.7777777777777778,0.0,13.085871114930807,17.363187966407473,1.0,1.0,1.0,14.286351895541884,5,confirmed_planet_host,lowest_scatter
1871056,18,1,0.7777777777777778,1.0,0.6111111111111112,1.0,0.6666666666666666,1.0,0.5555555555555556,1.0,0.4444444444444444,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.6666666666666666,0.0,18.77674730348307,15.150065267830175,1.0,1.0,1.0,5.635645458474755,5,confirmed_planet_host,lowest_scatter
1872821,18,1,0.7222222222222222,0.8333333333333334,0.5,0.8333333333333334,0.5,0.8333333333333334,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,7.034614080574267,4.0672449430433115,1.0,1.0,1.0,7.016034833388403,5,confirmed_planet_host,high_scatter
1995519,18,1,0.16666666666666666,1.0,0.05555555555555555,0.9444444444444444,0.05555555555555555,0.9444444444444444,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,0.0,0.7777777777777778,0.2222222222222222,6.0731820021658764,11.36984832912388,1.0,1.0,1.0,7.806081312592141,5,confirmed_planet_host,high_scatter
