target_id,quarter,selection_group,injected_period_days,injected_epoch_days,epoch_phase_fraction,injected_duration_hours,injected_depth,in_transit_observation_count,arima_injection_mode,success,error,arima_converged,arima_runtime_seconds,tcf_runtime_seconds,bls_runtime_seconds,total_runtime_seconds,tcf_recovered_period_days,tcf_recovered_epoch_days,tcf_recovered_duration_hours,tcf_score,tcf_raw_pooled_score,tcf_valid_transit_events,tcf_positive_transit_events,tcf_positive_event_fraction,tcf_median_event_score,tcf_period_error_fraction,tcf_exact_period_error_fraction,tcf_period_matched,tcf_exact_period_matched,tcf_exact_period_rank_top10,tcf_exact_period_present_top10,tcf_half_period_rank_top10,tcf_double_period_rank_top10,tcf_triple_period_rank_top10,tcf_top_periods_json,tcf_top_scores_json,bls_recovered_period_days,bls_recovered_transit_time,bls_recovered_duration_hours,bls_recovered_depth,bls_power,bls_sde,bls_period_error_fraction,bls_exact_period_error_fraction,bls_period_matched,bls_exact_period_matched,bls_exact_period_rank_top10,bls_exact_period_present_top10,bls_half_period_rank_top10,bls_double_period_rank_top10,bls_triple_period_rank_top10,bls_top_periods_json,bls_top_sde_json,tcf_fap_threshold,bls_fap_threshold,tcf_global_empirical_p_value,bls_global_empirical_p_value,tcf_passes_fap,bls_passes_fap,tcf_harmonic_recovered,bls_harmonic_recovered,tcf_exact_recovered,bls_exact_recovered,harmonic_both,harmonic_tcf_only,harmonic_bls_only,harmonic_neither,harmonic_union,exact_both,exact_tcf_only,exact_bls_only,exact_neither,exact_union,noise_quartile,robust_flux_scatter_ppm,gap_fraction,lag_one_flux_acf,six_hour_scatter_proxy_ppm
1026957,5,confirmed_planet_host,5.0,445.7604266842609,0.45,2.0,0.001,71,filter,True,,True,0.0315743749961257,20.585451166843995,0.1613626249600201,20.77907537505962,5.000666888962988,445.7766920781688,1.5,17.85353153486358,16.782717241201865,18,18,1.0,4.20811773880997,0.0001333777925976,0.0001333777925976,True,True,1.0,True,,2.0,3.0,"[5.000666888962988, 9.99566522174058, 15.0, 14.509836612204069, 7.498166055351785]","[17.85353153486358, 14.451939704860717, 12.761662358163111, 12.30058287216604, 11.990902780861218]",10.84061353784595,446.7166766842609,9.9,0.0062550554168421,0.0830890073928227,4.196893886735595,0.084061353784595,1.16812270756919,False,False,,False,,,,"[10.84061353784595, 10.677225741913972, 10.961987329109704, 10.513837945981996, 11.106702234078027]","[4.196893886735595, 4.155775119197618, 3.959004373128318, 3.7629493201109097, 3.6289884108079438]",16.085275694914447,5.684844459265036,0.004987531172069825,0.23940149625935161,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,highest_scatter,12515.572525533245,0.0321536469572723,0.9998605651518044,113.73504882416344
1026957,5,confirmed_planet_host,5.0,445.7604266842609,0.45,4.0,0.001,143,filter,True,,True,0.0255475409794598,19.83802254195325,0.1712784580886364,20.035613208077848,5.000666888962988,445.7660546604808,3.928571428571429,31.846996544421938,27.657271457924654,16,16,1.0,7.9617491361054835,0.0001333777925976,0.0001333777925976,True,True,1.0,True,,2.0,4.0,"[5.000666888962988, 10.000333444481495, 12.49783261087029, 15.0, 14.509836612204069]","[31.846996544421934, 23.9746267369992, 20.98598305653697, 19.797066700012437, 12.30648498759375]",10.84061353784595,446.7166766842609,9.9,0.006249649697242,0.0830172005348681,4.203450866976262,0.084061353784595,1.16812270756919,False,False,,False,,,,"[10.84061353784595, 10.677225741913972, 10.961987329109704, 10.513837945981996, 11.106702234078027]","[4.203450866976262, 4.172612574383906, 3.9753415885703407, 3.772887953429733, 3.643889495023366]",16.085275694914447,5.684844459265036,0.0024937655860349127,0.23690773067331672,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,highest_scatter,12515.572525533245,0.0321536469572723,0.9998605651518044,113.73504882416344
1026957,5,confirmed_planet_host,5.0,445.7604266842609,0.45,8.0,0.001,286,filter,True,,True,0.0296175410039722,20.97502079186961,0.1795841671992093,21.18608662509359,5.000666888962988,445.7447798251048,8.785714285714285,17.983754333130985,15.110321523676822,18,16,0.8888888888888888,4.238811546716626,0.0001333777925976,0.0001333777925976,True,True,1.0,True,,2.0,3.0,"[5.000666888962988, 10.005001667222409, 15.0, 14.509836612204069, 12.493164388129378]","[17.983754333130985, 14.523981019319603, 12.73511686649738, 12.27499647041424, 11.625233945725142]",10.84061353784595,446.7166766842609,9.9,0.0062390707621106,0.0828766752859675,4.1581631152953245,0.084061353784595,1.16812270756919,False,False,,False,,,,"[10.84061353784595, 10.677225741913972, 10.961987329109704, 10.513837945981996, 11.106702234078027]","[4.1581631152953245, 4.148258574193164, 3.952364767872131, 3.749936252338825, 3.6220389431833104]",16.085275694914447,5.684844459265036,0.004987531172069825,0.26184538653366585,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,highest_scatter,12515.572525533245,0.0321536469572723,0.9998605651518044,113.73504882416344
1026957,5,confirmed_planet_host,10.0,448.0104266842609,0.45,4.0,0.001,81,filter,True,,True,0.0261071249842643,37.925203665858135,0.1722659170627594,38.12463750015013,10.000333444481496,448.0198061780874,3.928571428571429,25.302433553130463,21.806349873705695,9,9,1.0,8.434144517710155,3.33444481494638e-05,3.33444481494638e-05,True,True,1.0,True,,,,"[10.000333444481495, 14.995331777259088, 14.509836612204069, 13.333444481493832, 10.87795931977326]","[25.302433553130466, 16.351576362785465, 12.336745222041483, 11.081309076172623, 7.8466024676790616]",10.677225741913972,447.3916766842609,9.9,0.0062306067012682,0.0827642429625043,4.111916338396682,0.0677225741913972,0.0677225741913972,False,False,,False,,,,"[10.677225741913972, 10.84061353784595, 11.004001333777927, 10.555851950650217, 11.125375125041682]","[4.111916338396682, 4.1114225874758015, 3.8979205658446547, 3.7155501883780286, 3.4554710924307463]",16.085275694914447,5.684844459265036,0.004987531172069825,0.2743142144638404,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,highest_scatter,12515.572525533245,0.0321536469572723,0.9998605651518044,113.73504882416344
1161345,5,confirmed_planet_host,5.0,445.76044465995074,0.45,4.0,0.001,143,filter,True,,True,0.0222493750043213,24.99324099998921,0.3494382500648498,25.36617866693996,5.000666888962988,445.7660726360542,3.928571428571429,39.37899068855259,36.46139340506893,16,16,1.0,9.844747672138148,0.0001333777925976,0.0001333777925976,True,True,1.0,True,,3.0,4.0,"[5.000666888962988, 4.286428809603201, 10.000333444481495, 15.0, 8.571857285761922]","[39.37899068855259, 27.976668068928802, 27.84515135215745, 26.738445283746053, 25.747072564916117]",7.806268756252084,450.41669465995074,9.9,0.0065411014775689,0.1001208978321435,10.44219723425743,0.2193731243747915,0.5612537512504169,False,False,,False,,,,"[7.806268756252084, 7.908969656552185, 7.7035678559519845, 8.03034344781594, 8.133044348116039]","[10.44219723425743, 9.868372179330873, 8.939642679880587, 8.579731377587022, 6.38742046371246]",16.085275694914447,5.684844459265036,0.0024937655860349127,0.0024937655860349127,True,True,True,False,True,False,False,True,False,False,True,False,True,False,False,True,highest_scatter,4174.237095946945,0.0321536469572723,0.9992048337683134,88.50649008806953
1161345,5,confirmed_planet_host,10.0,448.01044465995074,0.45,4.0,0.001,81,filter,True,,True,0.0262606248725205,38.80357325007208,0.1616941250395029,38.99392858403735,10.000333444481496,448.0198241536608,3.928571428571429,32.13611067566885,29.82641569645187,9,9,1.0,10.712036891889618,3.33444481494638e-05,3.33444481494638e-05,True,True,1.0,True,,,,"[10.000333444481495, 4.286428809603201, 8.571857285761922, 14.995331777259088, 12.857285761920641]","[32.13611067566885, 28.510609072540994, 25.78818370585042, 22.632110569364965, 20.757920373801372]",7.806268756252084,450.41669465995074,9.9,0.0065343931020445,0.1000182165661826,10.48954238614803,0.2193731243747915,0.2193731243747915,False,False,,False,,,,"[7.806268756252084, 7.908969656552185, 7.7035678559519845, 8.03034344781594, 8.133044348116039]","[10.48954238614803, 9.88334073978011, 8.999503081652138, 8.554524536349227, 6.421909575097633]",16.085275694914447,5.684844459265036,0.0024937655860349127,0.0024937655860349127,True,True,True,False,True,False,False,True,False,False,True,False,True,False,False,True,highest_scatter,4174.237095946945,0.0321536469572723,0.9992048337683134,88.50649008806953
1718958,5,confirmed_planet_host,5.0,445.7604672309026,0.45,2.0,0.001,71,filter,True,,True,0.0189643339253962,15.257358707953244,0.1155629169661551,15.39246379188262,5.000666888962988,445.7767326136346,1.5,28.650446161777527,25.44520443982672,18,17,0.9444444444444444,6.752974921670995,0.0001333777925976,0.0001333777925976,True,True,1.0,True,,2.0,3.0,"[5.000666888962988, 10.000333444481495, 15.0, 12.493164388129378, 7.498166055351785]","[28.650446161777527, 19.504117014157842, 16.541342803905135, 12.515454901332488, 12.266731380884547]",9.37945981993998,449.6417172309026,9.9,0.0026295309314026,0.0369489943831207,6.011596542798675,0.0620540180060018,0.8758919639879963,False,False,,False,,,,"[9.379459819939981, 9.27675891963988, 9.482160720240081, 9.17405801933978, 9.584861620540181]","[6.011596542798675, 5.887753230373468, 5.726531613260254, 5.4930989178773615, 5.183354727550787]",16.085275694914447,5.684844459265036,0.0024937655860349127,0.004987531172069825,True,True,True,False,True,False,False,True,False,False,True,False,True,False,False,True,highest_scatter,1424.2388676234768,0.0321536469572723,0.9947431200159739,111.53175896129349
1718958,5,confirmed_planet_host,5.0,445.7604672309026,0.45,4.0,0.001,143,filter,True,,True,0.0201118749100714,10.618785707978532,0.055460707983002,10.69458045810461,5.000666888962988,445.7660951959466,3.928571428571429,32.905044849530306,31.856910295171726,16,15,0.9375,8.226261212382576,0.0001333777925976,0.0001333777925976,True,True,1.0,True,,2.0,3.0,"[5.000666888962988, 10.000333444481495, 15.0, 12.49783261087029, 7.498166055351785]","[32.905044849530306, 26.103470765693146, 22.798754683258966, 20.346195914724426, 17.45166246667566]",9.37945981993998,449.6417172309026,9.9,0.0026278946527677,0.0369260021264535,5.964807357860252,0.0620540180060018,0.8758919639879963,False,False,,False,,,,"[9.379459819939981, 9.27675891963988, 9.482160720240081, 9.17405801933978, 9.584861620540181]","[5.964807357860252, 5.856781113650979, 5.694976876661887, 5.410300379075808, 5.16673556163907]",16.085275694914447,5.684844459265036,0.0024937655860349127,0.007481296758104738,True,True,True,False,True,False,False,True,False,False,True,False,True,False,False,True,highest_scatter,1424.2388676234768,0.0321536469572723,0.9947431200159739,111.53175896129349
1718958,5,confirmed_planet_host,5.0,445.7604672309026,0.45,8.0,0.001,286,filter,True,,True,0.0069441250525414,5.267040750011802,0.060460542095825,5.334683167049661,5.000666888962988,445.7807553973063,7.571428571428571,26.947006026804846,25.105009373991916,18,17,0.9444444444444444,6.3514702314094915,0.0001333777925976,0.0001333777925976,True,True,1.0,True,,2.0,3.0,"[5.000666888962988, 10.000333444481495, 15.0, 7.498166055351785, 12.49783261087029]","[26.947006026804846, 20.00680144760208, 18.521319904069603, 17.146554224073334, 10.608708634397562]",9.318772924308105,449.9042172309026,9.9,0.002660638153673,0.0369533923240047,5.91980452937608,0.0681227075691897,0.8637545848616206,False,False,,False,,,,"[9.318772924308103, 9.440146715571858, 9.216072024008003, 9.542847615871958, 9.113371123707903]","[5.91980452937608, 5.754330044873287, 5.555203449986408, 5.334686240971435, 5.1574936147875245]",16.085275694914447,5.684844459265036,0.0024937655860349127,0.007481296758104738,True,True,True,False,True,False,False,True,False,False,True,False,True,False,False,True,highest_scatter,1424.2388676234768,0.0321536469572723,0.9947431200159739,111.53175896129349
1718958,5,confirmed_planet_host,10.0,448.0104672309026,0.45,4.0,0.001,81,filter,True,,True,0.0077676251530647,5.5293046669103205,0.0642512498889118,5.601580541813746,10.000333444481496,448.0198467135532,3.928571428571429,26.023884366881507,24.82270458433292,9,9,1.0,8.674628122293836,3.33444481494638e-05,3.33444481494638e-05,True,True,1.0,True,3.0,,,"[10.000333444481495, 14.995331777259088, 5.000666888962988, 13.0486828942981, 13.986995665221741]","[26.023884366881507, 18.49677972813415, 10.870541683007618, 6.336341883568255, 6.272761917002161]",9.37945981993998,449.74171723090257,9.9,0.0026343400823054,0.037016570423993,5.969390742656459,0.0620540180060018,0.0620540180060018,False,False,,False,,,,"[9.379459819939981, 9.27675891963988, 9.482160720240081, 9.17405801933978, 9.584861620540181]","[5.969390742656459, 5.86853062748029, 5.678815870786237, 5.516455799336038, 5.192194652133895]",16.085275694914447,5.684844459265036,0.004987531172069825,0.007481296758104738,True,True,True,False,True,False,False,True,False,False,True,False,True,False,False,True,highest_scatter,1424.2388676234768,0.0321536469572723,0.9947431200159739,111.53175896129349
