run_id,config_hash,star_id,injection_id,treatment,depth_before,depth_after,depth_retention_fraction,snr_before,snr_after,snr_retention_fraction,in_transit_observation_count,template_hash,success,error,diagnostics
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_1431344_q5,batman_00002,raw,0.0008623031576474,0.0008623031576474,1.0,29.012990652220207,29.012990652220207,1.0,161,414ade7483b103a6,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_1431791_q5,batman_00000,arima,0.0001382576960948,3.541236883082975e-05,0.2561330749106533,2.2993545055324756,0.4894583916574134,0.2128677376540798,161,22fccd57cde5f502,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_1431791_q5,batman_00000,gp,0.0001382576960948,8.17951429817602e-05,0.591613669923021,2.2993545055324756,1.349602061610636,0.5869482319335098,161,22fccd57cde5f502,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_1431791_q5,batman_00000,kalman,0.0001382576960948,6.739091280922625e-05,0.4874297396291523,2.2993545055324756,1.131586163495177,0.4921321008885181,161,22fccd57cde5f502,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_1431791_q5,batman_00000,raw,0.0001382576960948,0.0001382576960948,1.0,2.2993545055324756,2.2993545055324756,1.0,161,22fccd57cde5f502,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_1431791_q5,batman_00001,arima,0.0004306814638921,5.60401661116349e-06,0.0130119753948043,7.16263464835003,0.0773766042836507,0.0108028132220139,161,3aceaf4e8895ac91,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_1431791_q5,batman_00001,gp,0.0004306814638921,0.000317056050564,0.736172965742999,7.16263464835003,5.231220304317911,0.7303486162766887,161,3aceaf4e8895ac91,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_1431791_q5,batman_00001,kalman,0.0004306814638921,0.0002704489591958,0.6279558835704424,7.16263464835003,4.551064792115265,0.6353897714388712,161,3aceaf4e8895ac91,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_1431791_q5,batman_00001,raw,0.0004306814638921,0.0004306814638921,1.0,7.16263464835003,7.16263464835003,1.0,161,3aceaf4e8895ac91,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_1431791_q5,batman_00002,arima,0.0007868880518663,-1.7895015320700252e-05,-0.0227415008758308,13.086682611633584,-0.2472414638643466,-0.0188926003022766,161,83395741875cd9a5,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_1431791_q5,batman_00002,gp,0.0007868880518663,0.0007051633569753,0.8961419039249565,13.086682611633584,11.618858389306077,0.8878383264966888,161,83395741875cd9a5,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_1431791_q5,batman_00002,kalman,0.0007868880518663,0.0006779531419439,0.8615623789634361,13.086682611633584,11.437736294963376,0.8739981425694275,161,83395741875cd9a5,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_1431791_q5,batman_00002,raw,0.0007868880518663,0.0007868880518663,1.0,13.086682611633584,13.086682611633584,1.0,161,83395741875cd9a5,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2834231_q5,batman_00000,arima,0.0002061363885689,-2.97260875245691e-05,-0.1442059198326453,5.904450270889157,-0.7096558419362184,-0.1201899938822502,162,6063f042778ee471,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2834231_q5,batman_00000,gp,0.0002061363885689,0.0002019363763316,0.979625080916119,5.904450270889157,5.621551580905198,0.9520872093074032,162,6063f042778ee471,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2834231_q5,batman_00000,kalman,0.0002061363885689,0.0002106600261626,1.0219448765210304,5.904450270889157,6.128127612398444,1.0378828394257276,162,6063f042778ee471,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2834231_q5,batman_00000,raw,0.0002061363885689,0.0002061363885689,1.0,5.904450270889157,5.904450270889157,1.0,162,6063f042778ee471,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2834231_q5,batman_00001,arima,0.0004391362364898,1.1506573284259983e-05,0.0262027414914207,12.578361775423955,0.2745940638019717,0.0218306698999931,162,c9ead3add86e766d,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2834231_q5,batman_00001,gp,0.0004391362364898,0.000379405739476,0.8639818533509173,12.578361775423955,10.53640083386629,0.8376608195872279,162,c9ead3add86e766d,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2834231_q5,batman_00001,kalman,0.0004391362364898,0.0004446186774381,1.0124846015717115,12.578361775423955,12.964389916750289,1.0306898583629998,162,c9ead3add86e766d,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2834231_q5,batman_00001,raw,0.0004391362364898,0.0004391362364898,1.0,12.578361775423955,12.578361775423955,1.0,162,c9ead3add86e766d,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2834231_q5,batman_00002,arima,0.0008798413431995,9.519476919460868e-05,0.1081953808267701,25.201661352748015,2.2699786198107095,0.0900725784716248,162,e62da999234fe454,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2834231_q5,batman_00002,gp,0.0008798413431995,0.0007565177141581,0.8598342417134669,25.201661352748015,20.872332583622775,0.8282125646985108,162,e62da999234fe454,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2834231_q5,batman_00002,kalman,0.0008798413431995,0.0008714524722378,0.9904654730918288,25.201661352748015,25.422832445773505,1.0087760520994928,162,e62da999234fe454,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2834231_q5,batman_00002,raw,0.0008798413431995,0.0008798413431995,1.0,25.201661352748015,25.201661352748015,1.0,162,e62da999234fe454,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3115178_q5,batman_00000,arima,0.000169388639834,9.332607154518242e-06,0.0550958267547546,16.07714534469102,0.8604597786867361,0.053520681703041,161,e5f6586e6b09e95a,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3115178_q5,batman_00000,gp,0.000169388639834,0.0001425139747777,0.8413431675074322,16.07714534469102,13.561883091807282,0.8435504438781276,161,e5f6586e6b09e95a,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3115178_q5,batman_00000,kalman,0.000169388639834,0.0001228256597222,0.7251115531869788,16.07714534469102,11.797126685180585,0.7337824241961103,161,e5f6586e6b09e95a,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3115178_q5,batman_00000,raw,0.000169388639834,0.000169388639834,1.0,16.07714534469102,16.07714534469102,1.0,161,e5f6586e6b09e95a,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3115178_q5,batman_00001,arima,0.0004226148643614,2.6435078372463847e-05,0.0625512271377601,40.11154824681995,2.435635722418703,0.0607215584756641,161,5653c3ea39b48445,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3115178_q5,batman_00001,gp,0.0004226148643614,0.0003656720300192,0.865260692076784,40.11154824681995,34.63198816905651,0.8633919577462867,161,5653c3ea39b48445,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3115178_q5,batman_00001,kalman,0.0004226148643614,0.000268306062766,0.6348713341435136,40.11154824681995,25.19823247564591,0.6282039356993314,161,5653c3ea39b48445,1,,
