run_id,config_hash,star_id,stage,injection_id,treatment,detector,null_trial,status,runtime_seconds,updated_at,error
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00001,gp,tcf,,complete,14.750363749917597,2026-08-20T16:11:01+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00001,gp,tps_like,,complete,1.8299228749237957,2026-08-20T16:11:02+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,injection,batman_00002,,,,complete,,2026-08-20T16:11:02+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,preservation,batman_00002,arima,,,complete,,2026-08-20T16:11:03+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,preservation,batman_00002,gp,,,complete,,2026-08-20T16:11:03+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,preservation,batman_00002,kalman,,,complete,,2026-08-20T16:11:03+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,preservation,batman_00002,raw,,,complete,,2026-08-20T16:11:03+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00002,raw,bls,,complete,0.1699469578452408,2026-08-20T16:11:03+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00002,raw,tcf,,complete,14.730756209231911,2026-08-20T16:11:17+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00002,raw,tps_like,,complete,1.8307302906177936,2026-08-20T16:11:19+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00002,arima,bls,,complete,0.2077434170059859,2026-08-20T16:11:19+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00002,arima,tcf,,complete,14.60849095787853,2026-08-20T16:11:34+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00002,arima,tps_like,,complete,1.836862833239138,2026-08-20T16:11:36+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00002,kalman,bls,,complete,0.1812260001897812,2026-08-20T16:11:36+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00002,kalman,tcf,,complete,14.597218832932413,2026-08-20T16:11:51+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00002,kalman,tps_like,,complete,1.936595750041306,2026-08-20T16:11:53+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00002,gp,bls,,complete,0.1718748328275978,2026-08-20T16:11:53+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00002,gp,tcf,,complete,14.888382208067924,2026-08-20T16:12:08+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00002,gp,tps_like,,complete,1.8496262920089064,2026-08-20T16:12:10+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,data_fetch,,,,,complete_cached,,2026-08-20T16:12:10+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,characterization,,,,,complete,,2026-08-20T16:12:10+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,treatment,,arima,,,complete,0.012199040967971,2026-08-20T16:12:11+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,treatment,,gp,,,complete,0.0018098331056535,2026-08-20T16:12:11+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,treatment,,kalman,,,complete,0.0089960838668048,2026-08-20T16:12:11+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,treatment,,raw,,,complete,,2026-08-20T16:12:11+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,injection,batman_00000,,,,complete,,2026-08-20T16:12:11+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,preservation,batman_00000,arima,,,complete,,2026-08-20T16:12:11+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,preservation,batman_00000,gp,,,complete,,2026-08-20T16:12:11+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,preservation,batman_00000,kalman,,,complete,,2026-08-20T16:12:11+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,preservation,batman_00000,raw,,,complete,,2026-08-20T16:12:11+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00000,raw,bls,,complete,0.1684051668271422,2026-08-20T16:12:11+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00000,raw,tcf,,complete,14.191262790933251,2026-08-20T16:12:25+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00000,raw,tps_like,,complete,1.8080696668475864,2026-08-20T16:12:27+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00000,arima,bls,,complete,0.2110709580592811,2026-08-20T16:12:27+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00000,arima,tcf,,complete,14.789451875258235,2026-08-20T16:12:42+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00000,arima,tps_like,,complete,1.9128657090477643,2026-08-20T16:12:44+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00000,kalman,bls,,complete,0.1897345841862261,2026-08-20T16:12:44+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00000,kalman,tcf,,complete,14.986652207560835,2026-08-20T16:12:59+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00000,kalman,tps_like,,complete,1.84257287485525,2026-08-20T16:13:01+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00000,gp,bls,,complete,0.1724275001324713,2026-08-20T16:13:01+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00000,gp,tcf,,complete,14.507550125010312,2026-08-20T16:13:16+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00000,gp,tps_like,,complete,1.8533939998596909,2026-08-20T16:13:18+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,injection,batman_00001,,,,complete,,2026-08-20T16:13:18+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,preservation,batman_00001,arima,,,complete,,2026-08-20T16:13:18+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,preservation,batman_00001,gp,,,complete,,2026-08-20T16:13:18+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,preservation,batman_00001,kalman,,,complete,,2026-08-20T16:13:18+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,preservation,batman_00001,raw,,,complete,,2026-08-20T16:13:18+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00001,raw,bls,,complete,0.1683146669529378,2026-08-20T16:13:18+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00001,raw,tcf,,complete,14.35165175003931,2026-08-20T16:13:32+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00001,raw,tps_like,,complete,1.8255640831775963,2026-08-20T16:13:34+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00001,arima,bls,,complete,0.2054936252534389,2026-08-20T16:13:34+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00001,arima,tcf,,complete,15.406471041962504,2026-08-20T16:13:50+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00001,arima,tps_like,,complete,1.9753104159608483,2026-08-20T16:13:52+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00001,kalman,bls,,complete,0.1918834997341036,2026-08-20T16:13:52+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00001,kalman,tcf,,complete,15.147998958826063,2026-08-20T16:14:07+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00001,kalman,tps_like,,complete,1.8656877088360488,2026-08-20T16:14:09+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00001,gp,bls,,complete,0.1738746250048279,2026-08-20T16:14:09+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00001,gp,tcf,,complete,15.266015875153244,2026-08-20T16:14:24+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,detection,batman_00001,gp,tps_like,,complete,1.8349694591015575,2026-08-20T16:14:26+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,injection,batman_00002,,,,complete,,2026-08-20T16:14:26+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,preservation,batman_00002,arima,,,complete,,2026-08-20T16:14:26+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,preservation,batman_00002,gp,,,complete,,2026-08-20T16:14:26+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,preservation,batman_00002,kalman,,,complete,,2026-08-20T16:14:26+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,preservation,batman_00002,raw,,,complete,,2026-08-20T16:14:26+00:00,
