run_id,config_hash,star_id,target_id,quarter,characterization_version,success,flux_robust_scale,flux_skewness,flux_outlier_fraction,v2_acf_lag_1,v2_acf_decay_e_days,original_series_stationarity_conclusion,v2_spectral_concentration,v2_spectral_harmonic_power_ratio,v2_ls_dominant_period_days,v2_ls_acf_period_relative_error,v2_segment_scale_relative_mad,error,diagnostics
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_12645975_q5,12645975,5,stellar_variability_v2_100star_freeze,1,0.0006762508402428,1.073609233701002,0.0013377926421404,-0.0106844100295485,0.0204341566386574,stationary_supported,0.0009026363797559,0.3418387943230109,13.145972539270913,,0.0183024051083436,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_1431344_q5,1431344,5,stellar_variability_v2_100star_freeze,1,0.0003760030131707,0.1652117764520172,0.0004459308807134,0.3358405408517075,0.020434552046936,stationary_supported,0.0211529376216126,0.0689248783305175,16.319454217923923,0.0546199284966427,0.0716122635750357,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_1431791_q5,1431791,5,stellar_variability_v2_100star_freeze,1,0.0007671257195479,0.5781774285723587,0.0011148272017837,0.0757246009719911,0.020434551344806,stationary_supported,0.0054857187888437,0.7634978568149592,8.929512864683566,1.0367013265422858,0.0602415780142592,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2834231_q5,2834231,5,stellar_variability_v2_100star_freeze,1,0.0004419733936566,19.55160174506426,0.0015607580824972,-0.009477444955694,0.0204344967132783,stationary_supported,0.0006579981487369,0.0501757778185774,16.319406913225652,0.2499565948481915,0.0059786487442403,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3115178_q5,3115178,5,stellar_variability_v2_100star_freeze,1,0.0001341479398161,0.063146756011155,0.0002229654403567,0.4264957926441078,0.0408690361655317,stationary_supported,0.0024210705197098,0.1298455556509874,12.790903225971904,0.0366579915257282,0.032174158144894,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3230022_q5,3230022,5,stellar_variability_v2_100star_freeze,1,0.0002992231561021,0.3970194454995237,0.0004459308807134,0.0069638660140908,0.0204345076890604,stationary_supported,0.0017516860736412,0.0121973396807357,14.341307963289866,0.0878886821574547,0.0072587515296583,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_4544745_q5,4544745,5,stellar_variability_v2_100star_freeze,1,0.0004071601741414,1.8019318240839053,0.0008918617614269,0.0326342308053192,0.0204344500380102,stationary_supported,0.0022036154936929,0.5361061683168605,15.2665082811504,0.0012092055983793,0.0047938958992283,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_4818593_q5,4818593,5,stellar_variability_v2_100star_freeze,1,0.0003843905781233,-0.102836071330315,0.0002229654403567,0.7489170709044973,0.0613033206791442,stationary_supported,0.003807747577696,0.1116480361884019,0.1334635180649711,141.08497426877753,0.0386751490633289,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_5171052_q5,5171052,5,stellar_variability_v2_100star_freeze,1,0.0005933488975324,1.870207144619568,0.0011148272017837,0.0418248383424848,0.0204344305966515,stationary_supported,0.000791376288866,0.1774181051136467,0.1212247469957825,79.06908468736302,0.0072775143607311,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7583204_q5,7583204,5,stellar_variability_v2_100star_freeze,1,0.0001544202494496,5.947399886753897,0.0017837235228539,0.1084607756557032,0.0204343224431795,stationary_supported,0.005164659857658,0.4742811129349832,43.023497996119296,0.3156315921293275,0.0663320372833628,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10677499_q5,10677499,5,stellar_variability_v2_100star_freeze,1,0.0056453898579573,-0.2268942137592367,0.0,0.9960304134635848,1.4099665077519603,stationary_supported,0.1340579368531012,0.0242857294377913,8.764042532707878,0.018393726992757,0.2472981555733679,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2996004_q5,2996004,5,stellar_variability_v2_100star_freeze,1,0.0051807978669906,-0.2632646429994619,0.0,0.9984275772826018,1.1034646758344024,stationary_supported,0.0594986797395984,0.5887475916344459,7.170662668234353,0.017357518635545,0.3236564550442211,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3657874_q5,3657874,5,stellar_variability_v2_100star_freeze,1,0.0058829147908408,0.672567027762826,0.0,0.9993358818621432,2.7995298973910394,stationary_supported,0.0940209817959209,0.0059180239247981,14.790366477496374,0.0196285078006482,0.0498518072289273,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7031686_q5,7031686,5,stellar_variability_v2_100star_freeze,1,0.0098052086575541,0.1991208811916721,0.0,0.9953174708779186,3.943839460029267,nonstationary_supported,0.155658859684548,0.0644254018483455,20.57756045454377,0.0089431354286625,0.1701700130600181,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7771970_q5,7771970,5,stellar_variability_v2_100star_freeze,1,0.0099216486613405,-0.1689414648860963,0.0,0.9953872866362836,3.351245477097109,conflicting_rejections,0.058991747276025,0.4781117942468096,24.908483862707325,0.0533680050320675,0.3239819443108106,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_9414701_q5,9414701,5,stellar_variability_v2_100star_freeze,1,0.00408553543023,-0.1652045056792851,0.0,0.988477507181964,5.067718657664955,inconclusive_low_power,0.151045178374104,0.0794632477719528,31.550628981938083,0.0032381356098274,0.303890606420888,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_9451256_q5,9451256,5,stellar_variability_v2_100star_freeze,1,0.0099519288934379,-0.5399213267062962,0.0,0.9989516840307672,4.107287270016968,stationary_supported,0.1709951421794976,0.0986556638831894,23.66287839773637,0.001727136932808,0.1003389662643241,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_9542723_q5,9542723,5,stellar_variability_v2_100star_freeze,1,0.006338116779503,0.3640680796007372,0.0,0.9950972407213378,1.409970330794749,stationary_supported,0.1289470161533706,0.045857790804474,8.7640663620291,0.0049223289168524,0.3306142447995149,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_9603403_q5,9603403,5,stellar_variability_v2_100star_freeze,1,0.012603016233327,0.275514613172897,0.000222915737851,0.9865212786263506,6.559425960236695,conflicting_rejections,0.1361172484517748,0.1232869764415955,33.80424532829105,0.0639034687421659,0.0880847900580697,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_9827856_q5,9827856,5,stellar_variability_v2_100star_freeze,1,0.0044542636447076,-0.2383111691554908,0.0,0.9906157935089934,4.393373150087427,inconclusive_low_power,0.1546631222846852,0.1043075311160448,26.292124056269767,0.0401554209982881,0.2752413059268757,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,10718455,5,stellar_variability_v2_100star_freeze,1,0.00034280761997622605,0.49868097120390686,0.00022291573785109228,0.8482418386863909,2.3295014816103503,inconclusive_low_power,0.06207597635174954,0.13013830137763907,18.930264447305955,0.0360535291653224,0.2603508308158067,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11245408_q5,11245408,5,stellar_variability_v2_100star_freeze,1,0.002971681693034755,0.40289620277664984,0.0,0.9842667492809173,2.5747153762495145,conflicting_rejections,0.062183133170715395,0.4154248047467732,14.789286308674916,0.10051804847272706,0.1564518243947465,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11414923_q5,11414923,5,stellar_variability_v2_100star_freeze,1,0.0033032888014377574,-0.12351191693331627,0.0,0.967218201370138,0.919542156298121,stationary_supported,0.11621909821371437,0.21923140264810248,6.0674059470382975,0.006994887960304384,0.15209355544375402,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2571934_q5,2571934,5,stellar_variability_v2_100star_freeze,1,0.00012790935696989453,0.036544821101042714,0.0,0.7348644748049167,0.7969464935304131,stationary_supported,0.07394313068901616,0.01500350047262368,5.503065060560972,0.002590704919823459,0.14072865021771333,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3832957_q5,3832957,5,stellar_variability_v2_100star_freeze,1,0.0018410082363350714,0.26694277588485504,0.0,0.8342509430426404,2.16605354539206,stationary_supported,0.0996545984202234,0.0604652088957865,17.5282259035901,0.017746470549346638,0.09998355707865185,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_5268387_q5,5268387,5,stellar_variability_v2_100star_freeze,1,0.0012480210491671092,-0.2546761329277824,0.0,0.8428601546315165,1.0217223138170084,stationary_supported,0.05356487759171745,0.8114270895826508,4.151746449880666,0.008987792780587738,0.17457118670156188,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7989712_q5,7989712,5,stellar_variability_v2_100star_freeze,1,0.0019499481899274346,-0.5342397648710019,0.0,0.9937236122910476,0.469991905731149,stationary_supported,0.10702444871546604,0.10268885020560929,3.0731260003307233,0.009240046915479624,0.21230719614088397,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_8038388_q5,8038388,5,stellar_variability_v2_100star_freeze,1,0.0005987122786506301,-0.10341280354681211,0.0,0.9962285151581196,2.1251771771349013,conflicting_rejections,0.06053730369788537,0.12955786058876437,12.454226404103817,0.0582901699201611,0.35547185396981207,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_8277175_q5,8277175,5,stellar_variability_v2_100star_freeze,1,0.0038489195104837604,0.3103422634896807,0.0004459308807134894,0.9172413470011175,1.1034515843493864,stationary_supported,0.0773852493868694,0.1098786898926559,4.422972760089643,0.009477629883641743,0.13765173979379441,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_8327995_q5,8327995,5,stellar_variability_v2_100star_freeze,1,0.0029417361673577704,-0.21132790469952978,0.0,0.8689667579940585,2.3090890821185894,inconclusive_low_power,0.06342535557373935,0.21648197932589722,18.202346828049805,0.0625649289914879,0.07171230333575325,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10223890_q5,10223890,5,stellar_variability_v2_100star_freeze,1,0.00012661664858902807,0.22147867621517262,0.00022291573785109228,0.7784532221765469,0.42912081095710164,stationary_supported,0.013580382933614741,0.35781167299619016,13.146080705789023,0.202331723347242,0.09729844034869005,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2715763_q5,2715763,5,stellar_variability_v2_100star_freeze,1,0.00011275973767761735,1.6334748852944134,0.0013374944271065537,0.04559161563944477,0.020434531092178077,stationary_supported,0.0014963452750752062,0.2337590589968969,18.93054881109145,0.14745255236648927,0.01791169686942954,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_4375186_q5,4375186,5,stellar_variability_v2_100star_freeze,1,9.498274734369108e-05,0.09928845820031869,0.00044583147570218456,0.21125704584529797,0.020434500700503122,stationary_supported,0.014657876497718809,0.13638922653675134,18.93150449010098,0.07183553246968412,0.04471434726378996,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_5880602_q5,5880602,5,stellar_variability_v2_100star_freeze,1,0.0001233821767382106,0.5197008930452064,0.00022291573785109228,0.20884928999011398,0.02043445111485198,stationary_supported,0.00737406735568093,0.03469735333361914,2.674014053697723,3.47431123677195,0.02171084201604213,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_5961063_q5,5961063,5,stellar_variability_v2_100star_freeze,1,9.825230457342327e-05,0.9963999337765176,0.00044583147570218456,0.35375478338237215,0.02043444028822705,stationary_supported,0.01454297410537273,0.027310995736512834,7.281481044827177,0.017774810255072337,0.042949661399087395,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_6129877_q5,6129877,5,stellar_variability_v2_100star_freeze,1,4.9677269447788184e-05,-0.6982301840351363,0.0020062416406598305,0.5265518658327644,0.490426751319319,stationary_supported,0.03743689825237068,0.026152919871704483,15.776303912538857,0.06729594092360766,0.1413923705715549,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7024325_q5,7024325,5,stellar_variability_v2_100star_freeze,1,0.00010610953884958344,0.7630765358657768,0.00044583147570218456,0.2759773194401988,0.020434383004612755,stationary_supported,0.004451411794549497,0.5570587844489652,8.303404448209072,0.13450460276667556,0.01586198595802547,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7949968_q5,7949968,5,stellar_variability_v2_100star_freeze,1,0.00011575178278523341,0.5600682602034673,0.0006687472135532769,0.1948594571965168,0.020434346566617023,stationary_supported,0.01464327680719849,0.2996782696563027,10.288945531847787,0.48953650085174677,0.04661518785005504,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_8487804_q5,8487804,5,stellar_variability_v2_100star_freeze,1,8.04542258454377e-05,0.9347754777954991,0.0011145786892554615,0.2910955720825498,0.020434335514437407,stationary_supported,0.008282387861930576,0.2814164251371611,29.579660060584636,0.14545086118006348,0.05798349985653536,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_9147169_q5,9147169,5,stellar_variability_v2_100star_freeze,1,7.612533265537488e-05,0.1547808408759703,0.00044583147570218456,0.5440305316001761,0.36781753425020725,stationary_supported,0.012573061707094909,0.4446771595471019,5.991066923454762,1.9997951348623415,0.07252764504913611,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11450313_q5,11450313,5,stellar_variability_v2_100star_freeze,1,0.0018834859803513254,-0.24957548365343551,0.00022291573785109228,0.9314397639364465,0.9195395883580204,stationary_supported,0.040814601159589244,0.09813623208931824,15.775211455876509,0.02720214011073808,0.07720308142407929,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_11666946_q5,11666946,5,stellar_variability_v2_100star_freeze,1,0.001317016536814244,-0.43224791492180675,0.00022291573785109228,0.921433047151325,1.7573445495218039,stationary_supported,0.07736710947556812,0.58613199078233,14.341118937834738,0.010233265401558538,0.4329231486277448,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2309943_q5,2309943,5,stellar_variability_v2_100star_freeze,1,0.0002546900964799054,3.528865535994693,0.0006687472135532769,0.5538181360038283,1.0217272181762382,stationary_supported,0.06326101845550038,0.004539861968221774,7.063642411060878,1.5385363011743827,0.06181214672279796,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_4471641_q5,4471641,5,stellar_variability_v2_100star_freeze,1,0.000740457095185936,-0.0455336218874953,0.0,0.9933466672791839,0.6539038512855768,stationary_supported,0.042596483070307944,0.2808818540470871,2.6892130526825087,0.023568381761587036,0.19662267478293738,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_6151368_q5,6151368,5,stellar_variability_v2_100star_freeze,1,0.0032513219395507447,-0.24635622663897647,0.0,0.9670778184836561,0.4699931039358489,stationary_supported,0.12408533856954727,0.009410938857699684,2.6889921422846363,0.004490492158158671,0.17166418599090627,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_8212082_q5,8212082,5,stellar_variability_v2_100star_freeze,1,0.00036218750511220107,0.16854188026899208,0.00044583147570218456,0.5028345937175999,1.1238863915787078,stationary_supported,0.01816144709777487,0.23380616949120991,11.542884537876727,0.48704687184444284,0.047422229365500286,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_8414473_q5,8414473,5,stellar_variability_v2_100star_freeze,1,0.0004067801313397871,-0.18815455640327597,0.00022291573785109228,0.960872421896832,0.3882517510210164,stationary_supported,0.023408067058094725,0.058688357381096574,3.3094996185396424,4.529209899947257,0.10840351375779969,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_8442207_q5,8442207,5,stellar_variability_v2_100star_freeze,1,0.00030896335726819137,0.024915877433277504,0.0006687472135532769,0.7297881807039875,1.655185428848199,inconclusive_low_power,0.038901842059116815,0.7204588219898039,9.101161807630003,0.9982729363269741,0.042954459030949674,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_8939341_q5,8939341,5,stellar_variability_v2_100star_freeze,1,0.0011263546519954992,0.6540667591555144,0.0008916629514043691,0.8350184042504681,2.615589387714863,inconclusive_low_power,0.08695415677859394,0.022435196650690877,16.320173126611078,0.008556842628248911,0.16916581790945479,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_9655727_q5,9655727,5,stellar_variability_v2_100star_freeze,1,0.0003103328050930506,2.2473405524756087,0.0013374944271065537,0.59299386082728,0.24521193956024945,stationary_supported,0.011991611425808799,0.09777698486905041,3.073110632146891,0.06908461686663404,0.06142931301401537,,
