trial,trial_seed,success,bls_max_power,bls_best_period,bls_best_duration,bls_best_epoch,tcf_max_score,tcf_best_raw_pooled_score,tcf_best_period,tcf_best_duration,tcf_best_epoch,tcf_valid_transit_events,tcf_positive_event_fraction,error
0,8824921114796074700,True,0.0005229252129698706,9.534534534534535,0.0625,445.35497690278135,9.746997442748444,7.671437370869795,14.925792579257925,0.31547619047619047,453.7387634162174,4,0.75,
1,14673009024601869667,True,0.0005227308547243769,7.782782782782783,0.0625,445.93622690278136,8.564392337635725,7.423861084270166,14.466546654665466,0.1130952380952381,453.4879841275353,6,1.0,
2,6815112609857061210,True,0.0004510735715625348,11.972972972972974,0.0625,448.39247690278137,8.120149182167143,4.823024355443249,9.972097209720971,0.0625,452.78914490974597,9,0.6666666666666666,
3,15673771762283591188,True,0.00049954443463062,9.576576576576576,0.0625,450.79872690278137,9.43162110620685,7.114116195600808,14.106710671067106,0.0625,455.14473531702856,6,0.8333333333333334,
4,5063387248315964317,True,0.0005960165613519849,12.02902902902903,0.0625,455.19872690278135,8.723634572383437,7.5882972109700555,12.261326132613261,0.0625,454.28135504059514,7,0.8571428571428571,
5,16788183643313320770,True,0.0004966277748354437,14.495495495495495,0.0625,452.04872690278137,8.699309342512977,8.988056377984647,10.827582758275828,0.0625,446.1880843880582,9,1.0,
6,15323777375915143374,True,0.0005341777339142091,14.92992992992993,0.0625,449.3487269027813,8.98048082340912,6.551902293784895,8.487948794879488,0.0625,447.62282819092223,11,0.9090909090909091,
7,9942283658580680595,True,0.0005784361903263248,13.276276276276276,0.0625,447.7862269027813,9.308475437860896,5.603636750824228,14.514151415141514,0.0625,450.625791642706,7,0.7142857142857143,
8,7582383009907429406,True,0.0005232295808866459,13.178178178178179,0.0625,454.57372690278135,9.45761797667928,10.889083701848206,13.947094709470948,0.2648809523809524,454.70128346268854,6,0.8333333333333334,
9,7167433348619055790,True,0.000557077526091697,10.03903903903904,0.0625,445.26747690278137,8.797329215592368,9.521287050389192,13.613861386138614,0.0625,444.08416958556313,7,0.7142857142857143,
10,11375706814037531430,True,0.0006042076928718874,14.523523523523524,0.0625,456.60497690278135,9.184274277053994,7.408937687749205,13.700670067006701,0.0625,453.51124803362575,6,1.0,
11,11449613192165837951,True,0.0005036805006909215,11.636636636636636,0.0625,449.83622690278133,9.116016511299273,8.60599298965341,14.882388238823882,0.36607142857142855,456.1132885169098,5,0.8,
