target_id,sample_stratum,n_cases,exact_period_recovery,harmonic_period_recovery,median_mes,median_max_ses,median_max_ses_to_mes_ratio,single_event_dominance_rate,median_observability,dominant_recovered_period_days,dominant_period_case_count,dominant_period_fraction,distinct_injected_periods_in_dominant_cluster,persistent_star_period_flag
11245408,long_memory,6,0.0,0.0,413.1553416463637,389.1357916654816,0.9418028434684561,1.0,0.21875,2.94253187533468,6,1.0,3,True
10718455,long_memory,6,0.0,0.0,124.6549186154611,94.84068526212472,0.7665281707596358,0.16666666666666666,0.5833333333333334,8.306511652062909,6,1.0,3,True
11666946,smooth_background_dominant,6,0.0,0.0,98.02153465074866,109.19654039157662,1.1142705255861225,1.0,0.4285714285714285,13.547900345292874,6,1.0,3,True
11450313,smooth_background_dominant,6,0.3333333333333333,0.6666666666666666,57.6751988583607,42.96882395924441,0.7450138849206812,0.0,0.5,10.033198544617337,6,1.0,3,True
1431344,gap_heavy,6,0.0,0.0,93.88503443526545,85.67167824616584,0.9119033148358775,1.0,0.375,12.260731088463215,5,0.8333333333333334,3,True
10223890,quiet_low_scatter,6,0.16666666666666666,0.16666666666666666,101.91223098266249,94.6913747630796,0.9292106187533189,0.8333333333333334,0.5714285714285714,13.925991997064557,4,0.6666666666666666,3,True
10677499,high_scatter,6,0.0,0.0,55.355807230494065,56.70784043172604,1.0254136557725393,1.0,0.4285714285714285,14.304007886676118,4,0.6666666666666666,3,True
2996004,high_scatter,6,0.0,0.0,26.48698260448043,25.751604685811024,0.966534692168038,1.0,0.4545454545454545,9.195538860512896,4,0.6666666666666666,3,True
2715763,quiet_low_scatter,6,1.0,1.0,105.52563632850251,70.2547395609484,0.62817832429062,0.0,0.5873460246360582,2.0025840413291007,2,0.3333333333333333,1,False
12645975,gap_heavy,6,0.16666666666666666,0.3333333333333333,28.72179741437789,21.85900018897118,0.7861459824128625,0.5,0.5094562647754137,13.609148362535052,2,0.3333333333333333,2,False
