target_id,quarter,sample_stratum,trial_index,trial_seed,null_block_size_cadences,success,error,raw_top1_mes,raw_top1_period_days,raw_top1_epoch_days,raw_top1_duration_hours,event_consistency_score,robust_veto_score,hardened_period_days,hardened_epoch_days,hardened_duration_hours,selected_raw_mes,consistency_weight,valid_event_count,event_observability_fraction,positive_event_fraction,single_event_fraction,leave_one_out_ratio_normalized,event_consistent_flag,transit_consistency_veto_pass,diagnostic_consistency_veto_pass,event_depth_chi2_pvalue,event_depth_reduced_chi2,odd_even_tested,odd_even_depth_pvalue,odd_even_depth_z,odd_even_depth_difference_fraction,robust_event_snr,fails_min_events,fails_observability,fails_positive_events,fails_single_event_dominance,fails_leave_one_out,fails_depth_chi2,fails_odd_even,fails_robust_sign,veto_reason,diagnostic_veto_reason,any_candidate_survives_veto,selection_status,ranking_changed
12645975,5,gap_heavy,0,2402434177,24,True,,32.39880672578268,5.10853917512577,446.35134971894877,7.846716172993183,29.28917647656018,32.39880672578268,5.10853917512577,446.3513848155635,7.846716172993183,32.39880672578268,0.9040202228575325,18,1.0,0.7777777777777778,0.11948537952216326,0.9210790343239887,True,True,True,0.28252021379521836,1.1670300692809104,True,0.19259595854173245,-1.3029379144076432,0.45654033478920053,5.381007030435625,False,False,False,False,False,False,False,False,pass,pass,True,raw_top1_mes_preserved,False
12645975,5,gap_heavy,1,3458127719,24,True,,30.729609810200404,3.24903091537999,445.1661686303196,9.808395216241479,26.46458685013422,30.065351890951742,5.70112971944036,449.0691276567304,9.808395216241479,30.065351890951742,0.8802353934230458,16,1.0,0.8125,0.18546284249612346,0.8504177467957225,True,True,True,0.424433283646716,1.025308525429269,True,0.004567432684087887,2.83605676743445,1.5464629292448075,3.4262240902213548,False,False,False,False,False,False,False,False,pass,pass,True,raw_failed_event_penalty_rank,True
12645975,5,gap_heavy,2,1859348059,24,True,,26.483290835980874,11.381825282180216,452.3998601022977,5.885037129744887,21.14164683988431,26.483290835980874,11.381825282180216,452.3998951989124,5.885037129744887,26.483290835980874,0.7983013504938264,7,0.875,0.7142857142857143,0.30279006479110143,0.798871783123153,True,True,True,0.23870694665444978,1.3319615082701703,True,0.6467694728633142,-0.4582546895039695,0.29027399007492294,3.0332886422182472,False,False,False,False,False,False,False,False,pass,pass,True,raw_top1_mes_preserved,False
12645975,5,gap_heavy,3,586960268,24,True,,34.65915589589902,6.375456890556961,447.57739912097895,9.808395216241479,26.553297747493964,34.65915589589902,6.375456890556961,447.5774342175937,9.808395216241479,34.65915589589902,0.7661264985000928,15,1.0,0.7333333333333333,0.2934939922828873,0.6206137974956981,True,True,True,0.03157446237448196,1.8082737590433897,True,0.03792869290439512,2.075624508307721,1.7316957696404092,1.4568621422390797,False,False,False,False,False,False,False,False,pass,pass,True,raw_top1_mes_preserved,False
12645975,5,gap_heavy,4,3368540945,24,True,,41.259056093053594,9.808395216241479,447.945213941588,9.808395216241479,28.99131154596972,33.181051870172894,2.758611154567916,444.51231071251823,7.846716172993183,33.181051870172894,0.8737309371445993,34,1.0,0.6764705882352942,0.08010769177446203,0.9089918104638673,True,True,True,0.003514412265543638,1.789683732553583,True,0.3045384753272167,-1.0267494127656094,0.4987292891584932,3.9675664096545638,False,False,False,False,False,False,False,False,pass,pass,True,raw_failed_event_penalty_rank,True
12645975,5,gap_heavy,5,2782663965,24,True,,25.095552470488215,5.578524779237341,446.26961309214676,3.9233580864965916,19.165445363122977,21.52141016935024,13.833924086240586,449.35520585053746,5.885037129744887,21.52141016935024,0.8905292549285402,7,1.0,1.0,0.3202494109569306,0.793042353883581,True,True,True,0.7118455938589123,0.6232923056795246,True,0.10904277849101757,-1.6025104503490697,1.0377378515090534,2.7444704553478214,False,False,False,False,False,False,False,False,pass,pass,True,raw_failed_event_penalty_rank,True
12645975,5,gap_heavy,6,1188074542,24,True,,30.989392389634812,8.643648284312803,444.0627241684924,9.808395216241479,26.945366443775214,30.989392389634812,8.643648284312803,444.06275926510716,9.808395216241479,30.989392389634812,0.8695028965068633,11,1.0,0.8181818181818182,0.22092667290478207,0.8151983407881863,True,True,True,0.7557024243273327,0.6675292148200106,True,0.8442085191752,0.19651317803751728,0.16227620006805082,2.540513181342861,False,False,False,False,False,False,False,False,pass,pass,True,raw_top1_mes_preserved,False
12645975,5,gap_heavy,7,2644195793,24,True,,33.457188041435174,5.721563876140863,445.1253003169186,9.808395216241479,27.260114949333754,29.49141953319247,13.241333541925997,443.6540761310971,9.808395216241479,29.49141953319247,0.9243405499234314,8,1.0,1.0,0.2523952292963424,0.8544054522327517,True,True,True,0.8046963585877904,0.5400555738647295,True,0.6896314721365345,-0.3993552366944914,0.22462819828592206,3.437505278920227,False,False,False,False,False,False,False,False,pass,pass,True,raw_failed_event_penalty_rank,True
12645975,5,gap_heavy,8,1364636517,24,True,,28.5478353703914,2.8812160947709344,446.16744230864424,5.885037129744887,24.66599234917547,28.5478353703914,2.8812160947709344,446.167477405259,5.885037129744887,28.5478353703914,0.8640232097862658,32,1.0,0.6875,0.11237344269069705,0.8847291992905792,True,True,True,0.07668337367858682,1.3817023294023498,True,0.043805265786094776,2.0159494134448206,0.96687282925317,3.9491910846910185,False,False,False,False,False,False,False,False,pass,pass,True,raw_top1_mes_preserved,False
12645975,5,gap_heavy,9,2206918452,24,True,,42.41577939931545,4.883763451420236,447.2913209271719,9.808395216241479,38.70304324620982,42.41577939931545,4.883763451420236,447.29135602378665,9.808395216241479,42.41577939931545,0.9124680435987569,19,1.0,0.8947368421052632,0.16102752919953167,0.8748760493032588,True,True,True,0.7863658363189521,0.7270676066634716,True,0.019471007248763897,2.3363884139008015,1.2145049221504047,3.2358950611338377,False,False,False,False,False,False,False,False,pass,pass,True,raw_top1_mes_preserved,False
12645975,5,gap_heavy,10,2163606260,24,True,,55.07751711356077,8.991028948221356,443.59273856438085,9.808395216241479,42.35532548144011,48.202631587568035,4.270738750405144,446.1879115619595,9.808395216241479,48.202631587568035,0.8786932183255322,22,1.0,0.8636363636363636,0.1888236720606336,0.8122683356592227,True,True,True,0.47730643083367885,0.985779489470651,True,0.7509159106413115,0.3174318927521151,0.19040778004291237,3.2849516294168746,False,False,False,False,False,False,False,False,pass,pass,True,raw_failed_event_penalty_rank,True
12645975,5,gap_heavy,11,875745659,24,True,,36.78189237888607,2.4112304906593636,444.32836820559896,7.846716172993183,30.876447189830913,36.78189237888607,2.4112304906593636,444.3284033022137,7.846716172993183,36.78189237888607,0.8394469450287158,38,0.9743589743589743,0.7105263157894737,0.14195404149869792,0.8139194596823378,True,True,True,0.012877915946327409,1.5881310464558824,True,0.020904150018731513,-2.309711169542136,1.277652938678309,3.206095532053566,False,False,False,False,False,False,False,False,pass,pass,True,raw_top1_mes_preserved,False
12645975,5,gap_heavy,12,699378014,24,True,,28.299247570600357,12.40353311720537,453.7893827579319,5.885037129744887,22.169340407676806,27.11044951450726,13.180031071824487,453.033354056628,3.9233580864965916,27.11044951450726,0.817741527886272,7,1.0,0.7142857142857143,0.3098498538686588,0.7775026451630209,True,True,True,0.10907668144092962,1.7320386640752279,True,0.9950823796349493,0.006163362146553116,0.004892222963317838,2.915068480546116,False,False,False,False,False,False,False,False,pass,pass,True,raw_failed_event_penalty_rank,True
12645975,5,gap_heavy,13,2269989534,24,True,,37.89432231855196,14.017831496545114,455.56715439087566,5.885037129744887,33.902088652281265,37.89432231855196,14.017831496545114,455.5671894874904,5.885037129744887,37.89432231855196,0.8946482369387507,6,1.0,1.0,0.33300377678532067,0.8003954678576152,True,True,True,0.14615978504923632,1.6376563254441123,True,0.017396499075627323,-2.3782188179674084,1.227965491812031,3.8074273462913495,False,False,False,False,False,False,False,False,pass,pass,True,raw_top1_mes_preserved,False
12645975,5,gap_heavy,14,2410090938,24,True,,29.946050262896573,6.906744964770041,443.71534350458387,9.808395216241479,25.25598835987767,29.946050262896573,6.906744964770041,443.7153786011986,9.808395216241479,29.946050262896573,0.8433829549524956,14,1.0,0.7142857142857143,0.19138098696725506,0.8133897246491647,True,True,True,0.011262773433466005,2.1011248742292503,True,0.6716591575810054,0.4238720106647692,0.24858418187492046,3.414864648145221,False,False,False,False,False,False,False,False,pass,pass,True,raw_top1_mes_preserved,False
12645975,5,gap_heavy,15,1884089622,24,True,,35.865584304420594,14.876066077966243,452.6655041394042,7.846716172993183,34.422776772881214,35.865584304420594,14.876066077966243,452.66553923601896,7.846716172993183,35.865584304420594,0.9597718102319737,6,1.0,1.0,0.23236506023670028,0.9211619277159594,True,True,True,0.7449890010599636,0.5414766127458052,True,0.5287726411122418,0.6298806999702673,0.3002592908232786,4.48398356687019,False,False,False,False,False,False,False,False,pass,pass,True,raw_top1_mes_preserved,False
12645975,5,gap_heavy,16,317853398,24,True,,64.59926405062633,11.892679199692793,449.8047222013338,9.808395216241479,53.335255280827056,62.34724683743858,14.876066077966243,452.72684170612047,9.808395216241479,62.34724683743858,0.8554548594566014,6,1.0,0.8333333333333334,0.29642418902668805,0.7611626873826851,True,True,True,0.03928918851968205,2.3380295778075975,True,0.24314238475515101,-1.167168362275576,1.0687549935638387,3.296170563218707,False,False,False,False,False,False,False,False,pass,pass,True,raw_failed_event_penalty_rank,True
12645975,5,gap_heavy,17,262590244,24,True,,25.984332643474204,12.097020766697824,448.96692177661316,7.846716172993183,24.2055802416914,25.984332643474204,12.097020766697824,448.9669568732279,7.846716172993183,25.984332643474204,0.9315451958613404,8,1.0,1.0,0.2406956045591999,0.8677764519323431,True,True,True,0.9422772962731416,0.32668799698888484,True,0.8342398345648645,-0.2092669705933399,0.1251541011198409,2.9582271709324868,False,False,False,False,False,False,False,False,pass,pass,True,raw_top1_mes_preserved,False
