boundary,reference_100,population_1000,absolute_change,relative_change
amplitude_q25,0.00025814174536414885,0.0002676033717251959,9.461626361047064e-06,0.03665283330171948
amplitude_q75,0.000541638125971333,0.0006518200878289581,0.00011018196185762512,0.20342357115284876
evolution_q75,0.07439202928268351,0.10226407929912008,0.02787205001643657,0.3746644672176518
harmonic_power_ratio_threshold,0.1,0.1,0.0,0.0
median_drift_q75,0.2869949665667918,0.34768529308003376,0.060690326513241966,0.21146826106135774
memory_q25,0.05994075446653302,0.07313381146252351,0.013193056995990493,0.22010161722866917
memory_q75,0.5298251234174519,0.7289875381415085,0.1991624147240566,0.3759021720967647
strong_abs_acf1,0.5,0.5,0.0,0.0
weak_abs_acf1,0.2,0.2,0.0,0.0
