ok,target_id,quarter,selection_order,error_type,error
False,7334953,5,399,RuntimeError,"No Kepler light curve found for target='KIC 7334953', quarter=5, author='Kepler', cadence='long'."
False,10928174,5,411,RuntimeError,"No Kepler light curve found for target='KIC 10928174', quarter=5, author='Kepler', cadence='long'."
False,6536034,5,412,RuntimeError,"No Kepler light curve found for target='KIC 6536034', quarter=5, author='Kepler', cadence='long'."
False,4552047,5,420,RuntimeError,"No Kepler light curve found for target='KIC 4552047', quarter=5, author='Kepler', cadence='long'."
False,3642851,5,428,RuntimeError,"No Kepler light curve found for target='KIC 3642851', quarter=5, author='Kepler', cadence='long'."
False,6503668,5,431,RuntimeError,"No Kepler light curve found for target='KIC 6503668', quarter=5, author='Kepler', cadence='long'."
False,11566510,5,440,RuntimeError,"No Kepler light curve found for target='KIC 11566510', quarter=5, author='Kepler', cadence='long'."
False,9653709,5,452,RuntimeError,"No Kepler light curve found for target='KIC 9653709', quarter=5, author='Kepler', cadence='long'."
False,8161057,5,451,RuntimeError,"No Kepler light curve found for target='KIC 8161057', quarter=5, author='Kepler', cadence='long'."
False,12555916,5,453,RuntimeError,"No Kepler light curve found for target='KIC 12555916', quarter=5, author='Kepler', cadence='long'."
False,5167001,5,454,RuntimeError,"No Kepler light curve found for target='KIC 5167001', quarter=5, author='Kepler', cadence='long'."
False,2572327,5,459,RuntimeError,"No Kepler light curve found for target='KIC 2572327', quarter=5, author='Kepler', cadence='long'."
False,5715808,5,463,RuntimeError,"No Kepler light curve found for target='KIC 5715808', quarter=5, author='Kepler', cadence='long'."
False,9149863,5,477,RuntimeError,"No Kepler light curve found for target='KIC 9149863', quarter=5, author='Kepler', cadence='long'."
False,6672383,5,482,RuntimeError,"No Kepler light curve found for target='KIC 6672383', quarter=5, author='Kepler', cadence='long'."
False,11256444,5,483,RuntimeError,"No Kepler light curve found for target='KIC 11256444', quarter=5, author='Kepler', cadence='long'."
False,6585263,5,485,RuntimeError,"No Kepler light curve found for target='KIC 6585263', quarter=5, author='Kepler', cadence='long'."
False,12010193,5,491,RuntimeError,"No Kepler light curve found for target='KIC 12010193', quarter=5, author='Kepler', cadence='long'."
False,7186732,5,497,RuntimeError,"No Kepler light curve found for target='KIC 7186732', quarter=5, author='Kepler', cadence='long'."
False,10200811,5,501,RuntimeError,"No Kepler light curve found for target='KIC 10200811', quarter=5, author='Kepler', cadence='long'."
False,6927353,5,505,RuntimeError,"No Kepler light curve found for target='KIC 6927353', quarter=5, author='Kepler', cadence='long'."
False,6923911,5,512,RuntimeError,"No Kepler light curve found for target='KIC 6923911', quarter=5, author='Kepler', cadence='long'."
False,11703047,5,514,RuntimeError,"No Kepler light curve found for target='KIC 11703047', quarter=5, author='Kepler', cadence='long'."
False,9656910,5,518,RuntimeError,"No Kepler light curve found for target='KIC 9656910', quarter=5, author='Kepler', cadence='long'."
False,4848916,5,519,RuntimeError,"No Kepler light curve found for target='KIC 4848916', quarter=5, author='Kepler', cadence='long'."
False,11904659,5,521,RuntimeError,"No Kepler light curve found for target='KIC 11904659', quarter=5, author='Kepler', cadence='long'."
False,1725626,5,524,RuntimeError,"No Kepler light curve found for target='KIC 1725626', quarter=5, author='Kepler', cadence='long'."
False,11080408,5,530,RuntimeError,"No Kepler light curve found for target='KIC 11080408', quarter=5, author='Kepler', cadence='long'."
