feature,n_total,n_finite,missing_fraction,min,q25,median,q75,max,mean,std
flux_robust_scale,1000,1000,0.0,6.676301926596908e-05,0.0002676033717251959,0.00042976775509794745,0.0006518200878289581,0.0330718052116036,0.0010310596682917077,0.002339489059223948
flux_skewness,1000,1000,0.0,-1.253715767883574,0.13485331279078405,0.7175529562476154,3.5377642254354797,48.59853485552059,3.9453196462914457,7.827163158337691
flux_outlier_fraction,1000,1000,0.0,0.0,0.00022291573785109228,0.0006687472135532769,0.0011145786892554615,0.015381185911725367,0.0007525767021492795,0.0007785179569186927
v2_acf_lag_1,1000,1000,0.0,-0.08029297614351927,0.044911676558227774,0.23301389166898437,0.7289875381415085,0.999983025963212,0.3770735706240565,0.3640508127186906
v2_acf_decay_e_days,1000,992,0.008000000000000007,0.020434151927474886,0.020434345773537643,0.020434486879821634,0.61303201073315,4.842923638934735,0.5232187625606952,0.9554799336745483
v2_spectral_concentration,1000,1000,0.0,0.00036299316135426983,0.0021003608083003185,0.0077884490983250385,0.032664883275231,0.18502583956628482,0.027223184693043224,0.040162556150777066
v2_spectral_harmonic_power_ratio,1000,1000,0.0,0.0004077241154242209,0.051436666660143765,0.11857426780309474,0.25131954088452,0.9621280596329335,0.1791604483169255,0.17700250117441815
v2_ls_dominant_period_days,1000,1000,0.0,0.04121386447355839,7.888089819431904,12.790910371956462,16.903112511734555,47.32639530148299,13.701834850417688,10.299711661576849
v2_ls_acf_period_relative_error,1000,154,0.846,0.0003238318257882907,0.030321711171449328,0.4465889101185747,0.8252614801842745,28.495338606194732,1.4849914796794792,4.319232408875458
v2_segment_scale_relative_mad,1000,1000,0.0,0.0014115518883636997,0.025494973798456888,0.04929108590032061,0.10226407929912008,1.0371072115384863,0.08907104120517025,0.10847880097231445
