injected_period_days,requested_duration_hours,requested_depth,n_cases,raw_harmonic_recovery,hardened_harmonic_recovery,ranking_changed_fraction,median_raw_mes,median_event_consistency_score,median_single_event_fraction,median_leave_one_out_ratio
2.0,2.0,0.0002,10,0.1,0.1,0.0,77.7278805048555,53.28235363668519,0.36165551216371283,0.27714070589860035
2.0,4.0,0.0005,10,0.3,0.3,0.0,95.55777311575685,46.46642583919945,0.30749210351112044,0.5040537139048604
5.0,2.0,0.0005,10,0.2,0.2,0.0,82.53091822934527,42.108444182964256,0.32702714795637855,0.2947173537622683
5.0,8.0,0.0002,10,0.2,0.2,0.0,97.577322494603,61.1298493850381,0.29266725387830783,0.3527158198182717
10.0,4.0,0.0002,10,0.2,0.2,0.0,83.00668923164935,49.87336902412427,0.3268313163251274,0.27030712514776134
10.0,8.0,0.0005,10,0.3,0.3,0.0,98.40558891894571,50.93665740377127,0.32328103577060185,0.5217474428697
