target_id,quarter,sample_stratum,case_index,pipeline,branch,detector,zero_injection_control,injected_period_days,injected_epoch_days,requested_duration_hours,requested_depth,phase_fraction,success,error,recovered_period_days,recovered_epoch_days,recovered_duration_hours,mes,max_ses,observed_event_count,expected_event_count,observability_fraction,period_cadences,duration_cadences,period_exact_fractional_error,exact_period_recovered,harmonic_period_recovered,runtime_seconds,wavelet,segment_count,n_period_trials,n_duration_trials,radius_ratio,realized_max_depth_on_observed_cadences,in_transit_cadence_count,event_consistency_score,consistency_weight,valid_event_count,expected_event_count_event_check,event_observability_fraction,positive_event_fraction,single_event_fraction,anti_dominance_score,combined_event_snr,leave_one_out_combined_snr_min,leave_one_out_ratio,leave_one_out_ratio_normalized,median_event_depth,event_depth_relative_mad,event_consistent_flag,raw_rank_of_selected_candidate,ranking_changed,raw_top1_period_days,raw_top1_epoch_days,raw_top1_duration_hours,raw_top1_mes,raw_top1_max_ses,raw_top1_period_exact_fractional_error,raw_top1_exact_period_recovered,raw_top1_harmonic_period_recovered
12645975,5,gap_heavy,0,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,2.0,443.81103698692897,2.0,0.0002,0.15,True,,13.609148362535052,455.3015103537691,9.808395216241479,25.363013050705266,20.667918176130193,3,7,0.42857142857142855,666,20,5.804574181267526,False,False,0.41170612536370754,db6,43,686,7,0.013289696120800746,0.00019997743581789962,225,0.0,0.0,7,7,1.0,0.5714285714285714,0.45139622176141725,0.6400377412783465,-0.35886284647405065,-1.0959287552044752,0.0,0.0,5.82021070894001e-05,6.621463140501126,False,1,False,13.609148362535052,455.3015103537691,9.808395216241479,25.363013050705266,20.667918176130193,5.804574181267526,False,False
12645975,5,gap_heavy,1,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,2.0,444.41103698692893,4.0,0.0005,0.45,True,,2.002547356649302,444.34880236229947,3.9233580864965916,47.150376009348356,22.442570420001843,27,47,0.574468085106383,98,8,0.001273678324650973,True,True,0.4029709999449551,db6,43,686,7,0.020978641567225606,0.0004999900603063212,424,45.39826905237933,0.9628400215382875,46,47,0.9787234042553191,0.9347826086956522,0.05135389234948209,0.9697271322649739,12.260975179214444,11.747589037536,0.9581284413209834,0.9687158173253696,0.0004875758202461111,0.5241036391328836,True,1,False,2.002547356649302,444.34880236229947,3.9233580864965916,47.150376009348356,22.442570420001843,0.001273678324650973,True,True
12645975,5,gap_heavy,2,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,5.0,447.26103698692896,2.0,0.0005,0.75,True,,5.9259054431458935,444.0218558550914,7.846716172993183,28.099781203914464,19.342758392871843,11,16,0.6875,290,16,0.1851810886291787,False,False,0.40070345904678106,db6,43,686,7,0.021013652452029342,0.0004999857716809775,98,23.20619715062011,0.825849745313581,16,16,1.0,0.6875,0.19714144486698865,0.8563824588085455,2.5880453488468973,1.979799504874147,0.7649786761875119,0.7900665794874746,0.00013816186137458053,1.8423675060925095,True,1,False,5.9259054431458935,444.0218558550914,7.846716172993183,28.099781203914464,19.342758392871843,0.1851810886291787,False,False
12645975,5,gap_heavy,3,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,5.0,445.76103698692896,8.0,0.0002,0.45,True,,10.830103051266633,445.2274711004211,9.808395216241479,29.343813624841314,25.926078043379892,4,9,0.4444444444444444,530,20,1.1660206102533266,False,False,0.40025379229336977,db6,43,686,7,0.013262342897632272,0.00019999998734576696,305,0.0,0.0,9,9,1.0,0.5555555555555556,0.48613468613073013,0.5780984781029287,-1.4646423547968392,-1.9571777853337646,0.0,0.0,4.168745962318532e-07,373.3871076930518,False,1,False,10.830103051266633,445.2274711004211,9.808395216241479,29.343813624841314,25.926078043379892,1.1660206102533266,False,False
12645975,5,gap_heavy,4,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,10.0,445.01103698692896,4.0,0.0002,0.15,True,,13.609148362535052,455.2810761970686,9.808395216241479,26.46813759992034,21.275429957940517,3,7,0.42857142857142855,666,20,0.3609148362535052,False,False,0.3989793327637017,db6,43,686,7,0.013267644340028159,0.0001999963346620559,85,0.0,0.0,7,7,1.0,0.5714285714285714,0.5425018922267338,0.5337477924021438,-1.0602169223137057,-1.8731872119289181,0.0,0.0,1.856695317076218e-05,20.569474611316373,False,1,False,13.609148362535052,455.2810761970686,9.808395216241479,26.46813759992034,21.275429957940517,0.3609148362535052,False,False
12645975,5,gap_heavy,5,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,10.0,451.01103698692896,8.0,0.0005,0.75,True,,5.006368391623255,445.9426665849387,5.885037129744887,44.11788644910206,33.90367292699,11,19,0.5789473684210527,245,12,0.4993631608376745,False,True,0.4004609170369804,db6,43,686,7,0.020969831899798272,0.0004999985270420781,153,40.07242137451854,0.9083032892055993,18,19,0.9473684210526315,0.8333333333333334,0.12116179860740384,0.930534566180396,7.542217369985631,6.791107920099167,0.9004126488218814,0.9265169719042281,0.00044666034946466704,0.6646005433820226,True,1,False,5.006368391623255,445.9426665849387,5.885037129744887,44.11788644910206,33.90367292699,0.4993631608376745,False,True
1431344,5,gap_heavy,0,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,2.0,443.81043848144037,2.0,0.0002,0.15,True,,12.260731088463217,449.64086386159033,9.808584870770574,93.48056920375603,85.55379988097046,3,8,0.375,600,20,5.1303655442316085,False,False,0.40239637484773993,db6,44,686,7,0.01328969728215662,0.00019999985006957655,229,65.9860526572714,0.7058798766345135,8,8,1.0,0.625,0.3771830929742583,0.7117907508865619,2.8366838571580986,1.4808320672552648,0.5220292925905464,0.5580727882096552,9.788080886791173e-05,1.3166401540433017,False,1,False,12.260731088463217,449.64086386159033,9.808584870770574,93.48056920375603,85.55379988097046,5.1303655442316085,False,False
1431344,5,gap_heavy,1,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,2.0,444.41043848144034,4.0,0.0005,0.45,True,,12.076820122136269,450.78519876318023,9.808584870770574,93.18279960817148,86.74167158869739,3,8,0.375,591,20,5.038410061068134,False,False,0.40940120816230774,db6,44,686,7,0.020978642021184858,0.0004999999974948377,418,0.0,0.0,8,8,1.0,0.5,0.38517111965822953,0.702661577533452,0.016460944031817675,-0.39501951608609875,0.0,0.0,1.0629931232686296e-05,6.925983154390551,False,1,False,12.076820122136269,450.78519876318023,9.808584870770574,93.18279960817148,86.74167158869739,5.038410061068134,False,False
1431344,5,gap_heavy,2,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,5.0,447.26043848144036,2.0,0.0005,0.75,True,,12.260731088463217,449.64086386159033,9.808584870770574,93.21827228693354,85.95931767581779,3,8,0.375,600,20,1.4521462176926434,False,False,0.4062764998525381,db6,44,686,7,0.021013654312968692,0.0004999894170547581,96,70.38780403117634,0.755085910780634,8,8,1.0,0.625,0.2929171549605185,0.8080946800451217,2.279514731977945,1.3724281963470157,0.6020703341347364,0.6436402608779119,0.00010936515537690594,0.7484540900728642,False,1,False,12.260731088463217,449.64086386159033,9.808584870770574,93.21827228693354,85.95931767581779,1.4521462176926434,False,False
1431344,5,gap_heavy,3,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,5.0,445.76043848144036,8.0,0.0002,0.45,True,,12.260731088463217,449.64086386159033,9.808584870770574,96.24072026399726,85.67167824616584,3,8,0.375,600,20,1.4521462176926434,False,False,0.407470166683197,db6,44,686,7,0.01326234296684581,0.00019999992133612476,305,74.61669609985778,0.7753131511815086,8,8,1.0,0.625,0.2576128744451589,0.8484424292055327,2.459315332244082,1.567561002450995,0.6373973202617426,0.6814063976192185,0.0001307757970085699,0.9590288169064968,False,1,False,12.260731088463217,449.64086386159033,9.808584870770574,96.24072026399726,85.67167824616584,1.4521462176926434,False,False
1431344,5,gap_heavy,4,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,10.0,445.01043848144036,4.0,0.0002,0.15,True,,12.260731088463217,449.64086386159033,9.808584870770574,94.28949966677489,85.67167824616584,3,8,0.375,600,20,0.2260731088463217,False,False,0.4022353747859597,db6,44,686,7,0.013267644616172766,0.0001999980667507506,85,72.76599349367415,0.7717295536707037,8,8,1.0,0.625,0.28154943960681406,0.8210863547350696,2.5194418450095766,1.628921069136201,0.6465404519507809,0.6911808165399435,0.00010936515537690594,0.9143608455890396,False,1,False,12.260731088463217,449.64086386159033,9.808584870770574,94.28949966677489,85.67167824616584,0.2260731088463217,False,False
1431344,5,gap_heavy,5,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,10.0,451.01043848144036,8.0,0.0005,0.75,True,,12.260731088463217,449.64086386159033,9.808584870770574,96.01422400913985,85.67167824616584,3,8,0.375,600,20,0.2260731088463217,False,False,0.39985766680911183,db6,44,686,7,0.020969832009878304,0.0004999991196493747,154,61.800893433024,0.6436639369927211,8,8,1.0,0.625,0.44678445461904615,0.632246337578233,3.375904312955701,1.371717011069422,0.40632579715165096,0.4343805486712243,0.00010936515537690594,1.2580978400741576,False,1,False,12.260731088463217,449.64086386159033,9.808584870770574,96.01422400913985,85.67167824616584,0.2260731088463217,False,False
10677499,5,high_scatter,0,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,2.0,443.8105127709467,2.0,0.0002,0.15,True,,14.304007886676118,446.9433905643891,9.808462550863624,55.31323527475918,56.70784043172604,3,7,0.42857142857142855,700,20,6.152003943338059,False,False,0.40102520771324635,db6,43,686,7,0.013289696533135976,0.00019998506508278613,225,47.70752584902078,0.8624974766354143,5,7,0.7142857142857143,1.0,0.2958427240561751,0.880196594929781,10.792288169930702,8.4964637875593,0.787271767930735,0.8801965949297812,0.002456841264426468,0.20262007754952877,True,1,False,14.304007886676118,446.9433905643891,9.808462550863624,55.31323527475918,56.70784043172604,6.152003943338059,False,False
10677499,5,high_scatter,1,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,2.0,444.41051277094664,4.0,0.0005,0.45,True,,14.304007886676118,446.9433905643891,9.808462550863624,55.39837918622895,56.70784043172604,3,7,0.42857142857142855,700,20,6.152003943338059,False,False,0.4007012080401182,db6,43,686,7,0.020978641728395406,0.0004999951337439912,418,47.53458262601958,0.8580500607468282,5,7,0.7142857142857143,1.0,0.3030858898210137,0.8711426377237328,10.773761184128839,8.394630959870671,0.7791736624194958,0.871142637723733,0.0025152941767673243,0.31083754097417393,True,1,False,14.304007886676118,446.9433905643891,9.808462550863624,55.39837918622895,56.70784043172604,6.152003943338059,False,False
10677499,5,high_scatter,2,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,5.0,447.26051277094666,2.0,0.0005,0.75,True,,14.160967807809357,447.0864306432559,9.808462550863624,55.58760277645332,56.70784043172604,3,7,0.42857142857142855,693,20,1.8321935615618714,False,False,0.40022158389911056,db6,43,686,7,0.021013653112727487,0.000499995382505003,97,0.0,0.0,6,7,0.8571428571428571,0.6666666666666666,0.43499700936690355,0.6780035887597157,2.1441185290020695,-0.36391768900698135,0.0,0.0,0.0018588087783572294,1.1132840031181104,False,1,False,14.160967807809357,447.0864306432559,9.808462550863624,55.58760277645332,56.70784043172604,1.8321935615618714,False,False
10677499,5,high_scatter,3,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,5.0,445.76051277094666,8.0,0.0002,0.45,True,,14.304007886676118,446.9433905643891,9.808462550863624,55.291577303748106,56.70784043172604,3,7,0.42857142857142855,700,20,1.8608015773352236,False,False,0.39958945801481605,db6,43,686,7,0.013262342922205628,0.00019999981589435833,305,47.64300267021842,0.8616683587897718,5,7,0.7142857142857143,1.0,0.2971958845283612,0.8785051443395484,10.65322535223727,8.370866512039946,0.785758888530598,0.8785051443395485,0.0025152941767673243,0.23236552637063274,True,1,False,14.304007886676118,446.9433905643891,9.808462550863624,55.291577303748106,56.70784043172604,1.8608015773352236,False,False
