period_days,epoch_days,duration_hours,mes,max_ses,source_index,raw_rank,expected_event_count_event_check,valid_event_count,event_observability_fraction,positive_event_fraction,single_event_fraction,anti_dominance_score,combined_event_snr,leave_one_out_combined_snr_min,leave_one_out_ratio,leave_one_out_ratio_normalized,median_event_depth,event_depth_relative_mad,event_depth_weighted_mean,event_depth_weighted_mean_error,event_depth_chi2,event_depth_chi2_dof,event_depth_reduced_chi2,event_depth_chi2_pvalue,odd_even_tested,odd_event_count,even_event_count,odd_depth,even_depth,odd_even_depth_difference,odd_even_depth_difference_fraction,odd_even_depth_z,odd_even_depth_pvalue,robust_event_snr,robust_event_location,robust_event_weight_min,robust_event_effective_count,fails_min_events,fails_observability,fails_positive_events,fails_single_event_dominance,fails_leave_one_out,fails_depth_chi2,fails_odd_even,fails_robust_sign,diagnostic_consistency_veto_pass,diagnostic_veto_reason,veto_reason,event_consistent_flag,transit_consistency_veto_pass,consistency_weight,event_consistency_score,robust_veto_score,hardened_rank
13.323070168728009,455.93500430809945,9.80839521624148,23.763618341770893,,19.0,6.0,7,7,1.0,0.8571428571428571,0.3970936419097448,0.7033907511052977,1.5547560309333013,0.9683351257436258,0.6228212700113123,0.6727238587327304,0.00011682415702263249,1.1475927364863394,0.00013074076032921236,8.213517381061277e-05,2.4984600584542074,6,0.4164100097423679,0.8686399696567355,True,3,4,0.00016140803750114212,0.00010641089767080374,5.499713983033838e-05,0.4107038943682526,0.3325663143055928,0.7394616745529795,1.393248552605801,0.5304632775626069,0.6695133663748409,6.8983710807938525,False,False,False,False,False,False,False,False,True,pass,pass,True,True,0.7980345124457118,18.96418757732111,23.763618341770893,1
9.338409612129908,446.371818972264,9.80839521624148,22.34914126634652,,53.0,15.0,10,10,1.0,0.7,0.25011188506501764,0.8332090165944248,1.8476696481493395,1.2599195734599677,0.681896558035646,0.718782084007278,0.00018031429650905428,0.9809733772008014,0.00010241944749495706,6.026211287983389e-05,12.070413234256408,9,1.3411570260284897,0.20936879599563224,True,5,5,-1.5317694061661615e-06,0.0002163741174108498,-0.00021790588681701596,2.0,-1.8060779813517358,0.07090615963189162,2.15407526896482,0.6897820784763977,0.5013721067085766,9.752095285569768,False,False,False,False,False,False,False,False,True,pass,pass,True,True,0.8046598114941487,17.98345579843449,22.34914126634652,2
9.297541298728902,446.69876547947206,5.885037129744887,24.485313693871884,,5.0,3.0,10,10,1.0,0.7,0.32415111370010546,0.7509432069998828,1.046351690339044,0.4976178567334228,0.4755741891831629,0.5012992114022022,5.313778417606607e-05,4.873872202900641,7.833244690140531e-05,7.331606254757786e-05,9.208773488023862,9,1.0231970542248736,0.4182301823625498,True,5,5,-5.245330865376354e-05,0.00022108489147867742,-0.00027353820013244093,2.0,-1.8636865322159881,0.06236573777935797,1.0900709554462649,0.34758041636669873,0.6385110605675656,9.835556513208665,False,False,False,False,False,False,False,False,True,pass,pass,True,True,0.7164741709720591,17.543094829807664,24.485313693871884,3
5.149407488526776,445.7792284279494,5.885037129744887,19.715879315386307,,379.0,45.0,18,18,1.0,0.8333333333333334,0.16402154860790572,0.8851536544151587,2.1931970856246963,1.788300290752806,0.815385129988643,0.8390243768357576,0.00013527580647762494,1.1455575915618559,0.00013049712007105074,5.769449632962667e-05,11.077846821343568,17,0.6516380483143276,0.8524886157675794,True,9,9,0.00013911046878935032,0.00012129080359885825,1.781966519049207e-05,0.13686311919341435,0.15434571565614882,0.8773371532701535,2.4152796870262327,0.5771242707783029,0.4233632183855611,17.51443694401547,False,False,False,False,False,False,False,False,True,pass,pass,True,True,0.8869578869835506,17.48715465759773,19.715879315386307,4
9.706224432738964,446.2696481887615,2.9425185648724437,20.79836838927094,,208.0,32.0,10,8,0.8,0.875,0.27052945459874156,0.8336806233157239,1.3660386727738023,0.98751079657733,0.7229010541642612,0.7728137340629648,0.00018937028878432405,0.7784056298469174,0.00016437720056281568,0.00011577773986594286,2.4923035511925913,7,0.3560433644560845,0.9276754993053294,True,4,4,0.00020039202445625216,0.000139509433349824,6.088259110642816e-05,0.358236716602513,0.25848418532392664,0.7960332526089603,1.5594256327286764,0.5622256640998352,0.4466412248204712,7.693217395207732,False,False,False,False,False,False,False,False,True,pass,pass,True,True,0.819489030902572,17.04403475567833,20.79836838927094,5
8.439306717307772,447.4956975907917,9.80839521624148,20.87704465972541,,195.0,30.0,11,11,1.0,0.7272727272727273,0.32812997807001604,0.7390570241229825,1.085820999211085,0.7134078263750434,0.6570215780440585,0.6890900444913243,5.759282883338601e-05,0.923735746101343,6.275444530383863e-05,5.721743516201002e-05,2.4571227326777914,10,0.24571227326777914,0.991485919698007,True,5,6,4.7486141448251806e-05,7.842159378147379e-05,-3.0935452333221986e-05,0.4913987576184823,-0.27030992412249183,0.7869218311078995,0.8165561328786198,0.25676331824769344,0.33667559201821284,10.113608332567736,False,False,False,False,False,False,False,False,True,pass,pass,True,True,0.7801225049385144,16.28665237565822,20.87704465972541,6
10.973142148170156,444.2671008321122,7.846716172993183,19.577197262955295,,415.0,48.0,9,9,1.0,0.7777777777777778,0.28438139760155984,0.8050709276982452,2.198148776204535,1.5392327232013623,0.7002404659156422,0.7427171728652671,0.00015090860383637494,2.2601301317448375,0.00016452186856014584,7.204625483889912e-05,8.742769047016319,8,1.0928461308770399,0.36445827680630616,True,4,5,1.1821018756341503e-06,0.0002909044256824145,-0.00028972232380678034,1.9838116206794343,-1.9942432220704176,0.04612548078998352,2.198148776204535,0.732716258734845,1.0,9.0,False,False,False,False,False,False,False,False,True,pass,pass,True,True,0.8258064773884407,16.166976308859734,19.577197262955295,7
11.749640102789272,444.3692716156147,9.80839521624148,21.103372436732325,,167.0,27.0,8,8,1.0,0.875,0.4454207693841609,0.6338048349895303,1.4602867017339398,0.823370124089845,0.5638414176559835,0.6027718300976005,7.462117911247179e-05,1.3456488198921825,9.275877922943164e-05,6.814734556866577e-05,3.6068988035131495,7,0.5152712576447357,0.8237766057611431,True,4,4,8.14182090620949e-05,0.00010330600639059559,-2.1887797328500684e-05,0.23697810571139052,-0.1604861840421942,0.8724981041036922,1.1785415819384533,0.4228150337696053,0.5109473314067918,7.769426786979394,False,False,False,False,False,False,False,False,True,pass,pass,True,True,0.7603772895841042,16.04652513452642,21.103372436732325,8
13.99739733984461,451.0921091700802,9.80839521624148,18.828243891000294,,602.0,64.0,7,7,1.0,0.7142857142857143,0.3253634886602198,0.7870759298964102,1.0251924796070722,0.6496023572340055,0.6336394093360693,0.6844087846998971,0.00010344320565641718,1.1181337731492678,7.540286207730109e-05,7.068733350260739e-05,2.099738550044973,6,0.3499564250074955,0.9103007856484522,True,3,4,9.772043466783735e-05,6.01588741723351e-05,3.7561560495502247e-05,0.4758262595832279,0.2609343031705577,0.79414317083952,1.0378663257696872,0.39230814300924616,0.9639449131760419,6.998874353864545,False,False,False,False,False,False,False,False,True,pass,pass,True,True,0.7875915403901118,14.828965608953634,18.828243891000294,9
13.813489929540085,454.2798376153587,5.885037129744887,19.213924369172908,,502.0,55.0,7,7,1.0,0.7142857142857143,0.34950577809990147,0.7589099255501149,1.9889172978753735,1.1967069678487208,0.601687646402936,0.6498969362954576,0.00025576859842724176,1.086855842527625,0.00021969379224888393,0.00010441752286231158,7.262211015548178,6,1.2103685025913629,0.29727740409490017,True,3,4,0.00018080173461560822,0.00024535943804197927,-6.455770342637105e-05,0.30297318276924284,-0.3025750909078466,0.7622136997098479,2.250118461311032,0.8884129634429468,0.38298927451688297,6.414768556589953,False,False,False,False,False,False,False,False,True,pass,pass,True,True,0.7704184446307425,14.802761727750912,19.213924369172908,10
