trial_center_cadenceno,duration_cadences,raw_flux_box_statistic,raw_flux_box_numerator,raw_flux_box_denominator,raw_flux_box_n_points,innovation_unchanged_box_statistic,innovation_unchanged_box_numerator,innovation_unchanged_box_denominator,innovation_unchanged_box_n_points,innovation_transformed_template_statistic,innovation_transformed_template_numerator,innovation_transformed_template_denominator,innovation_transformed_template_n_points,injected_center_cadenceno,center_offset_cadences,is_injected_center_neighborhood,raw_flux_box_rank,innovation_unchanged_box_rank,innovation_transformed_template_rank,rank
16374,6,-1.0243809420771421,-13.635882537713437,13.311339539433341,25,-1.5134430247880466,-31.482228585228988,20.801726969297693,24,-0.3699561422357435,-5.79432604628321,15.66219717631002,24,16518,-144,False,177,232,146,146
16384,6,-0.29722180330624737,-5.254127198410462,17.677462218331222,35,0.07257933255652542,2.321825494957114,31.99017424345775,34,-3.0305765140650105,-69.43432739692075,22.911260307955807,34,16518,-134,False,121,117,247,247
16404,6,-1.4778340764339764,-60.526784778138826,40.956414352137806,48,0.4447043933878827,16.144040403135918,36.302857905554056,48,-0.6618059843418596,-17.995597906090143,27.19165183129323,48,16518,-114,False,209,72,167,167
16425,6,-1.901316331475679,-81.10387855749808,42.656699053623804,46,0.18303555674406916,6.273812328011937,34.27646758702924,46,1.0509999622534172,25.223859422657604,23.99986710615659,46,16518,-93,False,221,103,41,41
16447,6,4.300239087849647,157.4018416181431,36.60304425000066,47,1.6090472457211862,54.48418784763803,33.86114857256279,47,1.4660189530815284,34.15601076460501,23.298478299213038,47,16518,-71,False,8,19,27,27
16457,6,-3.5891213545990475,-114.4531371620595,31.888901448094234,48,-1.2043288465996993,-37.95605686131869,31.516356158439436,48,-0.9170625856001365,-21.03492612285197,22.937285255276734,48,16518,-61,False,246,221,195,195
16477,6,3.3898049847397758,116.44727575609325,34.35220500303575,49,2.3667701532754806,77.02682751712466,32.54512374618369,49,2.325202874985634,52.47483659172688,22.567852962959666,49,16518,-41,False,15,6,15,15
16497,6,9.32199749314661,309.42966831231104,33.19349404886657,49,0.2888199162695313,8.586379652700078,29.729181296095707,49,8.482316978787551,181.14364397070005,21.355443851450175,49,16518,-21,False,4,85,2,2
16517,6,24.812180292425843,779.8370878295495,31.429607500780666,49,9.10579683581393,249.7275230315999,27.425114741128283,49,6.777879627354456,129.2697172355708,19.07229463235944,49,16518,-1,True,2,1,3,3
16518,6,32.76757107187462,1023.6340277881285,31.239240331326968,49,9.093625126060266,249.17365338241808,27.400915468611405,49,20.90338270470196,398.1187006328391,19.04565908097196,49,16518,0,True,1,2,1,1
16537,6,-3.90195471399002,-133.2793283752626,34.15706694324374,49,0.48437212675464003,14.350424549687455,29.62685868370931,49,0.1553360671423232,3.1309416525909444,20.155921996675048,49,16518,19,False,248,67,103,103
16547,6,-0.4971604543869259,-18.042142697712197,36.29038178420866,49,-0.38528732845095004,-11.182323770988669,29.023336469297515,49,-0.714326583047008,-14.672797729494825,20.540741556763884,49,16518,29,False,141,177,171,171
16567,6,-0.3832568661633906,-14.696887744618634,38.34735667423904,48,-0.1541014723761556,-4.381188068629273,28.430539962233237,48,-0.6366458400734248,-12.78247163527584,20.07783736370857,48,16518,49,False,131,152,165,165
16587,6,-1.3642245788996024,-54.08782317257837,39.64730148477911,48,1.7458714568820044,51.209606056640865,29.33183073403204,48,1.5518745150077649,31.674701814485104,20.410607628495413,48,16518,69,False,205,17,25,25
16608,6,0.8616002620213202,34.01436811454915,39.47813111703472,48,0.20475774055319398,7.061134319923122,34.48531079140674,48,0.3318060541491406,7.867289648912921,23.710506636436243,48,16518,90,False,55,98,82,82
16628,6,-1.9915488317328114,-83.98061230954896,42.16849266833137,49,-0.2642169144125621,-10.539491069670042,39.88953959704914,49,0.11086035230426029,3.0687472218547334,27.681196731473886,49,16518,110,False,226,162,106,106
16638,6,2.3923174318825597,101.25532549223055,42.325204900819045,49,1.4879696859106317,56.79254925072733,38.16781335566693,49,-0.37618777734552117,-10.14458295507945,26.96680638233987,49,16518,120,False,25,20,148,148
